,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
106,3448,Chalmers,J.,James,650,1855.0,1889.0,"Chalmers, J.","Chalmers, J.","Chalmers, J.",1.0,3.0,http://www.wikidata.org/entity/Q16009941,Jack Chalmers,Chalmers,J.,"Chalmers, J.",,,,,,,,,1894.0,1982.0,,,http://www.wikidata.org/wiki/Q16009941,,,,,,http://adb.anu.edu.au/biography/chalmers-john-jack-12303
81,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q1349404,John Anderson,Anderson,J.,"Anderson, J.",,19988451,0000 0000 8099 4105,22637.0,,,,,1833.0,1900.0,,,http://www.wikidata.org/wiki/Q1349404,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=22637,,,,
82,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q617109,James Anderson,Anderson,J.,"Anderson, J.",,77099040,0000 0000 8157 8787,,,,,,1739.0,1808.0,,,http://www.wikidata.org/wiki/Q617109,,,,,,
83,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q1692339,Johann Anderson,Anderson,J.,"Anderson, J.",,52753209,0000 0000 8232 4455,,,,,,1674.0,1743.0,,,http://www.wikidata.org/wiki/Q1692339,,,,,,
84,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q88828413,John Anderson,Anderson,J.,"Anderson, J.",,,,,,,,,1796.0,1864.0,,,http://www.wikidata.org/wiki/Q88828413,,,,,,
85,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q550299,James Anderson,Anderson,J.,"Anderson, J.",,33417635,0000 0000 2868 9904,76280.0,194-1,Anderson,,,1738.0,1809.0,,,http://www.wikidata.org/wiki/Q550299,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=76280,https://www.ipni.org/a/194-1,,,
86,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q21516191,James Anderson,Anderson,J.,"Anderson, J.",,,,,13849-1,J.Anderson,,,,,,,http://www.wikidata.org/wiki/Q21516191,,,https://www.ipni.org/a/13849-1,,,
87,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q6148471,Jan Anderson,Anderson,J.,"Anderson, J.",,,,,,,,P004441b,1932.0,2015.0,,,http://www.wikidata.org/wiki/Q6148471,,,,,http://www.eoas.info/biogs/P004441b,
88,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q1679953,James Anderson,Anderson,J.,"Anderson, J.",,,,,,,,,1895.0,1973.0,1926.0,,http://www.wikidata.org/wiki/Q1679953,,,,,,http://adb.anu.edu.au/biography/anderson-james-outram-9358
89,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q3296918,John Anderson,Anderson,J.,"Anderson, J.",,112712940,0000 0000 8410 0615,,,,,,1893.0,1962.0,,,http://www.wikidata.org/wiki/Q3296918,,,,,,http://adb.anu.edu.au/biography/anderson-john-5017
90,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q6281042,Joseph Anderson,Anderson,J.,"Anderson, J.",,,,,,,,,1790.0,1877.0,,,http://www.wikidata.org/wiki/Q6281042,,,,,,http://adb.anu.edu.au/biography/anderson-joseph-1705
91,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q21535198,John Anderson,Anderson,J.,"Anderson, J.",,,,,,,,,1790.0,1858.0,,,http://www.wikidata.org/wiki/Q21535198,,,,,,http://adb.anu.edu.au/biography/anderson-john-1704
92,349,Anderson,J.,,688,1815.0,1969.0,"Anderson, J.","Anderson, J.","Anderson, J.",1.0,12.0,http://www.wikidata.org/entity/Q230415,Judith Anderson,Anderson,J.,"Anderson, J.",,74036593,0000 0000 7977 8501,,,,,,1897.0,1992.0,,1937.0,http://www.wikidata.org/wiki/Q230415,,,,,,http://adb.anu.edu.au/biography/anderson-dame-frances-margaret-judith-17007
165,20706,Vilgalys,R.,,523,1995.0,1995.0,"Vilgalys, R.","Vilgalys, R.","Vilgalys, R.J.",0.943,1.0,http://www.wikidata.org/entity/Q21337721,Rytas J. Vilgalys,Vilgalys,R.J.,"Vilgalys, R.J.",0000-0001-8299-3605,,,,28375-1,Vilgalys,,,1958.0,,,,http://www.wikidata.org/wiki/Q21337721,https://orcid.org/0000-0001-8299-3605,,https://www.ipni.org/a/28375-1,,,
65,19810,Telford,I.R.,Ian,715,1967.0,2011.0,"Telford, I.R.","Telford, I.R.","Telford, I.R.H.",0.941,1.0,http://www.wikidata.org/entity/Q19521871,Ian R.H. Telford,Telford,I.R.H.,"Telford, I.R.H.",,,,,27598-1,I.Telford,,,1941.0,,,,http://www.wikidata.org/wiki/Q19521871,,,https://www.ipni.org/a/27598-1,,,
153,7028,Fryxell,P.A.,,538,1983.0,1998.0,"Fryxell, P.A.","Fryxell, P.A.","Fryxell, P.",0.939,1.0,http://www.wikidata.org/entity/Q7150752,Paul Fryxell,Fryxell,P.,"Fryxell, P.",,30852899,0000 0000 6723 0784,30331,2942-1,Fryxell,,,1927.0,2011.0,,,http://www.wikidata.org/wiki/Q7150752,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=30331,https://www.ipni.org/a/2942-1,,,
55,21729,Wilcox,J.F.,,760,1864.0,1878.0,"Wilcox, J.F.","Wilcox, J.F.","Wilcox, J.",0.938,2.0,http://www.wikidata.org/entity/Q55074154,Joseph Wilcox,Wilcox,J.,"Wilcox, J.",,75439108,0000 0000 2987 647X,,,,,,1901.0,1982.0,,,http://www.wikidata.org/wiki/Q55074154,,,,,,
56,21729,Wilcox,J.F.,,760,1864.0,1878.0,"Wilcox, J.F.","Wilcox, J.F.","Wilcox, J.",0.938,2.0,http://www.wikidata.org/entity/Q21388303,Joe Wilcox,Wilcox,J.,"Wilcox, J.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21388303,,,,,,
133,4501,Crawford,A.R.,,577,1854.0,1985.0,"Crawford, A.R.","Crawford, A.R.","Crawford, A.",0.938,2.0,http://www.wikidata.org/entity/Q21535276,Alexander Crawford,Crawford,A.,"Crawford, A.",,,,,,,,P001022b,1857.0,1935.0,,,http://www.wikidata.org/wiki/Q21535276,,,,,http://www.eoas.info/biogs/P001022b,http://adb.anu.edu.au/biography/crawford-alexander-5810
134,4501,Crawford,A.R.,,577,1854.0,1985.0,"Crawford, A.R.","Crawford, A.R.","Crawford, A.",0.938,2.0,http://www.wikidata.org/entity/Q21540056,Andrew Crawford,Crawford,A.,"Crawford, A.",,,,,,,,,1815.0,1899.0,,,http://www.wikidata.org/wiki/Q21540056,,,,,,http://adb.anu.edu.au/biography/crawford-andrew-3285
12,4558,Crisp,M.D.,Michael,941,1968.0,2015.0,"Crisp, M.D.","Crisp, M.D.","Crisp, M.",0.936,1.0,http://www.wikidata.org/entity/Q4241213,Michael Crisp,Crisp,M.,"Crisp, M.",,,,9609.0,12123-1,Crisp,,,1950.0,,,,http://www.wikidata.org/wiki/Q4241213,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=9609,https://www.ipni.org/a/12123-1,,,
103,18173,Seppelt,R.D.,Rod,658,1966.0,2009.0,"Seppelt, R.D.","Seppelt, R.D.","Seppelt, R.",0.931,1.0,http://www.wikidata.org/entity/Q21340338,Rod Seppelt,Seppelt,R.,"Seppelt, R.",,33604287,0000 0001 1948 2618,93461,26520-1,Seppelt,,P005697b,1945.0,,,,http://www.wikidata.org/wiki/Q21340338,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93461,https://www.ipni.org/a/26520-1,,http://www.eoas.info/biogs/P005697b,
120,3623,Chinnock,R.J.,Robert (Bob),618,1959.0,2012.0,"Chinnock, R.J.","Chinnock, R.J.","Chinnock, R.",0.927,1.0,http://www.wikidata.org/entity/Q22958786,Robert Chinnock,Chinnock,R.,"Chinnock, R.",,55774522,0000 0001 1647 3804,70796,1598-1,Chinnock,,,1943.0,,,,http://www.wikidata.org/wiki/Q22958786,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70796,https://www.ipni.org/a/1598-1,,,
156,15876,Phillips,M.E.,,532,1953.0,1981.0,"Phillips, M.E.","Phillips, M.E.","Phillips, M.",0.927,1.0,http://www.wikidata.org/entity/Q6765333,Marion Phillips,Phillips,M.,"Phillips, M.",,252652212,0000 0003 7578 4287,,,,,,1881.0,1932.0,,,http://www.wikidata.org/wiki/Q6765333,,,,,,http://adb.anu.edu.au/biography/phillips-marion-8036
57,13533,Meebold,A.K.,,756,1851.0,1936.0,"Meebold, A.K.","Meebold, A.K.","Meebold, A.",0.926,1.0,http://www.wikidata.org/entity/Q96682,Alfred Meebold,Meebold,A.,"Meebold, A.",,102623050,0000 0000 7888 6287,30419.0,,,,,1863.0,1952.0,,,http://www.wikidata.org/wiki/Q96682,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=30419,,,,
157,8939,Henderson,J.A.,,531,1863.0,1900.0,"Henderson, J.A.","Henderson, J.A.","Henderson, J.",0.925,4.0,http://www.wikidata.org/entity/Q6313720,Junius Henderson,Henderson,J.,"Henderson, J.",,19813148,0000 0000 8098 9939,40131.0,,,,,1865.0,1937.0,,,http://www.wikidata.org/wiki/Q6313720,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40131,,,,
