,coll_index,surname_x,initials_x,canonical_string_x,name,active,comment,left_side,right_side,similarity,dup_count,item,itemLabel,surname_y,initials_y,canonical_string_y,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
1394,c00943,COWAN,R.S.,"COWAN, R.S.","COWAN, Richard S.",1921-1997,"Taxonomist, plant name indexer, author","COWAN, R.S.","Cowan, R.S.",1.0,1.0,http://www.wikidata.org/entity/Q6108714,Richard Sumner Cowan,Cowan,R.S.,"Cowan, R.S.",,9863210,0000 0001 0868 5663,1584.0,1850-1,R.S.Cowan,,,1921.0,1997.0,,,http://www.wikidata.org/wiki/Q6108714,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1584,https://www.ipni.org/a/1850-1,,,
1403,c00952,CRANFIELD,R.J.,"CRANFIELD, R.J.","CRANFIELD, Raymond Jeffrey",1947-,Botanist,"CRANFIELD, R.J.","Cranfield, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q19263359,Raymond Jeffrey Cranfield,Cranfield,R.J.,"Cranfield, R.J.",,,,,36616-1,Cranfield,,,1947.0,,,,http://www.wikidata.org/wiki/Q19263359,,,https://www.ipni.org/a/36616-1,,,
1411,c00959,CRICHTON,G.A.,"CRICHTON, G.A.","CRICHTON, George A.",fl. 1960s-80s,Mycologist,"CRICHTON, G.A.","Crichton, G.A.",1.0,1.0,http://www.wikidata.org/entity/Q47115863,George A. Crichton,Crichton,G.A.,"Crichton, G.A.",,,,,17519-1,Crichton,,,,1989.0,,,http://www.wikidata.org/wiki/Q47115863,,,https://www.ipni.org/a/17519-1,,,
1415,c00963,CROFT,J.R.,"CROFT, J.R.","CROFT, Jim R.",1951-,"Botanist, pteridologist, data-manager","CROFT, J.R.","Croft, J.R.",1.0,1.0,http://www.wikidata.org/entity/Q18983998,James R. Croft,Croft,J.R.,"Croft, J.R.",,,,,17533-1,J.R.Croft,,,1951.0,,,,http://www.wikidata.org/wiki/Q18983998,,,https://www.ipni.org/a/17533-1,,,
1417,c00965,CROMBIE,J.,"CROMBIE, J.","CROMBIE, James",1881-1942,Pastoral Manager,"CROMBIE, J.","Crombie, J.",1.0,1.0,http://www.wikidata.org/entity/Q23584475,James Crombie,Crombie,J.,"Crombie, J.",,,,,,,,,1834.0,1898.0,,,http://www.wikidata.org/wiki/Q23584475,,,,,,http://adb.anu.edu.au/biography/crombie-james-265
1419,c00967,CRONIN,M.,"CRONIN, M.","CRONIN, Margaret, Miss",?-1929,Collected for Mueller in WA c.1890,"CRONIN, M.","Cronin, M.",1.0,1.0,http://www.wikidata.org/entity/Q6838116,Mick Cronin,Cronin,M.,"Cronin, M.",,,,,,,,,1911.0,1979.0,,,http://www.wikidata.org/wiki/Q6838116,,,,,,http://adb.anu.edu.au/biography/cronin-deverick-john-mick-9867
1423,c00971,CROSS,D.O.,"CROSS, D.O.","CROSS, D.O.",fl. 1941,,"CROSS, D.O.","Cross, D.O.",1.0,1.0,http://www.wikidata.org/entity/Q47115877,David O. Cross,Cross,D.O.,"Cross, D.O.",,,,,13267-1,D.O.Cross,,,,,,,http://www.wikidata.org/wiki/Q47115877,,,https://www.ipni.org/a/13267-1,,,
1426,c00973,CROSSLAND,C.,"CROSSLAND, C.","CROSSLAND, C.",fl. 1905,Explorer,"CROSSLAND, C.","Crossland, C.",1.0,1.0,http://www.wikidata.org/entity/Q5076566,Charles Crossland,Crossland,C.,"Crossland, C.",,315085010,,29290.0,17542-1,Crossl.,,,1844.0,1916.0,,,http://www.wikidata.org/wiki/Q5076566,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=29290,https://www.ipni.org/a/17542-1,,,
1432,c00979,CROXALL,J.P.,"CROXALL, J.P.","CROXALL, John P.",fl. 1970s,"Ornithologist, pteridologist","CROXALL, J.P.","Croxall, J.P.",1.0,1.0,http://www.wikidata.org/entity/Q33668135,John P. Croxall,Croxall,J.P.,"Croxall, J.P.",,,,,13276-1,Croxall,,,,1982.0,,,http://www.wikidata.org/wiki/Q33668135,,,https://www.ipni.org/a/13276-1,,,
1439,c00986,CUNNINGHAM,A.,"CUNNINGHAM, A.","CUNNINGHAM, Allan",1791-1839,"Explorer, botanist, official collector for Joseph Banks","CUNNINGHAM, A.","Cunningham, A.",1.0,1.0,http://www.wikidata.org/entity/Q545888,Allan Cunningham,Cunningham,A.,"Cunningham, A.",,15528184,0000 0000 6317 2409,46902.0,1916-1,A.Cunn.,,P000337b,1791.0,1839.0,,,http://www.wikidata.org/wiki/Q545888,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=46902,https://www.ipni.org/a/1916-1,,http://www.eoas.info/biogs/P000337b,http://adb.anu.edu.au/biography/cunningham-allan-1941
1441,c00988,CUNNINGHAM,G.H.,"CUNNINGHAM, G.H.","CUNNINGHAM, Gordon Heriot, Dr",1892-,Mycologist,"CUNNINGHAM, G.H.","Cunningham, G.H.",1.0,1.0,http://www.wikidata.org/entity/Q4212529,Gordon Herriot Cunningham,Cunningham,G.H.,"Cunningham, G.H.",,67074876,0000 0000 6319 7876,76500.0,17582-1,G.Cunn.,Q4212529,,1892.0,1962.0,,,http://www.wikidata.org/wiki/Q4212529,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=76500,https://www.ipni.org/a/17582-1,https://bloodhound-tracker.net/Q4212529,,
1442,c00989,CUNNINGHAM,R.,"CUNNINGHAM, R.","CUNNINGHAM, Richard",1793-1835,"Colonial Botanist, gardens superintendent (brother of Allan)","CUNNINGHAM, R.","Cunningham, R.",1.0,1.0,http://www.wikidata.org/entity/Q4212532,Richard Cunningham,Cunningham,R.,"Cunningham, R.",,37699631,,43251.0,1920-1,R.Cunn.,,P000338b,1793.0,1835.0,,,http://www.wikidata.org/wiki/Q4212532,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=43251,https://www.ipni.org/a/1920-1,,http://www.eoas.info/biogs/P000338b,http://adb.anu.edu.au/biography/cunningham-richard-1943
1446,c00993,CURRAN,J.M.[.,"CURRAN, J.M.[.","CURRAN, John Michael [Milne], Rev.",1859-1929,"Roman Catholic priest, lecturer, public servant, palaeobotanist","CURRAN, J.M.[.","Curran, J.M.(.",1.0,1.0,http://www.wikidata.org/entity/Q21535639,John Milne (Michael) Curran,Curran,J.M.(.,"Curran, J.M.(.",,,,,,,,P000088b,1859.0,1928.0,,,http://www.wikidata.org/wiki/Q21535639,,,,,http://www.eoas.info/biogs/P000088b,http://adb.anu.edu.au/biography/curran-john-milne-michael-3302
1449,c00996,CURTIS,W.M.,"CURTIS, W.M.","CURTIS, Winifred Mary, Dr*",1905-2005,"Botanist, author, mostly TAS","CURTIS, W.M.","Curtis, W.M.",1.0,1.0,http://www.wikidata.org/entity/Q452813,Winifred Mary Curtis,Curtis,W.M.,"Curtis, W.M.",,18025267,0000 0000 6369 563X,63894.0,1928-1,W.M.Curtis,Q452813,P003371b,1905.0,2005.0,,,http://www.wikidata.org/wiki/Q452813,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=63894,https://www.ipni.org/a/1928-1,https://bloodhound-tracker.net/Q452813,http://www.eoas.info/biogs/P003371b,
1461,c01007,DAHL,E.,"DAHL, E.","DAHL, Eiliff",,Lichen collector,"DAHL, E.","Dahl, Å.E.",1.0,1.0,http://www.wikidata.org/entity/Q6174156,Åslög E. Dahl,Dahl,Å.E.,"Dahl, Å.E.",,271903913,0000 0003 8378 7752,,38798-1,Å.E.Dahl,,,1955.0,,,,http://www.wikidata.org/wiki/Q6174156,,,https://www.ipni.org/a/38798-1,,,
1463,c01009,DAINTREE,R.,"DAINTREE, R.","DAINTREE, Richard",1831-1878,"Geologist, photographer","DAINTREE, R.","Daintree, R.",1.0,1.0,http://www.wikidata.org/entity/Q7325074,Richard Daintree,Daintree,R.,"Daintree, R.",,30946999,0000 0000 6705 3765,,,,,P000343b,1832.0,1878.0,,,http://www.wikidata.org/wiki/Q7325074,,,,,http://www.eoas.info/biogs/P000343b,http://adb.anu.edu.au/biography/daintree-richard-3350
1470,c01016,DALLACHY,J.,"DALLACHY, J.","DALLACHY, John",?1803-1871,"Gardens director, field, collector, VIC. and Qld.","DALLACHY, J.","Dallachy, J.",1.0,1.0,http://www.wikidata.org/entity/Q16065577,John Dallachy,Dallachy,J.,"Dallachy, J.",,,,,,,,P000040b,1803.0,1871.0,,,http://www.wikidata.org/wiki/Q16065577,,,,,http://www.eoas.info/biogs/P000040b,http://adb.anu.edu.au/biography/dallachy-john-3355
1471,c01017,DALTON,J.C.,"DALTON, J.C.","DALTON, J.C.",,,"DALTON, J.C.","Dalton, J.C.",1.0,1.0,http://www.wikidata.org/entity/Q1699523,John Call Dalton,Dalton,J.C.,"Dalton, J.C.",,10982516,0000 0000 8196 4047,,,,,,1825.0,1889.0,,,http://www.wikidata.org/wiki/Q1699523,,,,,,
1477,c01020,DAMPIER,W.,"DAMPIER, W.","DAMPIER, William",1652-1715,"Ship's Commander, privateer, explorer, writer","DAMPIER, W.","Dampier, W.",1.0,1.0,http://www.wikidata.org/entity/Q221125,William Dampier,Dampier,W.,"Dampier, W.",,12377608,0000 0001 0870 4983,,1977-1,Dampier,,P002316b,1651.0,1715.0,,,http://www.wikidata.org/wiki/Q221125,,,https://www.ipni.org/a/1977-1,,http://www.eoas.info/biogs/P002316b,http://adb.anu.edu.au/biography/dampier-william-1951
1478,c01021,DANA,J.D.,"DANA, J.D.","DANA, James Dwight, Prof.",1813-1895,"Biologist/geologist, Professor at Yale University","DANA, J.D.","Dana, J.D.",1.0,1.0,http://www.wikidata.org/entity/Q315366,James Dwight Dana,Dana,J.D.,"Dana, J.D.",,27128721,0000 0001 1933 050X,72573.0,1978-1,Dana,Q315366,P000347b,1813.0,1895.0,,,http://www.wikidata.org/wiki/Q315366,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=72573,https://www.ipni.org/a/1978-1,https://bloodhound-tracker.net/Q315366,http://www.eoas.info/biogs/P000347b,http://adb.anu.edu.au/biography/dana-james-dwight-1953
1488,c01031,DARE,M.,"DARE, M.","DARE, Miss",fl.1889,Collected for Mueller in WA,"DARE, M.","Dare, M.",1.0,1.0,http://www.wikidata.org/entity/Q21516281,Michael Dare,Dare,M.,"Dare, M.",,,,,37802-1,Dare,,,,,,,http://www.wikidata.org/wiki/Q21516281,,,https://www.ipni.org/a/37802-1,,,
1491,c01033,DARNELL-SMITH,G.P.,"DARNELL-SMITH, G.P.","DARNELL-SMITH, George Percy, Dr",1868-1942,Agricultural microbiologist,"DARNELL-SMITH, G.P.","Darnell-Smith, G.P.",1.0,1.0,http://www.wikidata.org/entity/Q21509817,George Percy Darnell-Smith,Darnell-Smith,G.P.,"Darnell-Smith, G.P.",,,,50170,17700-1,Darnell-Sm.,,P001015b,1868.0,1942.0,,,http://www.wikidata.org/wiki/Q21509817,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=50170,https://www.ipni.org/a/17700-1,,http://www.eoas.info/biogs/P001015b,http://adb.anu.edu.au/biography/darnell-smith-george-percy-5886
