,coll_index,surname_x,initials_x,clean_name,raw_name,name,matched_name,distance,dup_count,item,itemLabel,surname_y,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
2694,c02151,LUCAS,W.H.,"LUCAS, W.H.","LUCAS, W.H.","LUCAS, W.H.","Lucas, J.",0.7,2,http://www.wikidata.org/entity/Q36593883,J.A.W. Lucas,Lucas,J.,"Lucas, J.",,,,,33342-1,J.A.W.Lucas,,,,
2695,c01155,DUNCAN,B.D.,"DUNCAN, B.D.","DUNCAN, Betty Dallas, Mrs*","DUNCAN, B.D.","Duncan, J.",0.7,3,http://www.wikidata.org/entity/Q6132932,James Duncan,Duncan,J.,"Duncan, J.",,13824594,0000 0001 0978 1411,,,,1804.0,1861.0,,
2696,c01155,DUNCAN,B.D.,"DUNCAN, B.D.","DUNCAN, Betty Dallas, Mrs*","DUNCAN, B.D.","Duncan, J.",0.7,3,http://www.wikidata.org/entity/Q6230346,John Duncan,Duncan,J.,"Duncan, J.",,,,35997,,,1794.0,1881.0,,
2697,c01155,DUNCAN,B.D.,"DUNCAN, B.D.","DUNCAN, Betty Dallas, Mrs*","DUNCAN, B.D.","Duncan, J.",0.7,3,http://www.wikidata.org/entity/Q21511053,James Duncan,Duncan,J.,"Duncan, J.",,67203561,0000 0000 5188 2622,27652,13964-1,Duncan,1802.0,1876.0,,
2698,c02465,MORRISON,F.R.,"MORRISON, F.R.","MORRISON, Frank Richard","MORRISON, F.R.","Morrison, A.",0.7,3,http://www.wikidata.org/entity/Q2642700,Alexander Morrison,Morrison,A.,"Morrison, A.",,,,42177.0,6679-1,Morrison,1849.0,1913.0,,
2699,c02465,MORRISON,F.R.,"MORRISON, F.R.","MORRISON, Frank Richard","MORRISON, F.R.","Morrison, A.",0.7,3,http://www.wikidata.org/entity/Q47122988,A.W. Morrison,Morrison,A.,"Morrison, A.",,,,,23656-1,A.W.Morrison,,,,
2700,c02465,MORRISON,F.R.,"MORRISON, F.R.","MORRISON, Frank Richard","MORRISON, F.R.","Morrison, A.",0.7,3,http://www.wikidata.org/entity/Q88808700,A. Morrison,Morrison,A.,"Morrison, A.",,,,,20034490-1,A.Morrison,,,,
2701,c02857,SCOTT,J.I.M.,"SCOTT, J.I.M.","SCOTT, J. I. M.","SCOTT, J.I.M.","Scott, J.",0.7,3,http://www.wikidata.org/entity/Q6257080,John Scott,Scott,J.,"Scott, J.",,16549036,,,,,1823.0,1888.0,,
2702,c02857,SCOTT,J.I.M.,"SCOTT, J.I.M.","SCOTT, J. I. M.","SCOTT, J.I.M.","Scott, J.",0.7,3,http://www.wikidata.org/entity/Q11927850,John Scott,Scott,J.,"Scott, J.",,48942865,0000 0000 5387 9267,,9390-1,J.Scott,1836.0,1880.0,,
2703,c02857,SCOTT,J.I.M.,"SCOTT, J.I.M.","SCOTT, J. I. M.","SCOTT, J.I.M.","Scott, J.",0.7,3,http://www.wikidata.org/entity/Q88832122,J.S. Scott,Scott,J.,"Scott, J.",,,,,20039403-1,J.S.Scott,,,,
2704,c00008,ADAM,W.K.,"ADAM, W.K.","ADAM, William Keith","ADAM, W.K.","Adam, W.",0.71,1,http://www.wikidata.org/entity/Q2199456,William Adam,Adam,W.,"Adam, W.",,24776379,0000 0001 1609 330X,,,,1909.0,1988.0,,
2705,c00017,ADAMSON,F.M.,"ADAMSON, F.M.","ADAMSON, Frederick M.","ADAMSON, F.M.","Adamson, E.",0.71,1,http://www.wikidata.org/entity/Q39275631,Eleanor Adamson,Adamson,E.,"Adamson, E.",,,,,,,,,,
2706,c00031,ALCOCK,E.S.,"ALCOCK, E.S.","ALCOCK, Ernest Simpson","ALCOCK, E.S.","Alcock, J.",0.71,1,http://www.wikidata.org/entity/Q1699105,John Alcock,Alcock,J.,"Alcock, J.",,22202306,0000 0001 1439 4387,,,,1942.0,,,
2707,c00242,BARRY,E.,"BARRY, E.","BARRY, Elizabeth","BARRY, E.","Barry, J.",0.71,1,http://www.wikidata.org/entity/Q47113793,J.P. Barry,Barry,J.,"Barry, J.",,,,,31372-1,J.P.Barry,,,,
2708,c00290,BEAN,D.,"BEAN, D.","BEAN, Deirdre","BEAN, D.","Bean, A.",0.71,1,http://www.wikidata.org/entity/Q4772089,Anthony Bean,Bean,A.,"Bean, A.",,,,29229.0,35385-1,A.R.Bean,1957.0,,,
2709,c00501,BOYLE,A.C.,"BOYLE, A.C.","BOYLE, A.C.","BOYLE, A.C.","Boyle, R.",0.71,1,http://www.wikidata.org/entity/Q43393,Robert Boyle,Boyle,R.,"Boyle, R.",,51698379,0000 0001 0900 2537,,,,1627.0,1691.0,,
2710,c00518,BRAY,J.S.,"BRAY, J.S.","BRAY, J.S.","BRAY, J.S.","Pray, J.S.",0.71,1,http://www.wikidata.org/entity/Q23620375,James Sturgis Pray,Pray,J.S.,"Pray, J.S.",,71104605,0000 0000 4478 7248,,,,1871.0,1929.0,,
2711,c00593,BROWNE,M.M.[.,"BROWNE, M.M.[.","BROWNE, Margaret Marie [Maria], (nee  RILEY ) ^^","BROWNE, M.M.[.","Browne, C.",0.71,1,http://www.wikidata.org/entity/Q47114726,C.A. Browne,Browne,C.,"Browne, C.",,,,,34782-1,C.A.Browne,,,,
2712,c00629,BULL,W.P.,"BULL, W.P.","BULL, William Perkins ^^","BULL, W.P.","Bull, W.",0.71,1,http://www.wikidata.org/entity/Q6167579,William Bull,Bull,W.,"Bull, W.",,2897155566482013380007,,478,1279-1,W.Bull,1828.0,1902.0,,
2713,c01418,GILL,W.,"GILL, W.","GILL, Walter","GILL, W.","Gill, W.J.",0.71,1,http://www.wikidata.org/entity/Q1290046,William John Gill,Gill,W.J.,"Gill, W.J.",,169813739,0000 0001 1863 0690,22079.0,,,1843.0,1882.0,,
2714,c00736,CAMERON,S.W.,"CAMERON, S.W.","CAMERON, S.W. ^^","CAMERON, S.W.","Cameron, S.A.",0.71,1,http://www.wikidata.org/entity/Q61957012,Sydney A. Cameron,Cameron,S.A.,"Cameron, S.A.",,,,,,,,,,
2715,c00810,CHADWICK,Y.,"CHADWICK, Y.","CHADWICK, Y.","CHADWICK, Y.","Chadwick, A.A.",0.71,1,http://www.wikidata.org/entity/Q21516110,Arthur A. Chadwick,Chadwick,A.A.,"Chadwick, A.A.",,,,,20013484-1,A.A.Chadwick,,,,
2716,c00854,CLARKE,S.M.,"CLARKE, S.M.","CLARKE, Steven Mark","CLARKE, S.M.","Clarke, S.R.",0.71,1,http://www.wikidata.org/entity/Q3498696,Stephenson Robert Clarke,Clarke,S.R.,"Clarke, S.R.",,72300576,0000 0000 5004 5822,,,,1862.0,1948.0,,
2717,c00887,COCHRANE,G.R.,"COCHRANE, G.R.","COCHRANE, G. Ross","COCHRANE, G.R.","Cochrane, S.A.",0.71,1,http://www.wikidata.org/entity/Q36674192,Susan A. Cochrane,Cochrane,S.A.,"Cochrane, S.A.",,,,,36607-1,S.Cochrane,,,,
2718,c01099,DILLON,W.H.,"DILLON, W.H.","DILLON, W.H.","DILLON, W.H.","Dillon, M.",0.71,1,http://www.wikidata.org/entity/Q1927293,Michael Dillon,Dillon,M.,"Dillon, M.",0000-0002-7263-5537,123582478,,93260.0,18052-1,M.O.Dillon,1947.0,,,
2719,c01106,DOBSON,A.T.,"DOBSON, A.T.","DOBSON, Andrew Thomas, Dr*","DOBSON, A.T.","Dobson, M.",0.71,1,http://www.wikidata.org/entity/Q54318647,Michael Dobson,Dobson,M.,"Dobson, M.",,,,,,,,,,
2720,c01221,ENGELMARK,T.,"ENGELMARK, T.","ENGELMARK, Thor-Bjorn","ENGELMARK, T.","Engelmark, F.T.",0.71,1,http://www.wikidata.org/entity/Q21512182,Fred Thor-Bjorn Engelmark,Engelmark,F.T.,"Engelmark, F.T.",,,,,18506-1,Engelmark,1947.0,,,
