,label,count,start_date,end_date,activity_span,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
77,"Collier, P.A.",5265,1958.0,2011.0,53.0,"Collier, P.A.","Collier, P.A.",0.0,1,http://www.wikidata.org/entity/Q47115694,Philip A. Collier,Collier,P.A.,"Collier, P.A.",,,,,20032668-1,P.A.Collier,,,,
78,"Flecker, H.",5201,1847.0,1980.0,133.0,"Flecker, H.","Flecker, H.",0.0,1,http://www.wikidata.org/entity/Q21539192,Hugo Flecker,Flecker,H.,"Flecker, H.",,,,31020,,,1884.0,1957.0,,
79,"Dockrill, A.W.",5143,1935.0,1983.0,48.0,"Dockrill, A.W.","Dockrill, A.W.",0.0,1,http://www.wikidata.org/entity/Q5668895,Alick William Dockrill,Dockrill,A.W.,"Dockrill, A.W.",,91332777,0000 0000 6746 8792,9041.0,2243-1,Dockrill,1915.0,2011.0,,
80,"Briggs, J.D.",5133,1897.0,2001.0,104.0,"Briggs, J.D.","Briggs, J.D.",0.0,1,http://www.wikidata.org/entity/Q5933159,John D. Briggs,Briggs,J.D.,"Briggs, J.D.",,,,,36579-1,J.D.Briggs,1955.0,,,
81,"Lepp, H.",5023,1977.0,2016.0,39.0,"Lepp, H.","Lepp, H.",0.0,1,http://www.wikidata.org/entity/Q36575160,Heino Lepp,Lepp,H.,"Lepp, H.",,,,,20003043-1,Lepp,,,,
82,"Huisman, J.M.",5008,1981.0,2019.0,38.0,"Huisman, J.M.","Huisman, J.M.",0.0,1,http://www.wikidata.org/entity/Q21516642,John Marinus Huisman,Huisman,J.M.,"Huisman, J.M.",,,,,14743-1,Huisman,1958.0,,,
83,"Sharpe, P.R.",5007,1951.0,2007.0,56.0,"Sharpe, P.R.","Sharpe, P.R.",0.0,1,http://www.wikidata.org/entity/Q21608752,Philip Ridley Sharpe,Sharpe,P.R.,"Sharpe, P.R.",,,,,26604-1,Sharpe,1915.0,,,
84,"Rogers, R.W.",4945,1959.0,2016.0,57.0,"Rogers, R.W.","Rogers, R.W.",0.0,1,http://www.wikidata.org/entity/Q21387939,Roderick Westgarth Rogers,Rogers,R.W.,"Rogers, R.W.",,,,,25728-1,R.W.Rogers,1944.0,,,
85,"Lyne, A.M.",4835,1955.0,2007.0,52.0,"Lyne, A.M.","Lyne, A.M.",0.0,1,http://www.wikidata.org/entity/Q33682944,A.M. Lyne,Lyne,A.M.,"Lyne, A.M.",,,,,36012-1,Lyne,,,,
86,"Schodde, R.",4693,1930.0,1998.0,68.0,"Schodde, R.","Schodde, R.",0.0,1,http://www.wikidata.org/entity/Q534418,Richard Schodde,Schodde,R.,"Schodde, R.",,25963023,0000 0001 1610 3379,28692.0,9212-1,Schodde,1936.0,,,
87,"Leach, G.",4657,1954.0,2018.0,64.0,"Leach, G.","Leach, G.",0.0,1,http://www.wikidata.org/entity/Q5885625,Gregory Leach,Leach,G.,"Leach, G.",,93986303,0000 0000 8456 7573,,13146-1,G.J.Leach,1952.0,,,
88,"Dallachy, J.",4638,1848.0,1892.0,44.0,"Dallachy, J.","Dallachy, J.",0.0,1,http://www.wikidata.org/entity/Q16065577,John Dallachy,Dallachy,J.,"Dallachy, J.",,,,,,,1803.0,1871.0,,
89,"Cambage, R.H.",4633,1883.0,2011.0,128.0,"Cambage, R.H.","Cambage, R.H.",0.0,1,http://www.wikidata.org/entity/Q7326472,Richard Hind Cambage,Cambage,R.H.,"Cambage, R.H.",,94692053,,13814,12111-1,Cambage,1859.0,1928.0,,
90,"Entwisle, T.J.",4483,1980.0,2015.0,35.0,"Entwisle, T.J.","Entwisle, T.J.",0.0,1,http://www.wikidata.org/entity/Q21512240,Timothy John Entwisle,Entwisle,T.J.,"Entwisle, T.J.",,93619302,0000 0000 7739 0319,66259.0,14571-1,Entwisle,1960.0,,,
91,"Carr, G.W.",4471,1924.0,2015.0,91.0,"Carr, G.W.","Carr, G.W.",0.0,1,http://www.wikidata.org/entity/Q3281577,Geoffrey William Carr,Carr,G.W.,"Carr, G.W.",,,,,13236-1,G.W.Carr,1948.0,,,
92,"Green, J.W.",4454,1940.0,2012.0,72.0,"Green, J.W.","Green, J.W.",0.0,1,http://www.wikidata.org/entity/Q21391513,John Wagener Green,Green,J.W.,"Green, J.W.",,,,,,,,,,
93,"Nicolle, D.",4351,1990.0,2017.0,27.0,"Nicolle, D.","Nicolle, D.",0.0,1,http://www.wikidata.org/entity/Q18987043,Dean Nicolle,Nicolle,D.,"Nicolle, D.",,92803422,0000 0004 3078 5769,45177.0,36915-1,D.Nicolle,1974.0,,,
94,"Baeuerlen, W.",4287,1874.0,1990.0,116.0,"Baeuerlen, W.","Baeuerlen, W.",0.0,1,http://www.wikidata.org/entity/Q62088127,William Baeuerlen,Baeuerlen,W.,"Baeuerlen, W.",,,,27830,,,1840.0,1893.0,,
95,"Cheel, E.",4248,1840.0,2003.0,163.0,"Cheel, E.","Cheel, E.",0.0,1,http://www.wikidata.org/entity/Q2612815,Edwin Cheel,Cheel,E.,"Cheel, E.",,91689531,,50105.0,1562-1,Cheel,1872.0,1951.0,,
96,"Millar, A.J.K.",4201,1979.0,2005.0,26.0,"Millar, A.J.K.","Millar, A.J.K.",0.0,1,http://www.wikidata.org/entity/Q21521498,Alan J.K. Millar,Millar,A.J.K.,"Millar, A.J.K.",,,,,33503-1,A.Millar,1957.0,,,
97,"Hunter, J.T.",4185,1984.0,2012.0,28.0,"Hunter, J.T.","Hunter, J.T.",0.0,1,http://www.wikidata.org/entity/Q5933635,John T. Hunter,Hunter,J.T.,"Hunter, J.T.",,269291367,0000 0000 8299 1039,,36755-1,McGann,1967.0,,,
98,"Jeanes, J.A.",4143,1983.0,2018.0,35.0,"Jeanes, J.A.","Jeanes, J.A.",0.0,1,http://www.wikidata.org/entity/Q21395685,Jeffrey A. Jeanes,Jeanes,J.A.,"Jeanes, J.A.",,,,41963,39451-1,Jeanes,,,,
99,"Hoogland, R.D.",4108,1951.0,1986.0,35.0,"Hoogland, R.D.","Hoogland, R.D.",0.0,1,http://www.wikidata.org/entity/Q7383565,Ruurd Dirk Hoogland,Hoogland,R.D.,"Hoogland, R.D.",,76996934,0000 0000 5019 6241,18765,4083-1,Hoogland,1922.0,1994.0,,
100,"Hunt, D.",4107,1914.0,1997.0,83.0,"Hunt, D.","Hunt, D.",0.0,1,http://www.wikidata.org/entity/Q1176320,David Hunt,Hunt,D.,"Hunt, D.",,100291349,0000 0001 1511 9272,,4232-1,D.R.Hunt,1938.0,2019.0,,
101,"Wakefield, N.A.",3942,1918.0,1989.0,71.0,"Wakefield, N.A.","Wakefield, N.A.",0.0,1,http://www.wikidata.org/entity/Q7051918,Norman Arthur Wakefield,Wakefield,N.A.,"Wakefield, N.A.",,21877425,0000 0001 1044 2062,49120,11324-1,N.A.Wakef.,1918.0,1972.0,,
102,"Story, R.",3940,1900.0,1996.0,96.0,"Story, R.","Story, R.",0.0,1,http://www.wikidata.org/entity/Q18166629,Robert Story,Story,R.,"Story, R.",,306222201,0000 0004 2594 0306,,10190-1,Story,1913.0,1999.0,,
103,"Thomas, M.B.",3903,1965.0,2018.0,53.0,"Thomas, M.B.","Thomas, M.B.",0.0,1,http://www.wikidata.org/entity/Q21610629,Mason Blanchard Thomas,Thomas,M.B.,"Thomas, M.B.",,,,,10597-1,M.B.Thomas,1866.0,1912.0,,
104,"Blaxell, D.F.",3890,1954.0,2002.0,48.0,"Blaxell, D.F.","Blaxell, D.F.",0.0,1,http://www.wikidata.org/entity/Q4088436,Donald Frederick Blaxell,Blaxell,D.F.,"Blaxell, D.F.",,311322491,,38070.0,853-1,Blaxell,1934.0,,,
105,"Olde, P.M.",3887,1904.0,2016.0,112.0,"Olde, P.M.","Olde, P.M.",0.0,1,http://www.wikidata.org/entity/Q6073432,Peter M. Olde,Olde,P.M.,"Olde, P.M.",,,,83405,36064-1,Olde,1957.0,,,
106,"Morris, D.I.",3865,1961.0,2004.0,43.0,"Morris, D.I.","Morris, D.I.",0.0,1,http://www.wikidata.org/entity/Q21388745,Dennis Ivor Morris,Morris,D.I.,"Morris, D.I.",,,,,6672-1,D.I.Morris,1924.0,2005.0,,
107,"Tepper, J.G.O.",3861,1829.0,1996.0,167.0,"Tepper, J.G.O.","Tepper, J.G.O.",0.0,1,http://www.wikidata.org/entity/Q2891010,Johann Gottlieb Otto Tepper,Tepper,J.G.O.,"Tepper, J.G.O.",,92102539,0000 0000 6611 3308,7487.0,10515-1,Tepper,1841.0,1923.0,,
108,"Brown, E.A.",3788,1974.0,2012.0,38.0,"Brown, E.A.","Brown, E.A.",0.0,1,http://www.wikidata.org/entity/Q21506537,Elizabeth Anne Brown,Brown,E.A.,"Brown, E.A.",,44407399,0000 0001 2130 4490,87008,38855-1,E.A.Br.,1956.0,2013.0,,
