,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,match_string,name,matched_name,distance,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
123,18385,Short,P.S.,Phillip,3469,1971,2011,"Short, P.S.","Short, P.S.","Short, P.",0.63,1,http://www.wikidata.org/entity/Q5814766,Philip Short,Short,P.,"Short, P.",,,,,14568-1,P.S.Short,1955.0,,,
124,21755,Wilhelmi,J.F.C.,,1035,1847,1887,"Wilhelmi, J.F.C.","Wilhelmi, J.F.C.","Wilhelmi, J.",0.63,1,http://www.wikidata.org/entity/Q19214615,J. Wilhelmi,Wilhelmi,J.,"Wilhelmi, J.",,57390646,0000 0000 8239 5755,,,,1880.0,1937.0,,
125,4419,Cowie,I.D.,Ian,3135,1981,2018,"Cowie, I.D.","Cowie, I.D.","Cowie, I.",0.63,2,http://www.wikidata.org/entity/Q6076172,Isaac Cowie,Cowie,I.,"Cowie, I.",,104503637,0000 0000 7897 3559,,,,1848.0,1917.0,,
126,4419,Cowie,I.D.,Ian,3135,1981,2018,"Cowie, I.D.","Cowie, I.D.","Cowie, I.",0.63,2,http://www.wikidata.org/entity/Q18983983,Ian Cowie,Cowie,I.,"Cowie, I.",,,,,36613-1,Cowie,,,,
127,465,Archer,W.R.,William Richard,1591,1978,2013,"Archer, W.R.","Archer, W.R.","Archer, W.",0.63,2,http://www.wikidata.org/entity/Q10426833,William Archer,Archer,W.,"Archer, W.",,80807018,0000 0000 5618 1569,,254-1,W.Archer,1830.0,1897.0,,
128,465,Archer,W.R.,William Richard,1591,1978,2013,"Archer, W.R.","Archer, W.R.","Archer, W.",0.63,2,http://www.wikidata.org/entity/Q5560171,William Archer,Archer,W.,"Archer, W.",,126582709,,83524.0,35392-1,W.Archer bis,1820.0,1874.0,,
129,1257,Bean,A.R.,Tony,3270,1966,2017,"Bean, A.R.","Bean, A.R.","Bean, A.",0.64,1,http://www.wikidata.org/entity/Q4772089,Anthony Bean,Bean,A.,"Bean, A.",,,,29229.0,35385-1,A.R.Bean,1957.0,,,
130,16191,Preiss,J.A.L.,,3918,1838,1870,"Preiss, J.A.L.","Preiss, J.A.L.","Preiss, J.",0.65,1,http://www.wikidata.org/entity/Q55071172,Julius Preiss,Preiss,J.,"Preiss, J.",,,,,,,1885.0,1953.0,,
131,2189,Bowman,E.M.,,2200,1859,1873,"Bowman, E.M.","Bowman, E.M.","Bowman, J.",0.65,1,http://www.wikidata.org/entity/Q21539398,James Bowman,Bowman,J.,"Bowman, J.",,,,,,,1784.0,1846.0,,
132,18465,Simmons,J.G.,,5845,1944,2005,"Simmons, J.G.","Simmons, J.G.","Simmons, P.",0.66,1,http://www.wikidata.org/entity/Q55072643,Perez Simmons,Simmons,P.,"Simmons, P.",,246700625,0000 0004 3521 9969,,,,1892.0,1983.0,,
133,8823,Healey,K.,,1014,1953,1963,"Healey, K.","Healey, K.","Healey, M.",0.66,1,http://www.wikidata.org/entity/Q73144107,Maud Healey,Healey,M.,"Healey, M.",,,,,,,,,,
134,602,Aston,H.I.,Helen,4274,1951,2000,"Aston, H.I.","Aston, H.I.","Aston, H.",0.67,1,http://www.wikidata.org/entity/Q21393448,Helen Aston,Aston,H.,"Aston, H.",,45910872,0000 0000 3357 188X,73165.0,13241-1,Aston,1934.0,,,
135,453,Archer,B.,Barbara,2464,1979,2005,"Archer, B.","Archer, B.","Archer, M.",0.67,1,http://www.wikidata.org/entity/Q957612,Mike Archer,Archer,M.,"Archer, M.",0000-0002-0304-4039,35146635430341981061,0000 0001 1084 2971,,,,1945.0,,,
136,6548,Fitzalan,E.F.A.,Eugene Fitzherbaert Albini,2059,1855,1974,"Fitzalan, E.F.A.","Fitzalan, E.F.A.","Fitzalan, E.",0.67,1,http://www.wikidata.org/entity/Q23765917,Eugene Fitzalan,Fitzalan,E.,"Fitzalan, E.",,,,25588,,,1830.0,1911.0,,
137,16486,Ralston,K.,,1902,1990,2007,"Ralston, K.","Ralston, K.","Ralston, B.E.",0.68,1,http://www.wikidata.org/entity/Q14949164,Barbara E. Ralston,Ralston,B.E.,"Ralston, B.E.",0000-0001-9991-8994,,,46171,14907-1,Ralston,,,,
138,18470,Simmons,M.H.,,5900,1944,2005,"Simmons, M.H.","Simmons, M.H.","Simmons, M.P.",0.69,1,http://www.wikidata.org/entity/Q19002124,Mark P. Simmons,Simmons,M.P.,"Simmons, M.P.",,,,,37726-1,M.P.Simmons,,,,
139,6219,Ewers,W.H.,,1080,1958,1990,"Ewers, W.H.","Ewers, W.H.","Ewers, R.",0.69,1,http://www.wikidata.org/entity/Q22105577,R. Ewers,Ewers,R.,"Ewers, R.",,,,,,,,,,
140,3933,Cochrane,A.C.,Alexander,1186,1998,2000,"Cochrane, A.C.","Cochrane, A.C.","Cochrane, S.A.",0.7,1,http://www.wikidata.org/entity/Q36674192,Susan A. Cochrane,Cochrane,S.A.,"Cochrane, S.A.",,,,,36607-1,S.Cochrane,,,,
141,11873,Lewis,S.H.,Simon,1518,1971,2003,"Lewis, S.H.","Lewis, S.H.","Lewis, S.M.",0.7,2,http://www.wikidata.org/entity/Q1261231,Sam M. Lewis,Lewis,S.M.,"Lewis, S.M.",,2030786,0000 0000 7358 5530,,,,1885.0,1959.0,,
142,11873,Lewis,S.H.,Simon,1518,1971,2003,"Lewis, S.H.","Lewis, S.H.","Lewis, S.M.",0.7,2,http://www.wikidata.org/entity/Q47121129,Sara M. Lewis,Lewis,S.M.,"Lewis, S.M.",,,,,33273-1,S.M.Lewis,,,,
143,5687,Duncan,B.D.,Betty Dallas,1206,1972,1997,"Duncan, B.D.","Duncan, B.D.","Duncan, J.",0.7,3,http://www.wikidata.org/entity/Q6132932,James Duncan,Duncan,J.,"Duncan, J.",,13824594,0000 0001 0978 1411,,,,1804.0,1861.0,,
144,5687,Duncan,B.D.,Betty Dallas,1206,1972,1997,"Duncan, B.D.","Duncan, B.D.","Duncan, J.",0.7,3,http://www.wikidata.org/entity/Q6230346,John Duncan,Duncan,J.,"Duncan, J.",,,,35997,,,1794.0,1881.0,,
145,5687,Duncan,B.D.,Betty Dallas,1206,1972,1997,"Duncan, B.D.","Duncan, B.D.","Duncan, J.",0.7,3,http://www.wikidata.org/entity/Q21511053,James Duncan,Duncan,J.,"Duncan, J.",,67203561,0000 0000 5188 2622,27652,13964-1,Duncan,1802.0,1876.0,,
146,4125,Conn,B.J.,Barry,2186,1970,2014,"Conn, B.J.","Conn, B.J.","Conn, B.",0.72,1,http://www.wikidata.org/entity/Q21340328,Barry Conn,Conn,B.,"Conn, B.",0000-0001-9832-3809,91424478,,,13263-1,B.J.Conn,1948.0,,,
147,11719,Leichhardt,F.W.L.,,2518,1842,1848,"Leichhardt, F.W.L.","Leichhardt, F.W.L.","Leichhardt, L.",0.73,1,http://www.wikidata.org/entity/Q57763,Ludwig Leichhardt,Leichhardt,L.,"Leichhardt, L.",,19812603,0000 0000 8098 9904,70138.0,5440-1,Leichh.,1813.0,1848.0,,
148,15174,Orchard,A.E.,Tony,1101,1968,2010,"Orchard, A.E.","Orchard, A.E.","Orchard, T.",0.73,1,http://www.wikidata.org/entity/Q5696944,Tony Orchard,Orchard,T.,"Orchard, T.",,54431056,0000 0001 1472 8754,46649.0,7159-1,Orchard,1946.0,,,
149,22407,Zeyher,C.L.P.,,2276,1822,1895,"Zeyher, C.L.P.","Zeyher, C.L.P.","Zeyher, K.L.P.",0.76,1,http://www.wikidata.org/entity/Q86271,Karl Ludwig Philipp Zeyher,Zeyher,K.L.P.,"Zeyher, K.L.P.",,29882971,0000 0000 0504 3860,21300.0,13042-1,Zeyh.,1799.0,1858.0,,
