,label,i18nCode,count,fq,start_date,end_date,activity_span,index,name,matched_name,distance,item_count,items,item_labels
976,"Scott, G.A.M.","collector.Scott, G.A.M.",721,"collector:""Scott, G.A.M.""",1962.0,1999.0,37.0,795,"Scott, G.A.M.","Scott, G.A.M.",0.0,1,http://www.wikidata.org/entity/Q21608563,George Anderson Macdonald Scott
977,"Welch, M.B.","collector.Welch, M.B.",717,"collector:""Welch, M.B.""",1896.0,2001.0,105.0,22,"Welch, M.B.","Welch, M.B.",0.0,1,http://www.wikidata.org/entity/Q21340713,Marcus Baldwin Welch
978,"Barber, H.N.","collector.Barber, H.N.",713,"collector:""Barber, H.N.""",1912.0,1970.0,58.0,204,"Barber, H.N.","Barber, H.N.",0.0,1,http://www.wikidata.org/entity/Q21165067,Horace Newton Barber
979,"Hall, T.","collector.Hall, T.",713,"collector:""Hall, T.""",1909.0,2014.0,105.0,257,"Hall, T.","Hall, T.",0.0,1,http://www.wikidata.org/entity/Q33675022,Tony Hall
986,"Hussey, J.L.","collector.Hussey, J.L.",697,"collector:""Hussey, J.L.""",1891.0,1973.0,82.0,569,"Hussey, J.L.","Hussey, J.L.",0.0,1,http://www.wikidata.org/entity/Q66763410,Jessie Louisa Hussey
989,"Wright, G.T.","collector.Wright, G.T.",694,"collector:""Wright, G.T.""",1998.0,2019.0,21.0,264,"Wright, G.T.","Wright, G.T.",0.0,1,http://www.wikidata.org/entity/Q59606231,Genevieve T. Wright
990,"Bayer, R.J.","collector.Bayer, R.J.",693,"collector:""Bayer, R.J.""",1944.0,2009.0,65.0,463,"Bayer, R.J.","Bayer, R.J.",0.0,1,http://www.wikidata.org/entity/Q7291564,Randall James Bayer
991,"Catcheside, D.G.","collector.Catcheside, D.G.",693,"collector:""Catcheside, D.G.""",1951.0,1991.0,40.0,9,"Catcheside, D.G.","Catcheside, D.G.",0.0,1,http://www.wikidata.org/entity/Q21165808,David Guthrie Catcheside
992,"Hamilton, A.G.","collector.Hamilton, A.G.",692,"collector:""Hamilton, A.G.""",1882.0,1992.0,110.0,494,"Hamilton, A.G.","Hamilton, A.G.",0.0,1,http://www.wikidata.org/entity/Q21514592,Alexandra Greenlaw Hamilton
9,"Gray, B.","collector.Gray, B.",35130,"collector:""Gray, B.""",1956.0,2020.0,64.0,373,"Gray, B.","Gray, B.",0.0,2,http://www.wikidata.org/entity/Q52483753|http://www.wikidata.org/entity/Q13415750,Bessie Gray|Bruce Gray
36,"Willis, J.H.","collector.Willis, J.H.",21961,"collector:""Willis, J.H.""",1885.0,1996.0,111.0,546,"Willis, J.H.","Willis, J.H.",0.0,2,http://www.wikidata.org/entity/Q6135471|http://www.wikidata.org/entity/Q47128902,James Hamlyn Willis|John H. Willis
57,"Buchanan, A.M.","collector.Buchanan, A.M.",17177,"collector:""Buchanan, A.M.""",1966.0,2019.0,53.0,700,"Buchanan, A.M.","Buchanan, A.M.",0.0,2,http://www.wikidata.org/entity/Q21506601|http://www.wikidata.org/entity/Q21337603,Alex M. Buchanan|Audria M. Buchanan
70,"Watts, W.W.","collector.Watts, W.W.",14790,"collector:""Watts, W.W.""",1877.0,2004.0,127.0,584,"Watts, W.W.","Watts, W.W.",0.0,2,http://www.wikidata.org/entity/Q2516590|http://www.wikidata.org/entity/Q3569020,William Whitehead Watts|William Walter Watts
71,"Cowie, I.","collector.Cowie, I.",14584,"collector:""Cowie, I.""",1966.0,2020.0,54.0,612,"Cowie, I.","Cowie, I.",0.0,2,http://www.wikidata.org/entity/Q6076172|http://www.wikidata.org/entity/Q18983983,Isaac Cowie|Ian Cowie
79,"Wilson, P.G.","collector.Wilson, P.G.",13225,"collector:""Wilson, P.G.""",1927.0,2018.0,91.0,127,"Wilson, P.G.","Wilson, P.G.",0.0,2,http://www.wikidata.org/entity/Q910302|http://www.wikidata.org/entity/Q6073393,Paul Graham Wilson|Peter Gordon Wilson
82,"Stajsic, V.","collector.Stajsic, V.",12813,"collector:""Stajsic, V.""",1900.0,2020.0,120.0,497,"Stajsic, V.","Stajsic, V.",0.0,2,http://www.wikidata.org/entity/Q26714177|http://www.wikidata.org/entity/Q21395366,V. Stajsic|Val Stajsic
182,"Melville, R.","collector.Melville, R.",6265,"collector:""Melville, R.""",1853.0,2007.0,154.0,962,"Melville, R.","Melville, R.",0.0,2,http://www.wikidata.org/entity/Q7365114|http://www.wikidata.org/entity/Q7347619,Ronald Melville|Robert Melville
230,"Smith, R.V.","collector.Smith, R.V.",4729,"collector:""Smith, R.V.""",1941.0,2001.0,60.0,694,"Smith, R.V.","Smith, R.V.",0.0,2,http://www.wikidata.org/entity/Q21609131|http://www.wikidata.org/entity/Q21387929,Raymond Vaughan Smith|Raymond Vaughan Smith
247,"Harris, M.","collector.Harris, M.",825,"collector:""Harris, M.""",1958.0,2013.0,55.0,576,"Harris, M.","Harris, M.",0.0,2,http://www.wikidata.org/entity/Q720166|http://www.wikidata.org/entity/Q61010958,Moses Harris|Mark Harris
248,"Smith, B.H.","collector.Smith, B.H.",4389,"collector:""Smith, B.H.""",1898.0,2005.0,107.0,277,"Smith, B.H.","Smith, B.H.",0.0,2,http://www.wikidata.org/entity/Q21609071|http://www.wikidata.org/entity/Q21609070,Benjamin Hayes Smith|Benjamin Harrison Smith
304,"Nelson, D.","collector.Nelson, D.",3594,"collector:""Nelson, D.""",1776.0,2010.0,234.0,422,"Nelson, D.","Nelson, D.",0.0,2,http://www.wikidata.org/entity/Q1175873|http://www.wikidata.org/entity/Q22112610,David Nelson|Diane Nelson
324,"Cooper, W. | Cooper, W.","collector.Cooper, W. | Cooper, W.",3230,"collector:""Cooper, W. | Cooper, W.""",1989.0,2006.0,17.0,529,"Cooper, W. | Cooper, W.","Cooper, W.",0.0,2,http://www.wikidata.org/entity/Q18534967|http://www.wikidata.org/entity/Q3078870,William Cooper|William Cooper
325,"Cooper, W.","collector.Cooper, W.",1056,"collector:""Cooper, W.""",1963.0,2018.0,55.0,954,"Cooper, W.","Cooper, W.",0.0,2,http://www.wikidata.org/entity/Q18534967|http://www.wikidata.org/entity/Q3078870,William Cooper|William Cooper
338,"Skinner, S.","collector.Skinner, S.",3076,"collector:""Skinner, S.""",1967.0,2020.0,53.0,849,"Skinner, S.","Skinner, S.",0.0,2,http://www.wikidata.org/entity/Q6134185|http://www.wikidata.org/entity/Q33693679,Stephen Skinner|S.G. Skinner
