family_name,initials,given_names,name,num_det
Thompson,I.,NULL,"Thompson, I.",1815
Bennett,E.M.,Eleanor,"Bennett, E.M.",1773
Carr,G.W.,Geoff,"Carr, G.W.",1748
Lebel,T.,Teresa,"Lebel, T.",1741
Rye,B.L.,Barbara,"Rye, B.L.",1691
Kondratyuk,S.Y.,NULL,"Kondratyuk, S.Y.",1690
Kellermann,J.,Juergen,"Kellermann, J.",1647
Cooke,D.A.,NULL,"Cooke, D.A.",1628
Wilson,P.G.,Peter,"Wilson, P.G.",1623
Weber,J.Z.,NULL,"Weber, J.Z.",1558
Chappill,J.,NULL,"Chappill, J.",1518
Jolley,H.M.,Helen,"Jolley, H.M.",1486
Chippendale,G.M.,NULL,"Chippendale, G.M.",1462
Smith,P.,NULL,"Smith, P.",1460
Briggs,B.G.,Barbara,"Briggs, B.G.",1460
Cowan,R.S.,NULL,"Cowan, R.S.",1455
Brown,A.J.,Austin,"Brown, A.J.",1430
Hyland,B.P.M.,NULL,"Hyland, B.P.M.",1429
Clarke,I.C.,Ian,"Clarke, I.C.",1421
Kok,"R.P.J. de",Rogier,"Kok, R.P.J. de",1417
Henderson,R.J.F.,NULL,"Henderson, R.J.F.",1400
Barker,W.R.,Bill,"Barker, W.R.",1397
Coveny,R.G.,NULL,"Coveny, R.G.",1395
Threlfall,S.M.,NULL,"Threlfall, S.M.",1387
Powell,J.M.,NULL,"Powell, J.M.",1308
Elix,J.A.,Jack,"Elix, J.A.",1271
Bates,R.,NULL,"Bates, R.",1264
Dunlop,C.R.,NULL,"Dunlop, C.R.",1255
Flann,C.,Christina,"Flann, C.",1220
Vollebergh,P.J.,NULL,"Vollebergh, P.J.",1212
Haegi,L.,Laurie,"Haegi, L.",1200
Meagher,D.A.,David,"Meagher, D.A.",1193
Sinkora,D.,NULL,"Sinkora, D.",1192
Reid,J.C.,John,"Reid, J.C.",1180
Wilson,P.G.,NULL,"Wilson, P.G.",1122
Simmons,M.H.,NULL,"Simmons, M.H.",1113
Reese,W.D.,NULL,"Reese, W.D.",1084
Spencer,R.D.,Roger,"Spencer, R.D.",1076
Jessup,L.W.,Laurie,"Jessup, L.W.",1064
Hummel,D.A.,David,"Hummel, D.A.",1058
Tindale,M.D.,"Mary Douglas","Tindale, M.D.",1014
Rule,K.,Kevin,"Rule, K.",1012
Carolin,R.C.,NULL,"Carolin, R.C.",1007
Stauffer,H.U.,NULL,"Stauffer, H.U.",996
Thiele,K.R.,Kevin,"Thiele, K.R.",989
Slee,A.V.,Andrew,"Slee, A.V.",989
Brownsey,P.J.,NULL,"Brownsey, P.J.",977
Guymer,G.P.,Gordon,"Guymer, G.P.",973
Halford,D.,David,"Halford, D.",970
Johnston,J.,NULL,"Johnston, J.",959
Forbes,S.J.,NULL,"Forbes, S.J.",958
Bostock,P.D.,Peter,"Bostock, P.D.",953
Everett,J.,Joy,"Everett, J.",941
Hartley,T.G.,Thomas,"Hartley, T.G.",932
Benl,G.,NULL,"Benl, G.",894
Kraft,G.T.,Gerry,"Kraft, G.T.",893
Wilkins,C.F.,Carolyn,"Wilkins, C.F.",892
Tindale,M.,Mary,"Tindale, M.",889
Shepherd,K.A.,Kelly,"Shepherd, K.A.",857
Duncan,B.D.,"Betty Dallas","Duncan, B.D.",839
Lemson,K.,NULL,"Lemson, K.",834
Telford,I.R.,Ian,"Telford, I.R.",834
Corrick,M.G.,"Margaret Georgina","Corrick, M.G.",829
Touw,A.,NULL,"Touw, A.",818
Reynolds,S.T.,NULL,"Reynolds, S.T.",812
Jobson,P.C.,Peter,"Jobson, P.C.",811
Macfarlane,T.D.,Terry,"Macfarlane, T.D.",797
Bayer,R.J.,Randall,"Bayer, R.J.",779
Casanova,M.T.,Michelle,"Casanova, M.T.",779
Streimann,H.,NULL,"Streimann, H.",761
Ramsay,H.P.,Helen,"Ramsay, H.P.",744
Eichler,H.,NULL,"Eichler, H.",744
Veldkamp,J.F.,"Jan ","Veldkamp, J.F.",737
Ohlsen,D.J.,Daniel,"Ohlsen, D.J.",735
Mabberley,D.J.,NULL,"Mabberley, D.J.",734
Green,P.S.,"Peter Shaw","Green, P.S.",730
Kantvilas,G.,Gintaras,"Kantvilas, G.",725
Wiecek,B.M.,NULL,"Wiecek, B.M.",718
Galloway,D.J.,NULL,"Galloway, D.J.",715
Thompson,E.J.,John,"Thompson, E.J.",704
Burbidge,N.T.,"Nancy Tyson","Burbidge, N.T.",704
Court,A.B.,NULL,"Court, A.B.",704
Johnson,R.W.,Robert,"Johnson, R.W.",702
Todd,M.A.,NULL,"Todd, M.A.",699
Palmer,J.,NULL,"Palmer, J.",692
"Airy Shaw",H.K.,NULL,"Airy Shaw, H.K.",687
Franc,N.,NULL,"Franc, N.",676
Bates,R.J.,NULL,"Bates, R.J.",671
Udovicic,F.,Frank,"Udovicic, F.",661
Milne,J.,Josephine,"Milne, J.",651
Dyer,S.,NULL,"Dyer, S.",630
Frodin,D.G.,NULL,"Frodin, D.G.",620
Vitt,D.H.,NULL,"Vitt, D.H.",618
Makinson,R.O.,Bob,"Makinson, R.O.",613
Lloyd,S.J.,Sarah,"Lloyd, S.J.",613
Conran,J.G.,NULL,"Conran, J.G.",608
Brown,E.A.,Elizabeth,"Brown, E.A.",604
Weston,P.H.,Peter,"Weston, P.H.",596
Trappe,J.M.,James,"Trappe, J.M.",595
Catcheside,D.G.,NULL,"Catcheside, D.G.",592
Toelken,H.R.,NULL,"Toelken, H.R.",583
Taylor,P.,NULL,"Taylor, P.",582
Muasya,A.M.,NULL,"Muasya, A.M.",581
Miller,C.H.,NULL,"Miller, C.H.",577
West,J.G.,Judy,"West, J.G.",571
Hopper,S.D.,NULL,"Hopper, S.D.",569
Marchant,N.G.,Neville,"Marchant, N.G.",564
Birch,J.L.,"Joanne ","Birch, J.L.",556
Keighery,G.J.,Greg,"Keighery, G.J.",556
Hoogland,R.D.,"Ruurd Dirk","Hoogland, R.D.",555
Bruhl,J.J.,Jeremy,"Bruhl, J.J.",554
Swenson,U.,Ulf,"Swenson, U.",553
Chambers,T.C.,NULL,"Chambers, T.C.",549
Steetz,J.,NULL,"Steetz, J.",545
Maesen,"L.J.G. van der",NULL,"Maesen, L.J.G. van der",537
Green,J.W.,NULL,"Green, J.W.",537
Smith,P.J.,NULL,"Smith, P.J.",536
Snow,N.,Neil,"Snow, N.",530
Kodela,P.G.,Phillip,"Kodela, P.G.",529
Taplin,R.L.,NULL,"Taplin, R.L.",520
Belcher,R.O.,Robert,"Belcher, R.O.",519
Taylor,J.M.,NULL,"Taylor, J.M.",518
Scarlett,N.H.,Neville,"Scarlett, N.H.",518
Slageren,"M.W. van",Michiel,"Slageren, M.W. van",511
Morrison,D.,NULL,"Morrison, D.",501
Butcher,R.,Ryonen,"Butcher, R.",499
Whistler,W.A.,Art,"Whistler, W.A.",497
Papassotiriou,S.E.,Sabine,"Papassotiriou, S.E.",495
Williamson,H.B.,"Herbert Bennett","Williamson, H.B.",489
Bonaparte,R.,NULL,"Bonaparte, R.",487
Cowie,I.D.,Ian,"Cowie, I.D.",473
Gray,M.,NULL,"Gray, M.",473
Horton,P.,NULL,"Horton, P.",462
Archer,A.W.,NULL,"Archer, A.W.",454
Mitchell,A.,NULL,"Mitchell, A.",446
Nee,M.,Michael,"Nee, M.",444
Geerinck,D.,NULL,"Geerinck, D.",439
Canning,E.M.,NULL,"Canning, E.M.",439
Lally,T.R.,Terena,"Lally, T.R.",438
Clarkson,J.R.,NULL,"Clarkson, J.R.",438
Costea,M.,Mihai,"Costea, M.",436
Byrnes,N.,NULL,"Byrnes, N.",433
Shaw,E.,Elizabeth,"Shaw, E.",430
Smith,L.P.,Lynlee,"Smith, L.P.",429
Beaton,G.W.,NULL,"Beaton, G.W.",420
Croxall,J.P.,NULL,"Croxall, J.P.",416
Chandler,G.T.,NULL,"Chandler, G.T.",415
Renner,M.A.M.,Matt,"Renner, M.A.M.",415
Wilkins,C.,Carol,"Wilkins, C.",403
Chappill,J.A.,NULL,"Chappill, J.A.",403
Henderson,G.,NULL,"Henderson, G.",400
Dixon,D.J.,Dale,"Dixon, D.J.",397
Louwhoff,S.H.,Simone,"Louwhoff, S.H.",394
Mill,J.S.,"John Stuart","Mill, J.S.",389
Barkworth,M.E.,Mary,"Barkworth, M.E.",386
Sainsbury,G.O.K.,NULL,"Sainsbury, G.O.K.",383
Parris,B.S.,Barbara,"Parris, B.S.",381
Clements,M.A.,Mark,"Clements, M.A.",379
Moberg,R.,NULL,"Moberg, R.",377
Leeuwenberg,A.J.M.,NULL,"Leeuwenberg, A.J.M.",376
Hyvoenen,J.,NULL,"Hyvoenen, J.",374
Hislop,M.,Michael,"Hislop, M.",371
Gibbs,A.,Adele,"Gibbs, A.",369
Carle,A.,Annabel,"Carle, A.",369
Guymer,G.,NULL,"Guymer, G.",364
Michael,P.W.,Peter,"Michael, P.W.",359
Vickery,J.W.,Joyce,"Vickery, J.W.",357
Triono,T.,NULL,"Triono, T.",353
Bayly,M.J.,Mike,"Bayly, M.J.",352
Cheal,D.C.,NULL,"Cheal, D.C.",351
Harwood,R.K.,NULL,"Harwood, R.K.",351
Stevens,G.N.,NULL,"Stevens, G.N.",350
Lyne,A.M.,NULL,"Lyne, A.M.",342
Churchill,D.M.,NULL,"Churchill, D.M.",340
Williams,J.B.,NULL,"Williams, J.B.",339
Webster,R.,NULL,"Webster, R.",336
Kloot,P.M.,NULL,"Kloot, P.M.",334
Latz,P.K.,NULL,"Latz, P.K.",334
Lee,A.,NULL,"Lee, A.",332
Vonow,H.P.,Helen,"Vonow, H.P.",331
Rechinger,K.H.,NULL,"Rechinger, K.H.",328
Vitikainen,O.,NULL,"Vitikainen, O.",322
Maconochie,J.R.,NULL,"Maconochie, J.R.",321
Lorimer,G.S.,Graeme,"Lorimer, G.S.",320
Purdie,R.W.,NULL,"Purdie, R.W.",318
Kapuscinski,H.,Hanna,"Kapuscinski, H.",317
Oliver,E.G.H.,Ted,"Oliver, E.G.H.",315
Trudgen,M.E.,Malcolm,"Trudgen, M.E.",309
Sonder,O.W.,NULL,"Sonder, O.W.",307
Rogers,R.W.,NULL,"Rogers, R.W.",306
Crawford,I.,NULL,"Crawford, I.",305
Puttock,C.F.,Christopher,"Puttock, C.F.",304
Fletcher,R.J.,NULL,"Fletcher, R.J.",303
Ghafoor,A.,Abdul,"Ghafoor, A.",302
Strid,A.,Arne,"Strid, A.",302
Linder,H.P.,NULL,"Linder, H.P.",300
Barlow,B.A.,NULL,"Barlow, B.A.",299
Henderson,R.J.,NULL,"Henderson, R.J.",296
Greven,H.C.,NULL,"Greven, H.C.",295
Armstrong,J.A.,NULL,"Armstrong, J.A.",292
Sullivan,J.R.,NULL,"Sullivan, J.R.",292
Mitchell,A.S.,"Andrew Stewart","Mitchell, A.S.",291
Hertel,H.,Hannes,"Hertel, H.",288
Sollman,P.,Philip,"Sollman, P.",286
Seppelt,R.D.,Rod,"Seppelt, R.D.",283
Leach,G.,NULL,"Leach, G.",279
Wakefield,N.A.,NULL,"Wakefield, N.A.",279
Perkins,A.J.,Andrew,"Perkins, A.J.",278
Forman,L.L.,NULL,"Forman, L.L.",278
Hart,J.M.,NULL,"Hart, J.M.",277
Jacobs,S.W.L.,Surrey,"Jacobs, S.W.L.",276
Sago,J.,NULL,"Sago, J.",276
Rambold,G.,NULL,"Rambold, G.",275
Parsons,M.J.,NULL,"Parsons, M.J.",273
Stirton,C.H.,NULL,"Stirton, C.H.",267
Leenhouts,P.W.,NULL,"Leenhouts, P.W.",266
Brodie,C.J.,NULL,"Brodie, C.J.",265
Brookes,M.J.L.,Margaret,"Brookes, M.J.L.",262
Quinn,F.C.,NULL,"Quinn, F.C.",260
Middleton,D.,David,"Middleton, D.",257
Brittan,N.H.,NULL,"Brittan, N.H.",253
Moraes,"P.L.R. de",Pedro,"Moraes, P.L.R. de",252
Briggs,J.D.,NULL,"Briggs, J.D.",251
Shaw,E.A.,NULL,"Shaw, E.A.",251
O'Leary,M.C.,NULL,"O'Leary, M.C.",249
Verdon,D.,NULL,"Verdon, D.",248
Bredenkamp,C.L.,NULL,"Bredenkamp, C.L.",248
Urquhart,A.S.,Andrew,"Urquhart, A.S.",243
Neish,P.G.,Peter,"Neish, P.G.",243
Kurokawa,S.,Syo,"Kurokawa, S.",242
Leach,G.J.,NULL,"Leach, G.J.",240
Wannan,B.S.,Bruce,"Wannan, B.S.",240
Strudwick,J.,NULL,"Strudwick, J.",236
Chambers,H.L.,NULL,"Chambers, H.L.",233
Jacobs,M.,Marius,"Jacobs, M.",233
"Prudhomme van Reine",W.F.,NULL,"Prudhomme van Reine, W.F.",231
Jackes,B.R.,Betsy,"Jackes, B.R.",231
Venter,S.,NULL,"Venter, S.",229
Lansdown,R.V.,Richard,"Lansdown, R.V.",229
Kanis,A.,Andrew,"Kanis, A.",228
Davis,R.,Rob,"Davis, R.",227
Nicolle,D.,Dean,"Nicolle, D.",226
Cooke,D.,NULL,"Cooke, D.",225
Perry,G.,Gillian,"Perry, G.",223
Kruijer,J.D.,NULL,"Kruijer, J.D.",223
Gonzalez,F.,NULL,"Gonzalez, F.",220
Klak,C.,Cornelia,"Klak, C.",219
Thomas,M.B.,NULL,"Thomas, M.B.",218
Holzapfel,S.,NULL,"Holzapfel, S.",218
Tangney,R.S.,NULL,"Tangney, R.S.",213
Greene,S.W.,NULL,"Greene, S.W.",210
Wood,R.D.,NULL,"Wood, R.D.",206
Barrett,M.D.,Matthew,"Barrett, M.D.",201
Scott,G.A.M.,NULL,"Scott, G.A.M.",200
Greuter,W.,Werner,"Greuter, W.",198
Wilson,P.,NULL,"Wilson, P.",197
Gardner,R.O.,NULL,"Gardner, R.O.",194
"Gabriel Sanchez-Ken",J.,NULL,"Gabriel Sanchez-Ken, J.",194
Hansen,N.A.,NULL,"Hansen, N.A.",192
Reiter,N.H.,Noushka,"Reiter, N.H.",190
Lumley,P.F.,NULL,"Lumley, P.F.",189
Nelson,E.C.,NULL,"Nelson, E.C.",188
Castellano,M.A.,Michael,"Castellano, M.A.",188
Orthia,L.A.,NULL,"Orthia, L.A.",187
Anderson,W.R.,NULL,"Anderson, W.R.",187
Zanten,"B.O. van",NULL,"Zanten, B.O. van",186
Webster,S.G.,NULL,"Webster, S.G.",186
Berg,O.K.,Otto,"Berg, O.K.",185
Olde,P.M.,Peter,"Olde, P.M.",185
Spence,J.R.,John,"Spence, J.R.",183
Dixon,D.,Dale,"Dixon, D.",181
Kerrigan,R.A.,NULL,"Kerrigan, R.A.",179
Hohnen,C.,NULL,"Hohnen, C.",179
Schodde,R.,NULL,"Schodde, R.",179
Hodgon,J.,NULL,"Hodgon, J.",178
Kaplan,Z.,Zdenek,"Kaplan, Z.",178
Lawrence,M.E.,NULL,"Lawrence, M.E.",178
Cargill,D.C.,Chris,"Cargill, D.C.",178
Lumbsch,H.T.,Thorsten,"Lumbsch, H.T.",177
Churchill,S.P.,Steven,"Churchill, S.P.",176
Philcox,D.,NULL,"Philcox, D.",176
Telford,I.R.H.,NULL,"Telford, I.R.H.",174
Edgar,E.,NULL,"Edgar, E.",173
Barneby,R.C.,"Rupert Charles","Barneby, R.C.",173
Toren,D.R.,David,"Toren, D.R.",173
Davies,G.L.,NULL,"Davies, G.L.",172
Threlfall,S.,NULL,"Threlfall, S.",170
Chew,W.L.,Wee-lek,"Chew, W.L.",169
Hartog,"C. den",NULL,"Hartog, C. den",169
Wollaston,E.M.,NULL,"Wollaston, E.M.",168
Bell,B.G.,NULL,"Bell, B.G.",168
Ashton,P.S.,NULL,"Ashton, P.S.",167
Aedo,C.,Carlos,"Aedo, C.",165
Ji,C.,Chenfeng,"Ji, C.",164
Shaw,A.J.,NULL,"Shaw, A.J.",164
Beckmann,K.,NULL,"Beckmann, K.",163
Holttum,R.E.,"Richard Eric","Holttum, R.E.",163
Lang,P.J.,NULL,"Lang, P.J.",162
Hattori,S.,NULL,"Hattori, S.",162
"Borssum Waalkes","J. van",NULL,"Borssum Waalkes, J. van",159
Robinson,A.S.,Alastair,"Robinson, A.S.",158
Brotherus,V.F.,NULL,"Brotherus, V.F.",158
Frahm,J.-P.,NULL,"Frahm, J.-P.",158
Melville,R.,NULL,"Melville, R.",156
Galbraith,J.,Jean,"Galbraith, J.",156
Cranfield,R.J.,NULL,"Cranfield, R.J.",156
Strudwick,J.E.,NULL,"Strudwick, J.E.",155
Picking,B.W.,Beau,"Picking, B.W.",155
Duretto,M.,,"Duretto, M.",154
Bruyns,P.V.,"Peter Vincent","Bruyns, P.V.",154
Russell,J.,Jill,"Russell, J.",154
Floyd,A.G.,NULL,"Floyd, A.G.",153
Trappe,J.,NULL,"Trappe, J.",153
Dowe,J.L.,John,"Dowe, J.L.",153
Lewis,G.P.,NULL,"Lewis, G.P.",151
Gullan,P.K.,NULL,"Gullan, P.K.",150
Keighery,G.,NULL,"Keighery, G.",150
McMullan-Fisher,S.J.M.,Sapphire,"McMullan-Fisher, S.J.M.",150
Reveal,J.L.,Jim,"Reveal, J.L.",150
Ducker,S.C.,NULL,"Ducker, S.C.",149
Davis,G.L.R.,NULL,"Davis, G.L.R.",148
Wheeler,J.R.,NULL,"Wheeler, J.R.",148
Jacobs,S.,NULL,"Jacobs, S.",147
Murphy,D.J.,Daniel,"Murphy, D.J.",145
McDonald,M.W.,Maurice,"McDonald, M.W.",145
Hemsley,J.H.,NULL,"Hemsley, J.H.",145
Woelkerling,W.J.,NULL,"Woelkerling, W.J.",145
Henshall,T.S.,Tom,"Henshall, T.S.",145
Brown,A.P.,Andrew,"Brown, A.P.",144
Anderson,J.A.R.,NULL,"Anderson, J.A.R.",144
Tonkin,J.E.,Jenny,"Tonkin, J.E.",142
Maslin,B.,NULL,"Maslin, B.",141
Stenroos,S.,NULL,"Stenroos, S.",141
Bittrich,V.,NULL,"Bittrich, V.",141
Ford,S.,NULL,"Ford, S.",140
Guerin,G.R.,NULL,"Guerin, G.R.",140
Kramer,K.U.,NULL,"Kramer, K.U.",139
Adema,F.,NULL,"Adema, F.",139
Shevock,J.R.,James,"Shevock, J.R.",138
Filson,R.,Rex,"Filson, R.",137
Clarke,I.,NULL,"Clarke, I.",136
Nielsen,I.,NULL,"Nielsen, I.",135
Louwhoff,S.,Simone,"Louwhoff, S.",135
Bibby,P.,NULL,"Bibby, P.",134
Bridle,T.M.,Thelma,"Bridle, T.M.",134
Sinclair,J.,NULL,"Sinclair, J.",133
Cowie,I.,NULL,"Cowie, I.",133
Frood,D.,NULL,"Frood, D.",132
Mihaich,C.M.,NULL,"Mihaich, C.M.",131
Geesink,R.,NULL,"Geesink, R.",131
Backer,C.A.,"Cornelis Andries","Backer, C.A.",131
"Kirkbride Jr.",J.H.,NULL,"Kirkbride Jr., J.H.",131
Davis,G.L.,"Gwenda Louise","Davis, G.L.",131
Gordon-Mills,E.,NULL,"Gordon-Mills, E.",131
Kashiwadani,H.,NULL,"Kashiwadani, H.",131
Duckett,J.G.,Jeffrey,"Duckett, J.G.",130
Eichler,Hj.,NULL,"Eichler, Hj.",130
Beetham,J.W.,NULL,"Beetham, J.W.",129
Ackland,J.J.,NULL,"Ackland, J.J.",129
Lavarack,P.S.,NULL,"Lavarack, P.S.",128
Cowley,K.J.,Kirsten,"Cowley, K.J.",128
Forde,N.,NULL,"Forde, N.",128
Schofield,W.B.,Wilfred,"Schofield, W.B.",128
Cunningham,D.D.,NULL,"Cunningham, D.D.",127
Welzen,"P.C. van",NULL,"Welzen, P.C. van",127
Simão-Bianchini,R.,Rosangela,"Simão-Bianchini, R.",127
Buys,M.H.,Matt,"Buys, M.H.",126
Lange,"P.J. de",NULL,"Lange, P.J. de",126
Linis,V.C.,NULL,"Linis, V.C.",126
Russell,J.,Joy,"Russell, J.",126
Hill,K.D.,Ken,"Hill, K.D.",126
Chai,P.,Paul,"Chai, P.",125
Spokes,T.M.,NULL,"Spokes, T.M.",124
Jessop,J.P.,NULL,"Jessop, J.P.",124
Hucks,L.,NULL,"Hucks, L.",123
Pulley,J.,NULL,"Pulley, J.",123
Monro,A.M.,NULL,"Monro, A.M.",122
Dahl,E.,NULL,"Dahl, E.",122
Sleumer,H.,NULL,"Sleumer, H.",122
Leeuwen,"S. van",Stephen,"Leeuwen, S. van",122
Claridge,A.W.,NULL,"Claridge, A.W.",121
Holzapfel,A.S.,NULL,"Holzapfel, A.S.",121
Vana,J.,NULL,"Vana, J.",121
Lunt,I.D.,NULL,"Lunt, I.D.",120
Gray,A.M.,Alan,"Gray, A.M.",120
"Lowry II",P.P.,NULL,"Lowry II, P.P.",120
Berry,P.E.,Paul,"Berry, P.E.",119
Wilde,"W.J.J.O. de",NULL,"Wilde, W.J.J.O. de",117
Cumming,R.J.,NULL,"Cumming, R.J.",116
Newton,M.,NULL,"Newton, M.",116
Hubregtse,J.,Jurrie,"Hubregtse, J.",116
Turner,H.,NULL,"Turner, H.",116
Davies,F.E.,NULL,"Davies, F.E.",116
Morton,A.,NULL,"Morton, A.",115
Nicholls,W.H.,NULL,"Nicholls, W.H.",115
Ochyra,R.,NULL,"Ochyra, R.",115
Smith,S.F.,Stephen,"Smith, S.F.",115
Robbins,F.,NULL,"Robbins, F.",113
Doust,A.N.L.,NULL,"Doust, A.N.L.",112
Vickery,J.,NULL,"Vickery, J.",112
Whibley,D.J.E.,NULL,"Whibley, D.J.E.",112
Magill,R.E.,Robert,"Magill, R.E.",112
Whalley,R.D.B.,NULL,"Whalley, R.D.B.",111
Rodd,A.N.,NULL,"Rodd, A.N.",111
Copeland,L.M.,Lachlan,"Copeland, L.M.",111
Bibby,P.N.S.,NULL,"Bibby, P.N.S.",110
Lowrie,A.,Allen,"Lowrie, A.",110
Blaxell,D.F.,NULL,"Blaxell, D.F.",110
Moore,C.W.E.,NULL,"Moore, C.W.E.",110
Lewis,S.H.,Simon,"Lewis, S.H.",110
Stevens,P.F.,NULL,"Stevens, P.F.",109
McCusker,A.,NULL,"McCusker, A.",108
McCarthy,P.M.,Pat,"McCarthy, P.M.",108
Schrire,B.D.,NULL,"Schrire, B.D.",107
Vink,W.,NULL,"Vink, W.",107
Gonzalo,R.,NULL,"Gonzalo, R.",107
Harris,W.K.,Wayne,"Harris, W.K.",107
Whalen,A.J.,NULL,"Whalen, A.J.",107
Henwood,M.J.,Murray,"Henwood, M.J.",106
Cook,C.D.K.,NULL,"Cook, C.D.K.",106
Landolt,E.,NULL,"Landolt, E.",105
Werff,"H. van der",NULL,"Werff, H. van der",105
Kiger,R.W.,NULL,"Kiger, R.W.",105
Turner,J.,NULL,"Turner, J.",104
Randell,B.R.,NULL,"Randell, B.R.",104
Cave,L.H.,NULL,"Cave, L.H.",103
Gates,G.M.,Genevieve,"Gates, G.M.",103
MacFarlane,J.N.,"John Neil","MacFarlane, J.N.",103
Bartram,E.B.,NULL,"Bartram, E.B.",103
Phillips,J.A.,NULL,"Phillips, J.A.",101
Conran,J.,NULL,"Conran, J.",101
Cullimore,J.,NULL,"Cullimore, J.",101
Williams,A.R.,Alexander,"Williams, A.R.",100
McKenzie,R.J.,NULL,"McKenzie, R.J.",100
Nishimura,N.,NULL,"Nishimura, N.",100
James,P.,NULL,"James, P.",100
Whinray,J.S.,John,"Whinray, J.S.",100
Cantrill,D.J.,David,"Cantrill, D.J.",100
Gardner,C.A.,NULL,"Gardner, C.A.",99
Vente,M.,NULL,"Vente, M.",99
Salas,"M.F. de",Miguel,"Salas, M.F. de",98
Hamann,U.,NULL,"Hamann, U.",97
Wang,S.,NULL,"Wang, S.",97
Gassin,R.,NULL,"Gassin, R.",97
Bell,G.,Graham,"Bell, G.",96
Anderson,J.,NULL,"Anderson, J.",96
Boyland,D.E.,NULL,"Boyland, D.E.",96
Munoz,J.,NULL,"Munoz, J.",96
Frodin,D.,NULL,"Frodin, D.",95
Halling,R.E.,Roy,"Halling, R.E.",95
Waterhouse,B.M.,NULL,"Waterhouse, B.M.",93
Cross,E.W.,NULL,"Cross, E.W.",93
Murray,B.M.,NULL,"Murray, B.M.",93
Cameron,D.G.,NULL,"Cameron, D.G.",92
Wellington,A.B.,NULL,"Wellington, A.B.",92
Morley,B.D.,NULL,"Morley, B.D.",92
Ovstedal,D.O.,NULL,"Ovstedal, D.O.",91
