,label,count,start_date,end_date,activity_span,name,matched_name,distance,item_count,items,item_labels
646,"Sharrad, M.C.R.",1295,1956.0,1977.0,21.0,"Sharrad, M.C.R.","Sharrad, R.D.",0.95,1,http://www.wikidata.org/entity/Q21395109,Robert D. Sharrad
57,"Whinray, J.S.",17414,1883.0,2017.0,134.0,"Whinray, J.S.","Pray, J.S.",0.95,1,http://www.wikidata.org/entity/Q23620375,James Sturgis Pray
275,"St John, P.R.H.",3964,1881.0,2006.0,125.0,"St John, P.R.H.","John, J.",0.95,2,http://www.wikidata.org/entity/Q12767797|http://www.wikidata.org/entity/Q47119630,Jan John|Jacob John
945,"Bick, E.W.",756,1910.0,1937.0,27.0,"Bick, E.W.","Bick, J.T.",0.96,1,http://www.wikidata.org/entity/Q60429150,James Theodorus Bick
848,"Hore-Lacy, I.",889,1902.0,1970.0,68.0,"Hore-Lacy, I.","Lacy, R.C.",0.96,1,http://www.wikidata.org/entity/Q36665366,R.C. Lacy
652,"Canty, P.D.",1272,1978.0,2006.0,28.0,"Canty, P.D.","Cantino, P.D.",0.96,1,http://www.wikidata.org/entity/Q18983500,Philip D. Cantino
574,"Saffrey, R.A.",1531,1962.0,1980.0,18.0,"Saffrey, R.A.","Caffrey, D.J.",0.96,1,http://www.wikidata.org/entity/Q55022599,Donald John Caffrey
489,"Wissmann, H.J.",1948,1867.0,2007.0,140.0,"Wissmann, H.J.","Dissmann, E.",0.96,1,http://www.wikidata.org/entity/Q47116503,E. Dissmann
355,"Markey, A. | Dillon, S.",2992,2005.0,2015.0,10.0,"Markey, A. | Dillon, S.","Markey, A.S.",0.96,1,http://www.wikidata.org/entity/Q33660080,A.S. Markey
941,"Staer, J.",760,1837.0,1920.0,83.0,"Staer, J.","Staes, G.",0.97,1,http://www.wikidata.org/entity/Q21609444,Gustaaf Staes
857,"Breakwell, E.",878,1892.0,1930.0,38.0,"Breakwell, E.","Blackwell, E.",0.97,1,http://www.wikidata.org/entity/Q469844,Elizabeth Blackwell
854,"Trenowden, D.",881,1997.0,1997.0,0.0,"Trenowden, D.","Snowden, J.D.",0.97,1,http://www.wikidata.org/entity/Q5936994,Joseph Davenport Snowden
590,"Sweedman, L.",933,1972.0,2014.0,42.0,"Sweedman, L.","Steedman, H.",0.97,1,http://www.wikidata.org/entity/Q5728662,Henry Steedman
566,"Canty, P.",1568,1978.0,1994.0,16.0,"Canty, P.","Genty, P.A.",0.97,1,http://www.wikidata.org/entity/Q21513895,Paul André Genty
454,"Mulham, W.E.",2184,1920.0,1993.0,73.0,"Mulham, W.E.","Culham, A.",0.97,1,http://www.wikidata.org/entity/Q3105227,Alastair Culham
219,"Chesterfield, E.A.",5028,1970.0,2002.0,32.0,"Chesterfield, E.A.","Waterfield, M.H.",0.97,1,http://www.wikidata.org/entity/Q21289447,Margaret Helen Waterfield
992,"Ollerenshaw, N.",692,1874.0,1990.0,116.0,"Ollerenshaw, N.","Shaw, N.",0.98,1,http://www.wikidata.org/entity/Q2392149,Napier Shaw
909,"Hynson, K.",798,1984.0,1984.0,0.0,"Hynson, K.","Hyžný, M.",0.98,1,http://www.wikidata.org/entity/Q25577807,Matúš Hyžný
647,"Brushe, J.",1292,1990.0,2008.0,18.0,"Brushe, J.","Brush, G.J.",0.98,1,http://www.wikidata.org/entity/Q608145,George J. Brush
