,family_name,initials_x,given_names,name,num_det,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
83,Kondratyuk,S.Y.,,"Kondratyuk, S.Y.",1690,"Kondratyuk, S.Y.","Kondratyuk, S.Y.",1.0,1.0,http://www.wikidata.org/entity/Q21339842,Sergey Yakovlevich Kondratyuk,Kondratyuk,S.Y.,"Kondratyuk, S.Y.",,,,,20000916-1,S.Y.Kondr.,,,,1959.0,,,,http://www.wikidata.org/wiki/Q21339842,,,https://www.ipni.org/a/20000916-1,,,
84,Kellermann,J.,Juergen,"Kellermann, J.",1647,"Kellermann, J.","Kellermann, J.",1.0,1.0,http://www.wikidata.org/entity/Q5686635,Jürgen Kellermann,Kellermann,J.,"Kellermann, J.",,,,,20005205-1,Kellermann,,,,1972.0,,,,http://www.wikidata.org/wiki/Q5686635,,,https://www.ipni.org/a/20005205-1,,,
85,Cooke,D.A.,,"Cooke, D.A.",1628,"Cooke, D.A.","Cooke, D.A.",1.0,1.0,http://www.wikidata.org/entity/Q2881723,David Alan Cooke,Cooke,D.A.,"Cooke, D.A.",,,,,13264-1,D.A.Cooke,,,,1949.0,,,,http://www.wikidata.org/wiki/Q2881723,,,https://www.ipni.org/a/13264-1,,,
92,Weber,J.Z.,,"Weber, J.Z.",1558,"Weber, J.Z.","Weber, J.Z.",1.0,1.0,http://www.wikidata.org/entity/Q21388163,Joseph Zvonko Weber,Weber,J.Z.,"Weber, J.Z.",,,,19063,13333-1,J.Z.Weber,,,,1930.0,1996.0,,,http://www.wikidata.org/wiki/Q21388163,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=19063,https://www.ipni.org/a/13333-1,,,
95,Chippendale,G.M.,,"Chippendale, G.M.",1462,"Chippendale, G.M.","Chippendale, G.M.",1.0,1.0,http://www.wikidata.org/entity/Q5537873,George McCartney Chippendale,Chippendale,G.M.,"Chippendale, G.M.",,8631458,0000 0000 8423 5309,18250.0,1601-1,Chippend.,Q5537873,P005133b,,1921.0,2010.0,,,http://www.wikidata.org/wiki/Q5537873,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=18250,https://www.ipni.org/a/1601-1,https://bloodhound-tracker.net/Q5537873,http://www.eoas.info/biogs/P005133b,
99,Briggs,B.G.,Barbara,"Briggs, B.G.",1460,"Briggs, B.G.","Briggs, B.G.",1.0,1.0,http://www.wikidata.org/entity/Q2356897,Barbara G. Briggs,Briggs,B.G.,"Briggs, B.G.",,312946682,,37457.0,1142-1,B.G.Briggs,,P005248b,,1934.0,,,,http://www.wikidata.org/wiki/Q2356897,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=37457,https://www.ipni.org/a/1142-1,,http://www.eoas.info/biogs/P005248b,
100,Cowan,R.S.,,"Cowan, R.S.",1455,"Cowan, R.S.","Cowan, R.S.",1.0,1.0,http://www.wikidata.org/entity/Q6108714,Richard Sumner Cowan,Cowan,R.S.,"Cowan, R.S.",,9863210,0000 0001 0868 5663,1584.0,1850-1,R.S.Cowan,,,,1921.0,1997.0,,,http://www.wikidata.org/wiki/Q6108714,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1584,https://www.ipni.org/a/1850-1,,,
110,Barker,W.R.,Bill,"Barker, W.R.",1397,"Barker, W.R.","Barker, W.R.",1.0,1.0,http://www.wikidata.org/entity/Q21505669,William Robert Barker,Barker,W.R.,"Barker, W.R.",,,,,13249-1,W.R.Barker,,,,1948.0,,,,http://www.wikidata.org/wiki/Q21505669,,,https://www.ipni.org/a/13249-1,,,
113,Powell,J.M.,,"Powell, J.M.",1308,"Powell, J.M.","Powell, J.M.",1.0,1.0,http://www.wikidata.org/entity/Q21523165,Jocelyn Marie Powell,Powell,J.M.,"Powell, J.M.",,,,,12246-1,J.M.Powell,,,,1939.0,,,,http://www.wikidata.org/wiki/Q21523165,,,https://www.ipni.org/a/12246-1,,,
114,Elix,J.A.,Jack,"Elix, J.A.",1271,"Elix, J.A.","Elix, J.A.",1.0,1.0,http://www.wikidata.org/entity/Q21339171,John Alan Elix,Elix,J.A.,"Elix, J.A.",,5178780,0000 0000 8084 828X,93027.0,18445-1,Elix,,P005725b,,1941.0,,,,http://www.wikidata.org/wiki/Q21339171,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93027,https://www.ipni.org/a/18445-1,,http://www.eoas.info/biogs/P005725b,
