,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
5651,KURZW,Kurz W.S.,Kurz,Wilhelm,Sulpiz,"Kurz, W.S.","Kurz, W.S.","Kurz, W.S.",1.0,1.0,http://www.wikidata.org/entity/Q2587569,Wilhelm Sulpiz Kurz,Kurz,W.S.,"Kurz, W.S.",,17619670,0000 0000 1341 158X,636.0,5157-1,Kurz,,,,1834.0,1878.0,,,http://www.wikidata.org/wiki/Q2587569,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=636,https://www.ipni.org/a/5157-1,,,
5672,KLEIR,Klein R.M.,Klein,Roberto,Miguel,"Klein, R.M.","Klein, R.M.","Klein, R.M.",1.0,1.0,http://www.wikidata.org/entity/Q21517594,Roberto Miguel Klein,Klein,R.M.,"Klein, R.M.",,163754845,0000 0001 1238 9525,16514,4836-1,R.M.Klein,,,,1923.0,1992.0,,,http://www.wikidata.org/wiki/Q21517594,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=16514,https://www.ipni.org/a/4836-1,,,
5694,HARDK,Harder D.K.,Harder,Daniel,Kenneth,"Harder, D.K.","Harder, D.K.","Harder, D.K.",1.0,1.0,http://www.wikidata.org/entity/Q21515491,Daniel Kenneth Harder,Harder,D.K.,"Harder, D.K.",,,,,39282-1,D.K.Harder,,,,1960.0,,,,http://www.wikidata.org/wiki/Q21515491,,,https://www.ipni.org/a/39282-1,,,
5699,LERO,Leroy J.-F.,Leroy,Jean-Francois,[Pierre],"Leroy, J.[.","Leroy, J.[.","Leroy, J.",1.0,1.0,http://www.wikidata.org/entity/Q4259300,Jean-François Leroy,Leroy,J.,"Leroy, J.",,51758273,0000 0001 0900 6538,30652.0,5498-1,J.-F.Leroy,,,,1915.0,1999.0,,,http://www.wikidata.org/wiki/Q4259300,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=30652,https://www.ipni.org/a/5498-1,,,
5703,K029,Kellerman W.A.,Kellerman,William,Ashbrook,"Kellerman, W.A.","Kellerman, W.A.","Kellerman, W.A.",1.0,1.0,http://www.wikidata.org/entity/Q8004607,William Ashbrook Kellerman,Kellerman,W.A.,"Kellerman, W.A.",,103074837,0000 0000 7292 828X,801.0,4711-1,Kellerm.,,,,1850.0,1908.0,,,http://www.wikidata.org/wiki/Q8004607,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=801,https://www.ipni.org/a/4711-1,,,
5711,BRETF,Breteler F.J.,Breteler,Frans,Joseph,"Breteler, F.J.","Breteler, F.J.","Breteler, F.J.",1.0,1.0,http://www.wikidata.org/entity/Q2451725,Franciscus Jozef Breteler,Breteler,F.J.,"Breteler, F.J.",,73904812,0000 0001 1672 1089,69837.0,1125-1,Breteler,,,,1932.0,,,,http://www.wikidata.org/wiki/Q2451725,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69837,https://www.ipni.org/a/1125-1,,,
5714,BRNJN,Bréon J.N.,Bréon,Jean-Nicolas,,"Bréon, J.n.","Bréon, J.n.","Bréon, J.N.",1.0,1.0,http://www.wikidata.org/entity/Q3340162,Jean Nicolas Bréon,Bréon,J.N.,"Bréon, J.N.",,298999466,,13866.0,,,,,,1785.0,1864.0,,,http://www.wikidata.org/wiki/Q3340162,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=13866,,,,
5715,HAMBD,Hambler D.J.,Hambler,David,John,"Hambler, D.J.","Hambler, D.J.","Hambler, D.J.",1.0,1.0,http://www.wikidata.org/entity/Q21514589,David John Hambler,Hambler,D.J.,"Hambler, D.J.",,,,,14722-1,Hambler,,,,1930.0,,,,http://www.wikidata.org/wiki/Q21514589,,,https://www.ipni.org/a/14722-1,,,
5723,NAPIE,Napier E.R.,Napier,Evelyn,R.,"Napier, E.R.","Napier, E.R.","Napier, E.R.",1.0,1.0,http://www.wikidata.org/entity/Q66572494,Evelyn Rose Napier,Napier,E.R.,"Napier, E.R.",,,,12680,,,,,,1902.0,1952.0,,,http://www.wikidata.org/wiki/Q66572494,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=12680,,,,
5734,CARTA,Carter A.M.,Carter,Annette,Mary,"Carter, A.M.","Carter, A.M.","Carter, A.M.",1.0,1.0,http://www.wikidata.org/entity/Q21507043,Annetta Mary Carter,Carter,A.M.,"Carter, A.M.",,53727912,0000 0000 3880 2253,47598.0,1427-1,A.M.Carter,Q21507043,,,1907.0,1991.0,,,http://www.wikidata.org/wiki/Q21507043,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=47598,https://www.ipni.org/a/1427-1,https://bloodhound-tracker.net/Q21507043,,
5772,HLSBK,Holst B.K.,Holst,Bruce,K.,"Holst, B.K.","Holst, B.K.","Holst, B.K.",1.0,1.0,http://www.wikidata.org/entity/Q21395718,Bruce K. Holst,Holst,B.K.,"Holst, B.K.",,,,,20426-1,B.Holst,,,,,,,,http://www.wikidata.org/wiki/Q21395718,,,https://www.ipni.org/a/20426-1,,,
5817,B056,Bommer E.,Bommer,Élisa,Caroline,"Bommer, É.C.","Bommer, É.C.","Bommer, C.",1.0,1.0,http://www.wikidata.org/entity/Q59154915,Charles Bommer,Bommer,C.,"Bommer, C.",,61536829,,67624,,,,,,1866.0,1938.0,,,http://www.wikidata.org/wiki/Q59154915,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=67624,,,,
5819,FITZW,Fitzgerald W.V.,Fitzgerald,William,Vincent,"Fitzgerald, W.V.","Fitzgerald, W.V.","Fitzgerald, W.V.",1.0,1.0,http://www.wikidata.org/entity/Q6167753,William Vincent Fitzgerald,Fitzgerald,W.V.,"Fitzgerald, W.V.",,,,34066.0,2765-1,W.Fitzg.,,P000408b,,1867.0,1929.0,,,http://www.wikidata.org/wiki/Q6167753,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=34066,https://www.ipni.org/a/2765-1,,http://www.eoas.info/biogs/P000408b,
5830,BROAW,Broadway W.E.,Broadway,Walter,Elias,"Broadway, W.E.","Broadway, W.E.","Broadway, W.E.",1.0,1.0,http://www.wikidata.org/entity/Q18643912,Walter Elias Broadway,Broadway,W.E.,"Broadway, W.E.",,,,19222.0,13895-1,Broadway,,,,1863.0,1935.0,,,http://www.wikidata.org/wiki/Q18643912,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=19222,https://www.ipni.org/a/13895-1,,,
5852,WEBBP,Webb P.B.,Webb,Philip,Barker,"Webb, P.B.","Webb, P.B.","Webb, P.B.",1.0,1.0,http://www.wikidata.org/entity/Q1113837,Philip Barker Webb,Webb,P.B.,"Webb, P.B.",,9945777,0000 0001 1827 2619,1380.0,11454-1,Webb,,,,1793.0,1854.0,,,http://www.wikidata.org/wiki/Q1113837,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1380,https://www.ipni.org/a/11454-1,,,
5857,JONGC,Jongkind C.C.H.,Jongkind,Carel,Christiaan Hugo,"Jongkind, C.C.H.","Jongkind, C.C.H.","Jongkind, C.C.H.",1.0,1.0,http://www.wikidata.org/entity/Q5749105,Carel Christiaan Hugo Jongkind,Jongkind,C.C.H.,"Jongkind, C.C.H.",,51213378,0000 0000 5510 8802,37317,35765-1,Jongkind,,,,1954.0,,,,http://www.wikidata.org/wiki/Q5749105,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=37317,https://www.ipni.org/a/35765-1,,,
5860,B090,Butler E.J.,Butler,Edwin,John,"Butler, E.J.","Butler, E.J.","Butler, E.J.",1.0,1.0,http://www.wikidata.org/entity/Q5346564,Edwin John Butler,Butler,E.J.,"Butler, E.J.",,61935375,0000 0000 8387 8249,16609.0,16765-1,E.J.Butler,,,,1874.0,1943.0,,,http://www.wikidata.org/wiki/Q5346564,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=16609,https://www.ipni.org/a/16765-1,,,
5877,HKRWJ,Hooker W.J.,Hooker,William,Jackson,"Hooker, W.J.","Hooker, W.J.","Hooker, W.J.",1.0,1.0,http://www.wikidata.org/entity/Q472639,William Jackson Hooker,Hooker,W.J.,"Hooker, W.J.",,46874997,0000 0001 2131 1746,80.0,4086-1,Hook.,,P002126b,,1785.0,1865.0,,,http://www.wikidata.org/wiki/Q472639,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=80,https://www.ipni.org/a/4086-1,,http://www.eoas.info/biogs/P002126b,
5878,HOLMO,Holmberg O.R.,Holmberg,Otto,R.,"Holmberg, O.R.","Holmberg, O.R.","Holmberg, O.R.",1.0,1.0,http://www.wikidata.org/entity/Q6054738,Otto Rudolf Holmberg,Holmberg,O.R.,"Holmberg, O.R.",,286375302,,1789,4050-1,Holmb.,,,,1874.0,1930.0,,,http://www.wikidata.org/wiki/Q6054738,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1789,https://www.ipni.org/a/4050-1,,,
5887,L162,Lamb I.M.,Lamb,Ivan,Mckenzie,"Lamb, I.M.","Lamb, I.M.","Lamb, I.M.",1.0,1.0,http://www.wikidata.org/entity/Q16003604,Ivan Mackenzie Lamb,Lamb,I.M.,"Lamb, I.M.",,81266716,0000 0003 7422 7358,33815,5230-1,I.M.Lamb,,,,1911.0,1990.0,,,http://www.wikidata.org/wiki/Q16003604,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=33815,https://www.ipni.org/a/5230-1,,,
5888,PERRG1,Perrottet G.,Perrottet,Georges,Samuel,"Perrottet, G.S.","Perrottet, G.S.","Perrottet, G.S.",1.0,1.0,http://www.wikidata.org/entity/Q973709,George Samuel Perrottet,Perrottet,G.S.,"Perrottet, G.S.",,59868228,0000 0000 6677 9708,31137.0,7541-1,Perr.,,,,1790.0,1870.0,,,http://www.wikidata.org/wiki/Q973709,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=31137,https://www.ipni.org/a/7541-1,,,
5889,HARTT,Hart T. [Buttler],Hart,Therese,[Buttler],"Hart, T.[.","Hart, T.[.","Hart, T.",1.0,1.0,http://www.wikidata.org/entity/Q21808709,Terese Hart,Hart,T.,"Hart, T.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21808709,,,,,,
5891,REHMS,Rehm S.E.A.,Rehm,Sigmund,Eugen Adolf,"Rehm, S.E.A.","Rehm, S.E.A.","Rehm, S.E.A.",1.0,1.0,http://www.wikidata.org/entity/Q21607074,Sigmund Eugen Adolf Rehm,Rehm,S.E.A.,"Rehm, S.E.A.",,,,,14276-1,S.E.A.Rehm,,,,1911.0,,,,http://www.wikidata.org/wiki/Q21607074,,,https://www.ipni.org/a/14276-1,,,
5895,Z009,Zundel G.L.I.,Zundel,George,Lorenzo Ingram,"Zundel, G.L.I.","Zundel, G.L.I.","Zundel, G.L.I.",1.0,1.0,http://www.wikidata.org/entity/Q4506169,George Lorenzo Ingram Zundel,Zundel,G.L.I.,"Zundel, G.L.I.",,78484301,0000 0004 5601 2297,10371.0,13048-1,Zundel,Q4506169,,,1885.0,1950.0,,,http://www.wikidata.org/wiki/Q4506169,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=10371,https://www.ipni.org/a/13048-1,https://bloodhound-tracker.net/Q4506169,,
5899,KALEA,Kalela A.A.A.,Kalela,Aimo,Aarno Antero,"Kalela, A.A.A.","Kalela, A.A.A.","Kalela, A.A.A.",1.0,1.0,http://www.wikidata.org/entity/Q21517227,Aimo Aarno Antero Kalela,Kalela,A.A.A.,"Kalela, A.A.A.",,,,22971,12594-1,Kalela,,,,1908.0,1977.0,,,http://www.wikidata.org/wiki/Q21517227,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=22971,https://www.ipni.org/a/12594-1,,,
5901,ARCHW,Archer W.A.,Archer,William,Andrew,"Archer, W.A.","Archer, W.A.","Archer, W.A.",1.0,1.0,http://www.wikidata.org/entity/Q8004431,William Andrew Archer,Archer,W.A.,"Archer, W.A.",,118568134,0000 0000 8332 5863,46718.0,30949-1,W.A.Archer,,,,1884.0,1973.0,,,http://www.wikidata.org/wiki/Q8004431,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=46718,https://www.ipni.org/a/30949-1,,,
5917,N046,Nannenga-Bremekamp N. et al.,Nannenga-Bremekamp,Neltje,Elizabeth,"Nannenga-Bremekamp, N.E.","Nannenga-Bremekamp, N.E.","Nannenga-Bremekamp, N.E.",1.0,1.0,http://www.wikidata.org/entity/Q1332621,Neeltje Elizabeth Nannenga-Bremekamp,Nannenga-Bremekamp,N.E.,"Nannenga-Bremekamp, N.E.",,233667747,,74287.0,23897-1,Nann.-Bremek.,,,,1916.0,1996.0,,,http://www.wikidata.org/wiki/Q1332621,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=74287,https://www.ipni.org/a/23897-1,,,
5918,N046,Nannenga-Bremekamp N. et al.,Nannenga-Bremekamp,Neltje,Elizabeth,"Nannenga-Bremekamp, N.E.","Nannenga-Bremekamp, N.E.","Nannenga-Bremekamp, N.E.",1.0,1.0,http://www.wikidata.org/entity/Q1332621,Neeltje Elizabeth Nannenga-Bremekamp,Nannenga-Bremekamp,N.E.,"Nannenga-Bremekamp, N.E.",,233667747,,74287.0,23897-1,Nann.-Bremek.,,,,1916.0,1996.0,,,http://www.wikidata.org/wiki/Q1332621,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=74287,https://www.ipni.org/a/23897-1,,,
5925,NYSRD,Noyes R.D.,Noyes,Richard,D.,"Noyes, R.D.","Noyes, R.D.","Noyes, R.D.",1.0,1.0,http://www.wikidata.org/entity/Q6108623,Richard D. Noyes,Noyes,R.D.,"Noyes, R.D.",,,,62232,39064-1,Noyes,,,,1972.0,,,,http://www.wikidata.org/wiki/Q6108623,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=62232,https://www.ipni.org/a/39064-1,,,
5930,HERMF,Hermann F.J.,Hermann,Frederick,Joseph,"Hermann, F.J.","Hermann, F.J.","Hermann, F.J.",1.0,1.0,http://www.wikidata.org/entity/Q5869076,Frederick Joseph Hermann,Hermann,F.J.,"Hermann, F.J.",,53312249,0000 0000 2924 4069,2051.0,3875-1,F.J.Herm.,,,,1906.0,1987.0,,,http://www.wikidata.org/wiki/Q5869076,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2051,https://www.ipni.org/a/3875-1,,,
5931,M115,Mason H.L.,Mason,Herbert,Louis,"Mason, H.L.","Mason, H.L.","Mason, H.L.",1.0,1.0,http://www.wikidata.org/entity/Q11925452,Herbert Louis Mason,Mason,H.L.,"Mason, H.L.",,26070875,0000 0000 8208 7939,1207.0,6194-1,H.Mason,,,,1896.0,1994.0,,,http://www.wikidata.org/wiki/Q11925452,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1207,https://www.ipni.org/a/6194-1,,,
5937,L250,Langlois A.B.,Langlois,Auguste,Barthelemy,"Langlois, A.B.","Langlois, A.B.","Langlois, A.B.",1.0,1.0,http://www.wikidata.org/entity/Q2871046,Auguste Barthélemy Langlois,Langlois,A.B.,"Langlois, A.B.",,103019719,,69105.0,22051-1,Langl.,,,,1832.0,1900.0,,,http://www.wikidata.org/wiki/Q2871046,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69105,https://www.ipni.org/a/22051-1,,,
5940,RAINB,Rainha B.V.,Rainha,Bento,V.,"Rainha, B.V.","Rainha, B.V.","Rainha, B.V.",1.0,1.0,http://www.wikidata.org/entity/Q21606854,Bento Victoria Rainha,Rainha,B.V.,"Rainha, B.V.",,,,9348,20009639-1,Rainha,,,,1912.0,1973.0,,,http://www.wikidata.org/wiki/Q21606854,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=9348,https://www.ipni.org/a/20009639-1,,,
5944,DUSEP1,Dusén P.K.H.,Dusén,Per,Karl Hjalmar,"Dusén, P.K.H.","Dusén, P.K.H.","Dusén, P.K.H.",1.0,1.0,http://www.wikidata.org/entity/Q5625930,Per Karl Hjalmar Dusén,Dusén,P.K.H.,"Dusén, P.K.H.",,21780452,0000 0000 8432 9612,2855.0,18304-1,Dusén,Q5625930,,,1855.0,1926.0,,,http://www.wikidata.org/wiki/Q5625930,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2855,https://www.ipni.org/a/18304-1,https://bloodhound-tracker.net/Q5625930,,
5949,ABRJP,Abraham J.P.,Abraham,Jean,Prosper,"Abraham, J.P.","Abraham, J.P.","Abraham, J.P.",1.0,1.0,http://www.wikidata.org/entity/Q66816941,Jean Prosper Abraham,Abraham,J.P.,"Abraham, J.P.",,,,16650,,,,,,1930.0,1996.0,,,http://www.wikidata.org/wiki/Q66816941,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=16650,,,,
5962,E045,Erichsen C.F.E.,Erichsen,Christian,Friedo Eckhard,"Erichsen, C.F.E.","Erichsen, C.F.E.","Erichsen, C.F.E.",1.0,1.0,http://www.wikidata.org/entity/Q16022968,Christian Friedo Eckhard Erichsen,Erichsen,C.F.E.,"Erichsen, C.F.E.",,42303162,0000 0000 0347 3306,6624,18530-1,Erichsen,,,,1867.0,1945.0,,,http://www.wikidata.org/wiki/Q16022968,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=6624,https://www.ipni.org/a/18530-1,,,
5984,HARVL,Harvey L.H.,Harvey,LeRoy,Hatfield,"Harvey, L.H.","Harvey, L.H.","Harvey, L.H.",1.0,1.0,http://www.wikidata.org/entity/Q21515544,LeRoy Hatfield Harvey,Harvey,L.H.,"Harvey, L.H.",,,,39391,3704-1,L.H.Harv.,,,,1911.0,1998.0,,,http://www.wikidata.org/wiki/Q21515544,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=39391,https://www.ipni.org/a/3704-1,,,
5997,MORIS,Mori S.A.,Mori,Scott,Alan,"Mori, S.A.","Mori, S.A.","Mori, S.A.",1.0,1.0,http://www.wikidata.org/entity/Q5590439,Scott A. Mori,Mori,S.A.,"Mori, S.A.",,28343356,,,6652-1,S.A.Mori,,,,1941.0,,,,http://www.wikidata.org/wiki/Q5590439,,,https://www.ipni.org/a/6652-1,,,
6009,LOWRP,Lowry P.P.,Lowry,Porter,Prescot,"Lowry, P.P.","Lowry, P.P.","Lowry, P.P.",1.0,1.0,http://www.wikidata.org/entity/Q2792431,Porter Peter Lowry,Lowry,P.P.,"Lowry, P.P.",,22214667,,83113.0,13675-1,Lowry,,,,1956.0,,,,http://www.wikidata.org/wiki/Q2792431,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=83113,https://www.ipni.org/a/13675-1,,,
6026,F008,Fuckel K.W.,Fuckel,Karl,Wilhelm Gottlieb Leopold,"Fuckel, K.W.G.L.","Fuckel, K.W.G.L.","Fuckel, K.W.G.L.",1.0,1.0,http://www.wikidata.org/entity/Q66899,Karl Wilhelm Gottlieb Leopold Fuckel,Fuckel,K.W.G.L.,"Fuckel, K.W.G.L.",,40885611,0000 0000 3113 4467,840.0,19028-1,Fuckel,,,,1821.0,1876.0,,,http://www.wikidata.org/wiki/Q66899,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=840,https://www.ipni.org/a/19028-1,,,
6028,TSCJW,Tscherning J.W.,Tscherning,Johannes,Wilhelm,"Tscherning, J.W.","Tscherning, J.W.","Tscherning, J.W.",1.0,1.0,http://www.wikidata.org/entity/Q5933054,Johannes Wilhelm Tscherning,Tscherning,J.W.,"Tscherning, J.W.",,,,63514,10872-1,Tscherning,,,,1856.0,1890.0,,,http://www.wikidata.org/wiki/Q5933054,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=63514,https://www.ipni.org/a/10872-1,,,
6040,CULP,Culmann P.F.,Culmann,Paul,Frederic,"Culmann, P.F.","Culmann, P.F.","Culmann, P.F.",1.0,1.0,http://www.wikidata.org/entity/Q21509626,Paul Frédéric Culmann,Culmann,P.F.,"Culmann, P.F.",,165740066,,30690,17573-1,Culm.,,,,1860.0,1936.0,,,http://www.wikidata.org/wiki/Q21509626,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=30690,https://www.ipni.org/a/17573-1,,,
6043,MCCLA,McClean A.P. D.,McClean,Alan,Percy Douglas,"McClean, A.P.D.","McClean, A.P.D.","McClean, A.P.D.",1.0,1.0,http://www.wikidata.org/entity/Q18986878,Alan Percy Douglas McClean,McClean,A.P.D.,"McClean, A.P.D.",,,,38594,5899-1,McClean,,,,1902.0,,,,http://www.wikidata.org/wiki/Q18986878,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=38594,https://www.ipni.org/a/5899-1,,,
6046,FGRLF,Fagerström L.F.,Fagerström,Lars,Fjalar,"Fagerström, L.F.","Fagerström, L.F.","Fagerström, L.F.",1.0,1.0,http://www.wikidata.org/entity/Q21512540,Lars Fjalar Fagerström,Fagerström,L.F.,"Fagerström, L.F.",,311342002,,,2619-1,Fagerstr.,,,,1914.0,2001.0,,,http://www.wikidata.org/wiki/Q21512540,,,https://www.ipni.org/a/2619-1,,,
6048,CRTRJ,Courtois R.J.,Courtois,Richard,Joseph,"Courtois, R.J.","Courtois, R.J.","Courtois, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q4248931,Richard Joseph Courtois,Courtois,R.J.,"Courtois, R.J.",,30320495,0000 0000 7828 688X,48081.0,1843-1,Courtois,,,,1806.0,1835.0,,,http://www.wikidata.org/wiki/Q4248931,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48081,https://www.ipni.org/a/1843-1,,,
6063,BMDVA,Baum D.A.,Baum,David,Alastair,"Baum, D.A.","Baum, D.A.","Baum, D.A.",1.0,1.0,http://www.wikidata.org/entity/Q13420020,David Alastair Baum,Baum,D.A.,"Baum, D.A.",0000-0001-8334-6311,,,,36559-1,D.A.Baum,,,,1964.0,,,,http://www.wikidata.org/wiki/Q13420020,https://orcid.org/0000-0001-8334-6311,,https://www.ipni.org/a/36559-1,,,
6064,UTECF,Utech F.H.,Utech,Frederik,H.,"Utech, F.H.","Utech, F.H.","Utech, F.H.",1.0,1.0,http://www.wikidata.org/entity/Q21611293,Fredrick H. Utech,Utech,F.H.,"Utech, F.H.",,,,,37107-1,Utech,,,,1943.0,,,,http://www.wikidata.org/wiki/Q21611293,,,https://www.ipni.org/a/37107-1,,,
6079,MONG01,Monguillon E.L.H.,Monguillon,Eugène,Louis Honoré,"Monguillon, E.L.H.","Monguillon, E.L.H.","Monguillon, E.L.H.",1.0,1.0,http://www.wikidata.org/entity/Q21339487,Eugène Louis Honoré Monguillon,Monguillon,E.L.H.,"Monguillon, E.L.H.",,41830283,0000 0000 0001 6839,25035,23551-1,Mong.,,,,1865.0,1940.0,,,http://www.wikidata.org/wiki/Q21339487,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=25035,https://www.ipni.org/a/23551-1,,,
6081,ROLLR,Rollins R.C.,Rollins,Reed,Clark,"Rollins, R.C.","Rollins, R.C.","Rollins, R.C.",1.0,1.0,http://www.wikidata.org/entity/Q3423003,Reed C. Rollins,Rollins,R.C.,"Rollins, R.C.",,105441074,0000 0001 1496 6250,92308.0,8556-1,Rollins,,,,1911.0,1998.0,,,http://www.wikidata.org/wiki/Q3423003,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=92308,https://www.ipni.org/a/8556-1,,,
6102,LEHMJ,Lehmann J.G.C.,Lehmann,Johann,Georg Christian,"Lehmann, J.G.C.","Lehmann, J.G.C.","Lehmann, J.G.C.",1.0,1.0,http://www.wikidata.org/entity/Q62981,Johann Georg Christian Lehmann,Lehmann,J.G.C.,"Lehmann, J.G.C.",,69044745,0000 0001 2138 1680,79.0,5434-1,Lehm.,,,,1792.0,1860.0,,,http://www.wikidata.org/wiki/Q62981,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=79,https://www.ipni.org/a/5434-1,,,
6159,PSQRS,Pasquet R.S.,Pasquet,Rémy,S.,"Pasquet, R.S.","Pasquet, R.S.","Pasquet, R.S.",1.0,1.0,http://www.wikidata.org/entity/Q2882326,Rémy S. Pasquet,Pasquet,R.S.,"Pasquet, R.S.",,,,,36352-1,Pasquet,,,,1959.0,2009.0,,,http://www.wikidata.org/wiki/Q2882326,,,https://www.ipni.org/a/36352-1,,,
6171,LUS,Lu S.,Lu (呂),Sheng-You (勝由),,"Lu (呂), S.(.n.","Lu (呂), S.(.n.","Lu, S.N.",1.0,1.0,http://www.wikidata.org/entity/Q36679128,Shi Nian Lu,Lu,S.N.,"Lu, S.N.",,,,,20016133-1,S.N.Lu,,,,,,,,http://www.wikidata.org/wiki/Q36679128,,,https://www.ipni.org/a/20016133-1,,,
6180,WHITS,White S.S.,White,Stephen,S.,"White, S.S.","White, S.S.","White, S.S.",1.0,1.0,http://www.wikidata.org/entity/Q19588718,Stephen S. White,White,S.S.,"White, S.S.",,,,,11622-1,S.S.White,,,,1909.0,,,,http://www.wikidata.org/wiki/Q19588718,,,https://www.ipni.org/a/11622-1,,,
6182,K203,Komarov V.L.,Komarov,Vladimir,Leontjevich,"Komarov, V.L.","Komarov, V.L.","Komarov, V.L.",1.0,1.0,http://www.wikidata.org/entity/Q1319463,Vladimir Leontyevich Komarov,Komarov,V.L.,"Komarov, V.L.",,66549671,0000 0001 0910 7021,465.0,4948-1,Kom.,,,,1869.0,1945.0,,,http://www.wikidata.org/wiki/Q1319463,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=465,https://www.ipni.org/a/4948-1,,,
6187,M083,Maitland T.D.,Maitland,Thomas,Douglas,"Maitland, T.D.","Maitland, T.D.","Maitland, T.D.",1.0,1.0,http://www.wikidata.org/entity/Q21519812,Thomas Douglas Maitland,Maitland,T.D.,"Maitland, T.D.",,,,34194,6003-1,Maitland,,,,1885.0,1976.0,,,http://www.wikidata.org/wiki/Q21519812,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=34194,https://www.ipni.org/a/6003-1,,,
6198,BRUCE1,Bruce E.A.,Bruce,Eileen,Adelaide,"Bruce, E.A.","Bruce, E.A.","Bruce, E.A.",1.0,1.0,http://www.wikidata.org/entity/Q4097448,Eileen Adelaide Bruce,Bruce,E.A.,"Bruce, E.A.",,27154066,0000 0000 4862 8236,26889.0,1203-1,E.A.Bruce,,,,1905.0,1954.0,,,http://www.wikidata.org/wiki/Q4097448,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=26889,https://www.ipni.org/a/1203-1,,,
6199,JGRPM,Jaeger P.-M.L.,Jaeger,Peter-Martin,Lind,"Jaeger, P.L.","Jaeger, P.L.","Jaeger, P.L.",1.0,1.0,http://www.wikidata.org/entity/Q5400163,Peter-Martin Lind Jaeger,Jaeger,P.L.,"Jaeger, P.L.",,,,,39087-1,P.-M.L.Jaeger,,,,1950.0,,,,http://www.wikidata.org/wiki/Q5400163,,,https://www.ipni.org/a/39087-1,,,
