,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
4101,HENDJ,Hendry J.M.,Hendry,J.M.,,"Hendry, J.M.n.","Hendry, J.M.n.","Hendry, C.R.",0.648,1.0,http://www.wikidata.org/entity/Q29053592,Catriona R. Hendry,Hendry,C.R.,"Hendry, C.R.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q29053592,,,,,,
4587,S119,Sandberg V.O.,Sandberg,V.O.,,"Sandberg, V.O.n.","Sandberg, V.O.n.","Sandberg, G.",0.648,1.0,http://www.wikidata.org/entity/Q11971835,Georg Sandberg,Sandberg,G.,"Sandberg, G.",,230290173,,,,,,,,1842.0,1891.0,,,http://www.wikidata.org/wiki/Q11971835,,,,,,
6738,COLLO,Collin O.,Collin,Otto,,"Collin, O.n.","Collin, O.n.","Collin, J.",0.648,1.0,http://www.wikidata.org/entity/Q2649210,Jonas Collin,Collin,J.,"Collin, J.",,74095570,0000 0000 7367 0735,,,,,,,1840.0,1905.0,,,http://www.wikidata.org/wiki/Q2649210,,,,,,
7563,HALEP,Hales Philip,Hales,Philip,,"Hales, P.n.","Hales, P.n.","Hales, S.",0.648,1.0,http://www.wikidata.org/entity/Q312017,Stephen Hales,Hales,S.,"Hales, S.",,17266522,0000 0000 8339 5554,,,,,,,1677.0,1761.0,,,http://www.wikidata.org/wiki/Q312017,,,,,,
10644,OLOF1,Olof = Oldfield,Olof = Oldfield,,,"Olof = Oldfield, n.n.","Olof = Oldfield, n.n.","Oldfield, B.",0.648,1.0,http://www.wikidata.org/entity/Q2899202,Bert Oldfield,Oldfield,B.,"Oldfield, B.",,95128391,0000 0000 6467 0434,,,,,,oldfield-william-albert-stanley-bert-7900,1894.0,1976.0,,,http://www.wikidata.org/wiki/Q2899202,,,,,,http://adb.anu.edu.au/biography/oldfield-william-albert-stanley-bert-7900
669,U100,Uno Daniel,Uno,Daniel,,"Uno, D.n.","Uno, D.n.","Uno, K.",0.647,1.0,http://www.wikidata.org/entity/Q36609821,Kakuo Uno,Uno,K.,"Uno, K.",,,,11492,28082-1,Uno,,,,,,,,http://www.wikidata.org/wiki/Q36609821,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=11492,https://www.ipni.org/a/28082-1,,,
2021,AUGUT,Augustinowicz T.,Augustinowicz,Thomas,Matwewicz,"Augustinowicz, T.M.","Augustinowicz, T.M.","Augustin, .",0.647,1.0,http://www.wikidata.org/entity/Q33662551,Augustin,Augustin,.,"Augustin, .",,,,77465,13858-1,Augustin,,,,,,,,http://www.wikidata.org/wiki/Q33662551,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=77465,https://www.ipni.org/a/13858-1,,,
2447,BECQA,Becquet A.,Becquet,August,Jean Marie,"Becquet, A.J.M.","Becquet, A.J.M.","Hecquet, P.",0.647,1.0,http://www.wikidata.org/entity/Q3380005,Philippe Hecquet,Hecquet,P.,"Hecquet, P.",,36962276,0000 0001 2128 1620,,,,,,,1661.0,1737.0,,,http://www.wikidata.org/wiki/Q3380005,,,,,,
3209,D166,De Keyser J.,De Keyser,J.,,"De Keyser, J.n.","De Keyser, J.n.","Keyser, C.",0.647,1.0,http://www.wikidata.org/entity/Q5109798,Christian Keyser,Keyser,C.,"Keyser, C.",,42629757,0000 0000 8343 2052,40161.0,,,,,,1877.0,1961.0,,,http://www.wikidata.org/wiki/Q5109798,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40161,,,,
5598,M142,Marin E.,Marin,E.,,"Marin, E.n.","Marin, E.n.","Marin, J.",0.647,1.0,http://www.wikidata.org/entity/Q28788084,Julie Marin,Marin,J.,"Marin, J.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q28788084,,,,,,
6162,DLH,De Lima H.C.,De Lima,H.C.,,"De Lima, H.C.n.","De Lima, H.C.n.","Lima, H.C.d.",0.647,1.0,http://www.wikidata.org/entity/Q21388071,Haroldo Cavalcante de Lima,Lima,H.C.d.,"Lima, H.C.d.",,50819172,,,17815-1,H.C.Lima,,,,1955.0,,,,http://www.wikidata.org/wiki/Q21388071,,,https://www.ipni.org/a/17815-1,,,
6718,R076,Rorer R.J.B.,Rorer,R.J.B.,,"Rorer, R.J.B.n.","Rorer, R.J.B.n.","Rorer, .",0.647,1.0,http://www.wikidata.org/entity/Q47125329,Rorer,Rorer,.,"Rorer, .",,,,74027,35531-1,Rorer,,,,,,,,http://www.wikidata.org/wiki/Q47125329,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=74027,https://www.ipni.org/a/35531-1,,,
8071,MARS,Marsh,Marsh,,,"Marsh, n.n.","Marsh, n.n.","Marsh, J.",0.647,1.0,http://www.wikidata.org/entity/Q15485978,Jack Marsh,Marsh,J.,"Marsh, J.",,106827047,,,,,,,marsh-jack-13080,1874.0,1916.0,,,http://www.wikidata.org/wiki/Q15485978,,,,,,http://adb.anu.edu.au/biography/marsh-jack-13080
8130,PYNEC,Pyne C.T.,Pyne,C.T.,,"Pyne, C.T.n.","Pyne, C.T.n.","Pyne, M.",0.647,1.0,http://www.wikidata.org/entity/Q33689878,Milo Pyne,Pyne,M.,"Pyne, M.",,,,72651,37917-1,Pyne,,,,,,,,http://www.wikidata.org/wiki/Q33689878,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=72651,https://www.ipni.org/a/37917-1,,,
8302,R209,Raynal-Roques A.,Raynal-Roques,Aline,Marie,"Raynal-Roques, A.M.","Raynal-Roques, A.M.","Roques, A.",0.647,1.0,http://www.wikidata.org/entity/Q25440128,Alain Roques,Roques,A.,"Roques, A.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q25440128,,,,,,
8552,L202,Leresche M.,Leresche,M.,,"Leresche, M.n.","Leresche, M.n.","Leresche, L.F.J.R.",0.647,1.0,http://www.wikidata.org/entity/Q4273123,Louis François Jules Rodolphe Leresche,Leresche,L.F.J.R.,"Leresche, L.F.J.R.",,,,48754.0,5496-1,Leresche,,,,1808.0,1885.0,,,http://www.wikidata.org/wiki/Q4273123,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48754,https://www.ipni.org/a/5496-1,,,
11029,D098,Dean,Dean,,,"Dean, n.n.","Dean, n.n.","Dean, A.",0.647,2.0,http://www.wikidata.org/entity/Q4747850,Amos Dean,Dean,A.,"Dean, A.",,65456685,0000 0000 8252 5716,,,,,,,1803.0,1868.0,,,http://www.wikidata.org/wiki/Q4747850,,,,,,
11030,D098,Dean,Dean,,,"Dean, n.n.","Dean, n.n.","Dean, A.",0.647,2.0,http://www.wikidata.org/entity/Q4798440,Arthur Dean,Dean,A.,"Dean, A.",,94862848,,,,,,,dean-sir-arthur-9933,1893.0,1970.0,,,http://www.wikidata.org/wiki/Q4798440,,,,,,http://adb.anu.edu.au/biography/dean-sir-arthur-9933
