,coll_index,surname,initials,canonical_string,name,active,comment,info_link,portrait_link
1796,c01797,HUSSEY,J.L.,"HUSSEY, J.L.","HUSSEY, Jessie Louisa, Miss",1862-1899,"Naturalist, algae collector in SA",notes,
1797,c01798,HUTCHINSON,S.W.,"HUTCHINSON, S.W.","HUTCHINSON, S.W.",fl. 1930s,,,
1798,c01799,HUTTON,G.,"HUTTON, G.","HUTTON, G.",,,,
1799,c01800,HWANG,Y.H.(.,"HWANG, Y.H.(.","HWANG, Yee H. (Robin)",fl. 1980s,Taiwanese Casuarinaceae postgraduate student,,portrait
1800,c01801,HYAM,G.N.,"HYAM, G.N.","HYAM, George Neville",1886-1958,"Naturalist, horticulturist",,
1801,c01802,HYETT,J.,"HYETT, J.","HYETT, Jack",fl. 1960s-80s,"Author, naturalist",,
1802,c01803,HYLAND,B.P.M.,"HYLAND, B.P.M.","HYLAND, Bernard Patrick Matthew*",1937-,"Forester, botanist",,portrait
1803,c01804,HYND,D.J.,"HYND, D.J.","HYND, David John",1937-,Forester,notes,
1804,c01805,HYNES,S.B.,"HYNES, S.B.","HYNES, Sarah B.",1859-1938,"Botany teacher, botanical assistant",,
1805,c01806,INCE,W.H.,"INCE, W.H.","INCE, Walter Holinshed, Dr",c.1865-1907,Pharmaceutical chemist,,
1806,c01807,INGLIS,,INGLIS,INGLIS,,,,
1807,c01808,INGRAM,B.,"INGRAM, B.","INGRAM, Barry",fl. 1980,Palynologist,,
1808,c01809,INGRAM,C.K.,"INGRAM, C.K.","INGRAM, Cyril Keith",1912-2002,"School Inspector, botanist, writer",notes,portrait
1809,c01810,INGWERSEN,F.(.,"INGWERSEN, F.(.","INGWERSEN, Francis (Frank)",,"Botanist, ecologist based in Canberra",,portrait
1810,c01811,INNES,A.A.C.,"INNES, A.A.C.","INNES, Annabella Alexandra Campbell",1826-1916,"Wildflower painter, diarist",notes,
1811,c01812,IRBY,L.G.,"IRBY, L.G.","IRBY, Llewellyn George",1883-1964,"Forester, farmer",,
1812,c01813,IRVINE,A.K.,"IRVINE, A.K.","IRVINE, Anthony Kyle*",1937-,"Forest botanist, biologist",,
1813,c01814,IRVINE,J.F.,"IRVINE, J.F.","IRVINE, Jemima Frances, Mrs, [nee BURN]",1822-1919,"Conchologist, artist, collected for Mueller",notes,portrait
1814,c01815,ISAAC,G.,"ISAAC, G.","ISAAC, Golda, Mrs*",1925-,"Botanist, pteridologist",,
1815,c01816,ISAACSON,R.,"ISAACSON, R.","ISAACSON, R.",,Botanist,,
1816,c01817,ISBELL,R.F.,"ISBELL, R.F.","ISBELL, R.F.",,,,
1817,c01818,ISING,E.H.,"ISING, E.H.","ISING, Ernest Horace",1884-1973,"Railways clerk, botanist, lay preacher",notes,portrait
1818,c01819,IVES,R.G.,"IVES, R.G.","IVES, R.G.",fl. 1890,,,
1819,c01820,IWAGU,T.,"IWAGU, T.","IWAGU, Taikika",fl. 1970s,"Botanical illustrator, Aust, PNG",notes,
1820,c01821,JACKES,B.R.,"JACKES, B.R.","JACKES, Betsy Rivers, Dr, nee PATERSON*",1935-,Botanist,,portrait
1821,c01822,JACKES,E.M.,"JACKES, E.M.","JACKES, Edward Michael*",1935-,Air traffic controller,,
1822,c01823,JACKSON,E.N.S.,"JACKSON, E.N.S.","JACKSON, Eric N.S.",fl. 1960-80s,"Botanist, State Herbarium of Sth Aust.",,portrait
1823,c01824,JACKSON,G.K.,"JACKSON, G.K.","JACKSON, G.K.",fl. 1960s,,,
1824,c01825,JACKSON,G.,"JACKSON, G.","JACKSON, Garth",,"Postmaster, ornithologist",,
1825,c01826,JACKSON,I.,"JACKSON, I.","JACKSON, Ida, Mrs*",1922-,"Author, amateur botanist",,
1826,c01827,JACKSON,M.A.,"JACKSON, M.A.","JACKSON, Mary Anne, nee WILLETT",1851-1916,Collected for Mueller in Tas.,notes,
1827,c01828,JACKSON,S.W.,"JACKSON, S.W.","JACKSON, Sydney William",1873--1946,Ornithological collector,,portrait
1828,c01829,JACKSON,W.D.,"JACKSON, W.D.","JACKSON, William D., Prof.",,Botanist,,
1829,c01830,JACOB,,JACOB,JACOB,fl. 1840,,,
1830,c01831,JACOBS,M.R.,"JACOBS, M.R.","JACOBS, Maxwell Ralph, Dr",1905-1979,"Director-General of Forestry, author, research botanist",notes,portrait
1831,c01832,JACOBS,S.W.L.,"JACOBS, S.W.L.","JACOBS, Surrey Wilfrid Laurance, Dr",1946-2009,"Botanist, author",notes,portrait
1832,c01833,JACQUINOT,H.,"JACQUINOT, H.","JACQUINOT, Honore",1814-?,Naval captain,,
1833,c01834,JAEGERMANN,V.,"JAEGERMANN, V.","JAEGERMANN, Vilja*",1929-,Botanical assistant,,
1834,c01835,JAGGARD,W.N.,"JAGGARD, W.N.","JAGGARD, William N.",1862-?,"School teacher, plant collector Qld.",notes,
1835,c01836,JAHERI,,JAHERI,JAHERI,1857-?,Indonesian plant collector,,
1836,c01837,JAKOBSON,K.(.,"JAKOBSON, K.(.","JAKOBSON, Kamilla (Camilla), Mrs*",1918-,"Agricultural scientist, botanical artist",,
1837,c01838,JAMES,A.M.,"JAMES, A.M.","JAMES, A.M.",fl. 1960s,,,
1838,c01839,JAMES,A.V.G.,"JAMES, A.V.G.","JAMES, A.V.G., Dr",fl. 1920,Palaeontologist,,
1839,c01840,JAMES,C.R.,"JAMES, C.R.","JAMES, C.R.",fl. 1900s,,,
1840,c01841,JAMES,P.W.,"JAMES, P.W.","JAMES, Peter W.*",1930-,Lichenologist,,
1841,c01842,JAMES,S.H.,"JAMES, S.H.","JAMES, Sidney Herbert",1933-,"Botanist, geneticist",,
1842,c01843,JAMES,T.A.,"JAMES, T.A.","JAMES, Teresa Ann",1956–2019,"Identification Officer (Lichens [NSW]), author, botanical consultant",,
1843,c01844,JAMIESON,S.,"JAMIESON, S.","JAMIESON, S.",,Lichen collector,,
1844,c01845,JARMAN,A.E.(.,"JARMAN, A.E.(.","JARMAN, A.E. (Emmie)",fl. 1927,Botanical artist,,
1845,c01846,JARRETT,P.H.,"JARRETT, P.H.","JARRETT, Phyllis H.",fl. 1929,Ecologist,,
1846,c01847,JEANNERETT,H.,"JEANNERETT, H.","JEANNERETT, Henry, Dr",1802-1886,"Surgeon, algae collector",,
1847,c01848,JEFFERlES,P.R.,"JEFFERlES, P.R.","JEFFERlES, Phillip Reid, Prof.",1927-,Plant chemist,,
1848,c01849,JEFFERSON,E.M.,"JEFFERSON, E.M.","JEFFERSON, E. Mrs",fl.1869-80,"Collected for Mueller at Fernshaw and the Upper Yarra, Vic.",,
1849,c01850,JELINEK or JELLINEK,A.,"JELINEK or JELLINEK, A.","JELINEK or JELLINEK, Anton",fl. 1857-1859,"Botanist and gardener, Novara expedition",,
1850,c01851,JELL,P.A.,"JELL, P.A.","JELL, Peter Alexander, Dr",1947-,Palaeontologist,,
1851,c01852,JENKINS,C.,"JENKINS, C.","JENKINS, C.",,,,
1852,c01853,JENSEN,H.I.,"JENSEN, H.I.","JENSEN, Harald Ingemann, Dr",1879--1966,"Government geologist, writer",notes,
1853,c01854,JEPHCOTT,E.,"JEPHCOTT, E.","JEPHCOTT, Edwin",1823-1911,Pastoralist,,
1854,c01855,JEPHCOTT,S.W.,"JEPHCOTT, S.W.","JEPHCOTT, Sydney Wheeler",1864-1951,"Pastoralist, writer",notes,
1855,c01856,JEPHEATH,,JEPHEATH,JEPHEATH,,,,
1856,c01857,JERMY,A.C.,"JERMY, A.C.","JERMY, Anthony Clive*",1932-,"Botanist, pteridologist, UK, PNG",,portrait
1857,c01858,JESSEP,A.W.,"JESSEP, A.W.","JESSEP, Alexander William",1892-1991,"Teacher, Gardens Director, Vict.",notes,
1858,c01859,JESSOP,J.P.,"JESSOP, J.P.","JESSOP, John Peter, Dr*",1939-,Botanist,,portrait
1859,c01860,JESSUP,L.W.,"JESSUP, L.W.","JESSUP, Laurence Woodward*",1947-,Botanist,,
1860,c01861,JESSUP,R.W.,"JESSUP, R.W.","JESSUP, Rupert W.",fl. 1940s-50s,Ecologist,,
1861,c01862,JOBSON,P.C.,"JOBSON, P.C.","JOBSON, Peter Craig",1965-,"Botanist, herbarium collector",,
1862,c01863,JOHANSEN,H.W.,"JOHANSEN, H.W.","JOHANSEN, H. William, Prof.*",1932-,"Botanist, phycologist",,
1863,c01864,JOHNCOCK,C.F.,"JOHNCOCK, C.F.","JOHNCOCK, Charles F.",fl. early 1900s,Botanist,,
1864,c01865,JOHNS,C.W.,"JOHNS, C.W.","JOHNS, Charles W.",fl. 1938,,,
1865,c01866,JOHNS,R.J.,"JOHNS, R.J.","JOHNS, Robert James",1944-2019,"NZ born botanist, mostly worked in PNG, later Kew, UK",notes,
1866,c01867,JOHNSON,H.A.(.,"JOHNSON, H.A.(.","JOHNSON, Howard Angas (&quot;Bill&quot;)",1907-1990,"Surveyor, plant collector",,
1867,c01868,JOHNSON,J.,"JOHNSON, J.","JOHNSON, J.",fl. 1960s,,,
1868,c01869,JOHNSON,L.A.S.,"JOHNSON, L.A.S.","JOHNSON, Lawrence Alexander Sidney, Dr",1925 - 1997,"Botanist, biosystematist, author, eucalypt specialist, Gardens Director",notes,portrait
1869,c01870,JOHNSON,R.W.,"JOHNSON, R.W.","JOHNSON, Robert William, Dr",1930-2012,"Botanist, Director of the Queensland Herbarium 1976-90",notes,portrait
1870,c01871,JOHNSON,S.,"JOHNSON, S.","JOHNSON, Sidney",fl. 1880-90s,,,
1871,c01872,JOHNSON,S.,"JOHNSON, S.","JOHNSON, Stephen",fl. 1877-92,,,
1872,c01873,JOHNSTON,H.F.,"JOHNSTON, H.F.","JOHNSTON, Harry F.",fl. 1884,Surveyor,,
1873,c01874,JOHNSTON,J.F.,"JOHNSTON, J.F.","JOHNSTON, J. Forster",,,,
1874,c01875,JOHNSTON,J.,"JOHNSTON, J.","JOHNSTON, Jen",1954-,"Lichen taxonomist, ANU Canberra",,
1875,c01876,JOHNSTON,M.L.(.,"JOHNSTON, M.L.(.","JOHNSTON, Maria Louisa (Minnie), nee BUTCHER",1856-1921,Collected for Mueller in WA,notes,
1876,c01877,JOHNSTON,R.H.,"JOHNSTON, R.H.","JOHNSTON, R.H.",,,,
1877,c01878,JOHNSTON,R.D.,"JOHNSTON, R.D.","JOHNSTON, Robert Douglas, Dr",1925-,"Botanist, eucalyptologist",notes,portrait
1878,c01879,JOHNSTON,R.M.,"JOHNSTON, R.M.","JOHNSTON, Robert Mackenzie",1844-1918,"Railway clerk, geologist palaeobotanist, Government statistician",notes,
1879,c01880,JOHNSTON,T.H.,"JOHNSTON, T.H.","JOHNSTON, T. Harvey",-1951,Zoological naturalist,,
1880,c01881,JOHNSTONE,R.L.,"JOHNSTONE, R.L.","JOHNSTONE, Richard L.",1955-,Collector for the Royal Botanic Gardens Sydney,,portrait
1881,c01882,JOHNSTONE,R.,"JOHNSTONE, R.","JOHNSTONE, Robert",fl. 1870s,,,
1882,c01883,JOLLY,N.W.,"JOLLY, N.W.","JOLLY, Norman William",1882-1954,,,
1883,c01884,JONCHEERE,G.J.d.s.D.J.,"JONCHEERE, G.J.d.s.D.J.","JONCHEERE, G.J. de see DE JONCHEERE",,,,
1884,c01885,JONES,B.,"JONES, B.","JONES, Barbara",fl. 1970s,"Horticulturist, of cryptogams",,
1885,c01886,JONES,D.L.,"JONES, D.L.","JONES, David Lloyd",1944-,"Nurseryman, orchidologist, author",notes,portrait
1886,c01887,JONES,O.A.,"JONES, O.A.","JONES, O.A.",fl. 1950,,,
1887,c01888,JONES,O.L.,"JONES, O.L.","JONES, Oliver Llewellyn",1848/9-1933,Policeman,,
1888,c01889,JONES,O.L.,"JONES, O.L.","JONES, Oliver Llewellyn",1948-,Orchidologist,,
1889,c01890,JONES,P.,"JONES, P.","JONES, Paul",1921-1997,"Botanical artist, often using romantically idealised backgrounds",,
1890,c01891,JONES,W.T.,"JONES, W.T.","JONES, William Thomas",1908-1970,"Senior Officer, plasterer",,
1891,c01892,JORDAN,M.M.,"JORDAN, M.M.","JORDAN, M. Miss",fl.1894,"Collected for Mueller at Queenscliff, Vic.",,
1892,c01893,JORDEN,E.[.,"JORDEN, E.[.","JORDEN, Elizabeth [Beth], Miss",fl. 1982,Illustrator,,
1893,c01894,JOSEPHSON,T.,"JOSEPHSON, T.","JOSEPHSON, Th.",fl. 1884,,,
