,coll_index,surname,initials,canonical_string,name,active,comment,info_link,portrait_link
824,c00825,CHARSLEY,F.A.,"CHARSLEY, F.A.","CHARSLEY, Fanny Anne, Miss",1828-1915,"Artist, author, Vic., Britain",notes,
825,c00826,CHATTAWAY,M.M.,"CHATTAWAY, M.M.","CHATTAWAY, Mary Margaret, Dr*",1899-1997,"Botanist, wood technologist",,
826,c00827,CHEEL,E.,"CHEEL, E.","CHEEL, Edwin",1872-1951,"Botanist, herbarium curator, writer",notes,portrait
827,c00828,CHEESEMAN,T.F.,"CHEESEMAN, T.F.","CHEESEMAN, Thomas F.",1845-1923,"New Zealand botanist, cutator",notes,portrait
828,c00829,CHEESMAN,W.N.,"CHEESMAN, W.N.","CHEESMAN, William Norwood",1847-1925,Fungus collector,,
829,c00830,CHESTERFIELD,E.A.,"CHESTERFIELD, E.A.","CHESTERFIELD, Evan Alexander*",1946-,Forester,,
830,c00831,CHEW,W.,"CHEW, W.","CHEW, Wee-Lek, Dr",1932-,"Botanist, initially in Singapore, later RBG Sydney. Malaysia, NSW",,portrait
831,c00832,CHILD,J.,"CHILD, J.","CHILD, John, Dr",1922-1984,"Economist, naturalist, cryptogamic botanist",,
832,c00833,CHINNOCK,R.J.,"CHINNOCK, R.J.","CHINNOCK, Robert James, Dr*",1943-,"Botanist, Eremophila specialist",,portrait
833,c00834,CHIPPENDALE,G.M.,"CHIPPENDALE, G.M.","CHIPPENDALE, George McCartney*",1921-2010,"Botanist, author, eucalyptologist, photographer, NT, ACT",notes,portrait
834,c00835,CHIPPENDALE,T.(.G.,"CHIPPENDALE, T.(.G.","CHIPPENDALE, ThelmaMyrtle (nee Gore)",1921-2011,"Illustrator, photographer, author, NT, ACT",notes,
835,c00836,CHISHOLM,E.C.,"CHISHOLM, E.C.","CHISHOLM, Edwin Claude, Dr",c. 1880-1944,"Medical officer, botanist",notes,
836,c00837,CHISHOLM,J.R.,"CHISHOLM, J.R.","CHISHOLM, James R.",?1855-1927,,,
837,c00838,CHISHOLM,W.R.,"CHISHOLM, W.R.","CHISHOLM, W.R.",fl. 1899,Collector,,
838,c00839,CHORNEY,K.(.s.C.,"CHORNEY, K.(.s.C.","CHORNEY, Kosmyn (previously spelt CZORNIJ)",fl 1960s,Adelaide Herbarium staff member,notes,portrait
839,c00840,CHRISTENSEN,G.,"CHRISTENSEN, G.","CHRISTENSEN, Geoffrey, Dr",fl. 1960s-SOS,"Research scientist, photographer",,
840,c00841,CHRISTENSEN,T.J.,"CHRISTENSEN, T.J.","CHRISTENSEN, Trevor John*",1954-,Horticulturist,notes,portrait
841,c00842,CHRISTIAN,C.S.,"CHRISTIAN, C.S.","CHRISTIAN, Clifford Stuart, Dr*",1907-,"Scientist, ecologist",,
842,c00843,CHRISTOPHEL,D.C.,"CHRISTOPHEL, D.C.","CHRISTOPHEL, David Charles, Dr*",1947–2018,"Botanist, palaeobotanist, SA",notes,portrait
843,c00844,CHURCHILL,D.M.,"CHURCHILL, D.M.","CHURCHILL, David Maughan, Dr*",1933-,"Gardens Director, botanist, palaeobotanist",notes,portrait
844,c00845,CHURCHILL,S.,"CHURCHILL, S.","CHURCHILL, Steven",fl. 1980s,Bryologist,,
845,c00846,CLARK,A.,"CLARK, A.","CLARK, A.",fl. 1887,,,
846,c00847,CLARK,B.,"CLARK, B.","CLARK, B.",fl. 1860s,,,
847,c00848,CLARK,D.R.M.,"CLARK, D.R.M.","CLARK, D.R. Mrs",fl.1886,"Collected a MEL
      specimen at Korumburra, Vic.",,
848,c00849,CLARK,R.,"CLARK, R.","CLARK, Ruth, Miss",fl. 1950s,Naturalist,,
849,c00850,CLARKE,G.H.,"CLARKE, G.H.","CLARKE, George H.",1895-,"Agricultural botanist, teacher, lecturer, NSW, SA. fl. 1930s-1940s",notes,
850,c00851,CLARKE,I.C.,"CLARKE, I.C.","CLARKE, Ian Charles*",1950-,Botanical technical officer,,
851,c00852,CLARKE,J.,"CLARKE, J.","CLARKE, J., Miss",fl. 1940s,,,
852,c00853,CLARKE,R.,"CLARKE, R.","CLARKE, R.",,,,
853,c00854,CLARKE,S.M.,"CLARKE, S.M.","CLARKE, Steven Mark",1956-,"Marine biologist, phycologist",,
854,c00855,CLARKE,W.B.,"CLARKE, W.B.","CLARKE, William Branwhite, Rev.",1798-1878,"Geologist, palaeobotanist",,portrait
855,c00856,CLARKE,Z.,"CLARKE, Z.","CLARKE, Zara",1885-1974,Daughter of pastoralist,notes,
856,c00857,CLARKSON,D.B.,"CLARKSON, D.B.","CLARKSON, D.B.",fl. 1860s,,,
857,c00858,CLARKSON,J.R.,"CLARKSON, J.R.","CLARKSON, John Richard*",1950-.,"Herbarium botanist, Qld",,portrait
858,c00859,CLARKSON,R.C.,"CLARKSON, R.C.","CLARKSON, Richard Charles",1947-,"Ecologist, planner",,
859,c00860,CLARSON,W.,"CLARSON, W.","CLARSON, William",~1832-1890,Writer and a horticulturalist,notes,
860,c00861,CLASS,J.,"CLASS, J.","CLASS, Jeanette",fl. 1970s,,,
861,c00862,CLAYTON,M.N.,"CLAYTON, M.N.","CLAYTON, Margaret N., Dr*",1943-,Phycologist,,
862,c00863,CLEARY,M.,"CLEARY, M.","CLEARY, Miss",fl.1882,"Collected a MEL specimen
      at Rostrevor, Spring Bay, Tas",,
863,c00864,CLELAND,J.B.,"CLELAND, J.B.","CLELAND, John Burton, Prof. Sir",1878-1971,"Government plant pathologist,mycologist, botanist, microbiologist",notes,portrait
864,c00865,CLELAND,W.L.,"CLELAND, W.L.","CLELAND, William Lennox, Dr",1847-1918,Surgeon and medical practitioner,,
865,c00866,CLEMENS,J.,"CLEMENS, J.","CLEMENS, Joseph, Rev.",1862-1936,"Missionary, botanical explorer, mostly SE Asia, PNG",,portrait
866,c00867,CLEMENS,M.K.,"CLEMENS, M.K.","CLEMENS, Mary Knapp, Mrs, nee STRONG",1873-1968,"Missionary, herbarium collector, mostly SE Asia, PNG",notes,portrait
867,c00868,CLEMENT,E.,"CLEMENT, E.","CLEMENT, E., Dr",fl. 1910,,,
868,c00869,CLEMENTS,F.M.,"CLEMENTS, F.M.","CLEMENTS, Frederick Moore",1857-1920,"Medicinal plant collector, pharmacist, manufacturing chemist",,
869,c00870,CLEMENTS,M.A.,"CLEMENTS, M.A.","CLEMENTS, Mark Alwin",1949–,"Herbarium botanist, orchidologist, SA, ACT",,portrait
870,c00871,CLEMESHA,S.C.,"CLEMESHA, S.C.","CLEMESHA, Stephen Chapman*",1942-,"Botanist, author, orchidologist",,
871,c00872,CLEMSON,A.,"CLEMSON, A.","CLEMSON, Alan",fl. 1980s,"Apiculturist, photographer",,
872,c00873,CLENDINNING,M.,"CLENDINNING, M.","CLENDINNING, Martha, Mrs",1822-1908,"Collected for Mueller at Maldon and Ballarat, Vic.",notes,
873,c00874,CLEVELY,J.,"CLEVELY, J.","CLEVELY, John",1747-1768,Botanical artist,notes,
874,c00875,CLIFFORD,H.T.,"CLIFFORD, H.T.","CLIFFORD, Harold Trevor, Prof.*",1927-,"Taxonomist, ecologist, author",notes,portrait
875,c00876,CLIFFORD,J.[.T.].,"CLIFFORD, J.[.T.].","CLIFFORD, J. [also T.]",,,,
876,c00877,CLIFTON,G.,"CLIFTON, G.","CLIFTON, George",1823-1913,"Police Inspector, algae collector",,
877,c00878,CLINTON,S.F.,"CLINTON, S.F.","CLINTON, S.F.",,,,
878,c00879,CLORVES,M.,"CLORVES, M.","CLORVES, M.",,,,
879,c00880,CLOUGH,R.,"CLOUGH, R.","CLOUGH, Richard",1921-2014,"Architect, landscape architect, bibliophile, gardening historian",notes,portrait
880,c00881,CLOWES,G.,"CLOWES, G.","CLOWES, G.",fl. 1850s,? visitor to NSW,notes,
881,c00882,CLULEE,C.J.,"CLULEE, C.J.","CLULEE, Charles James",1868-1932+,Forester,notes,
882,c00883,CLUNIES-ROSS,W.J.,"CLUNIES-ROSS, W.J.","CLUNIES-ROSS, William John",1850-1914,"College lecturer, scientist",notes,
883,c00884,COALDRAKE,J.E.,"COALDRAKE, J.E.","COALDRAKE, John Edward",1920-,Plant ecologist,,
884,c00885,COBB,L.,"COBB, L.","COBB, Lorraine",-2008,Botanist and botanical illustrator,notes,portrait
885,c00886,COBB,N.A.,"COBB, N.A.","COBB, Nathan Augustus",1859-1932,,,
886,c00887,COCHRANE,G.R.,"COCHRANE, G.R.","COCHRANE, G. Ross",fl. 1960s,"Ecologist, geographer",,
887,c00888,COGHILL,G.,"COGHILL, G.","COGHILL, George",1864-1957,,,
888,c00889,COLE,E.W.,"COLE, E.W.","COLE, E. W.",f. 1860s,"Photographer, publisher, seed collector",,
889,c00890,COLE,M.M.,"COLE, M.M.","COLE, M. M.",fl. 1960s,,,
890,c00891,COLE,S.,"COLE, S.","COLE, Stephen",f. 1852-68,Police commissioner on River Murray,,
891,c00892,COLEMAN,E.,"COLEMAN, E.","COLEMAN, Edith, Mrs, nee HARMS",1874-1951,"Teacher, naturalist, writer, esp. Victorian Naturalist, Vic",notes,portrait
892,c00893,COLEMAN,R.S.(.,"COLEMAN, R.S.(.","COLEMAN, Robert Stanley (""Bob"")",fl. 1960s,"Plant collector, apiculturist",,
893,c00894,COLENSO,W.,"COLENSO, W.","COLENSO, William",1811-1899,"Missionary and botanist esp. cryptogams, mostly in New Zealand",,
894,c00895,COLLIE,A.,"COLLIE, A.","COLLIE, Alexander",1793-1835,"Surgeon, explorer",notes,
895,c00896,COLLIE,R.,"COLLIE, R.","COLLIE, Robert, Rev.",1839-1892,"Presbyterian Minister, amateur collector, ecologist",notes,portrait
896,c00897,COLLINS,J.,"COLLINS, J.","COLLINS, June",fl. 1960s,Botanical illustrator,notes,
897,c00898,COLLINS,M.I.,"COLLINS, M.I.","COLLINS, Marjorie Isabel, Miss[SHIELS, Mrs]",1895-1970,"Botanist, ecologist",,
898,c00899,COLLINS,R.,"COLLINS, R.","COLLINS, Ronald, Rev.",1918-1989,"Anglican Minister, orchid collector, Atherton, Qld",notes,
899,c00900,COLLIVER,F.S.,"COLLIVER, F.S.","COLLIVER, Frederick Stanley",1908-1991,"Geologist, naturalist",notes,
900,c00901,COLQUHOUN,T.T.,"COLQUHOUN, T.T.","COLQUHOUN, Thomas Talbot",1904-1981,"Botany lecturer Uni Adelaide &amp; Waite, Director Land Settlement",,
901,c00902,COLYER,C.,"COLYER, C.","COLYER, C.",,,,
902,c00903,COMBER,H.F.,"COMBER, H.F.","COMBER, Harold Frederick",1897-1969,"Botanical explorer, gardener",,
903,c00904,CONABERE,E.V.,"CONABERE, E.V.","CONABERE, Elizabeth Vivienne, Mrs*",1929-2009,Botanical artist,notes,
904,c00905,CONN,B.J.,"CONN, B.J.","CONN, Barry John, Dr*",1948-,Botanist,,portrait
905,c00906,CONNELL,M.,"CONNELL, M.","CONNELL, Miss",fl.1864,"Collected MEL specimens
      (algae) at George Town, Tas.",,
906,c00907,CONNOR,F.,"CONNOR, F.","CONNOR, F.",,,,
907,c00908,CONRAN,J.G.,"CONRAN, J.G.","CONRAN, John Godfrey*",1960-,"Botanist, ecologist",,portrait
908,c00909,CONRICK,P.E.,"CONRICK, P.E.","CONRICK, Patrick Edward*",1922-,,,
909,c00910,CONSIDEN. Denis,,CONSIDEN. Denis,CONSIDEN. Denis,c.1760-1815,Medical practitioner,notes,
910,c00911,CONSTABLE,E.F.,"CONSTABLE, E.F.","CONSTABLE, Ernest Francis*",1903-1986,Herbarium collector,notes,
911,c00912,CONSTANS,L.,"CONSTANS, L.","CONSTANS, L.",fl. 1850s,"Botanical illustrator, lithographer, Britain, never visited Aust.",notes,
912,c00913,COOK,J.,"COOK, J.","COOK, James, Capt.",1728-1779,"Navigator, explorer",notes,portrait
913,c00914,COOK. E.R.,,COOK. E.R.,COOK. E.R.,fl. 1930s,,,
914,c00915,COOKE,D.A.,"COOKE, D.A.","COOKE, David Alan",1949-,Botanist,,
915,c00916,COOKE,G.,"COOKE, G.","COOKE, George",1781-1834,Botanical illustrator,notes,
916,c00917,COOKSON,I.C.D.,"COOKSON, I.C.D.","COOKSON, Isabel Clifton Dr",1893-1973,"Palaeobotanist, palynologist, illustrator",notes,portrait
917,c00918,COOPER,D.,"COOPER, D.","COOPER, Daniel, Sir",1821-1902,"Merchant, philanthropist",,
918,c00919,COOPER,D.,"COOPER, D.","COOPER, De",,,,
919,c00920,COOPER,D.E.,"COOPER, D.E.","COOPER, Duncan Elphinstone",1813-1904,"Pastoralist, amateur painter, drew trees",notes,
920,c00921,COOPER,E.,"COOPER, E.","COOPER, Elizabeth",1950-,"Botanical artist, especially Stenocarpus, NSW",,
921,c00922,COOPER,H.M.,"COOPER, H.M.","COOPER, Harold M.",1886-1970,Scientist,,
922,c00923,COOPER,W.T.(.,"COOPER, W.T.(.","COOPER, William T. (Bill)",1934-,"Natural history artist, fruit illustrator, Qld.",notes,portrait
923,c00924,COPLEY,B.J.,"COPLEY, B.J.","COPLEY, Bruce Jabez*",1933-1984,"Amateur botanist, photographer, farmer",notes,
924,c00925,COPLEY,P.B.,"COPLEY, P.B.","COPLEY, Peter Bruce*",1956-,"Botanist, zoologist, ecologist",,
925,c00926,COPPINGER,R.W.`.,"COPPINGER, R.W.`.","COPPINGER, Richard William ``",1847-1910,"Irish naval surgeon, naturalist, 1881 visited Sydney, Qld, PNG",,
926,c00927,COQUE,J.V.d.,"COQUE, J.V.d.","COQUE, John Vincent de",1857-post 1910,"Timber inspector, businessman",notes,
927,c00928,CORBEM,K.D.,"CORBEM, K.D.","CORBEM, Keith D., Dr",fl. 1979,"Geologist, botanist",,
928,c00929,CORDER,T.,"CORDER, T.","CORDER, Thomas",1812-1874,Miller,,
929,c00930,CORNISH,W.H.,"CORNISH, W.H.","CORNISH, W.H.",fl. 1880s,Pastoralist,,
930,c00931,CORRELL,R.L.,"CORRELL, R.L.","CORRELL, Raymond L., Dr",fl. 1970s,"Botanist, mathematical statistician",,
931,c00932,CORREY,A.D.,"CORREY, A.D.","CORREY, Allan Dale*",1931-,Landscape architect SA,,
932,c00933,CORRICK,M.G.,"CORRICK, M.G.","CORRICK, Margaret Georgina, Mrs*",1922-,Herbarium assistant,,
933,c00934,COSH,J.L.,"COSH, J.L.","COSH, Janet Louise",1901-1989,"Teacher, historian, herbarium collector, philanthropist",notes,portrait
934,c00935,COSTERMANS,L.F.,"COSTERMANS, L.F.","COSTERMANS, Leon F.",1933-,"Teacher, botanist, author, illustrator",notes,
935,c00936,COSTIN,A.B.,"COSTIN, A.B.","COSTIN, Alec Baillie*",1925-,"Ecologist, author",notes,portrait
936,c00937,COTTER,J.A.,"COTTER, J.A.","COTTER, Jessie Annie, nee KENNEDY",1864-1941,Collected for Mueller in Queensland,notes,portrait
937,c00938,COTTRELL-DORMER,W.,"COTTRELL-DORMER, W.","COTTRELL-DORMER, W.",fl. 1927,,,
938,c00939,COURDEROT de MELANGE,,COURDEROT de MELANGE,COURDEROT de MELANGE,fl. 1880s,Algae collector,,
939,c00940,COURT,A.B.,"COURT, A.B.","COURT, Arthur Bertram",1927-2012,"Herbarium botanist, curator, Acacia specialist, Vict, ACT",notes,portrait
940,c00941,COUTANT,J.L.D.,"COUTANT, J.L.D.","COUTANT, Jean Louis Denis",1776-1831,Botanical engraver,,
941,c00942,COVENY,R.G.,"COVENY, R.G.","COVENY, Robert George",1943-,Herbarium collector,notes,portrait
942,c00943,COWAN,R.S.,"COWAN, R.S.","COWAN, Richard S.",1921-1997,"Taxonomist, plant name indexer, author",notes,
943,c00944,COWLE,K.J.(.a.W.,"COWLE, K.J.(.a.W.","COWLE, Kate J. (married as WEINDORFER)",-1916,"Field Naturalist, later wife of Gustav Weindorfer",notes,
944,c00945,COWLEY,E.`.,"COWLEY, E.`.","COWLEY, E. ``",fl. 1890s,"Overseer Kamerunga State Nursery N Qld, 1893 to PNG",notes,
945,c00946,COWLEY,E.,"COWLEY, E.","COWLEY, Ebeneezer",1848/9-1889,,,
946,c00947,COX,E.l.M.D.,"COX, E.l.M.D.","COX, Eliza later Mrs Dixon",1830-1897,"Collected for Mueller in Tas, wildflower and landscape painter,",notes,portrait
947,c00948,CRAFTER,B.,"CRAFTER, B.","CRAFTER, Brian",fl. 1960s-80s,Photographer,,
948,c00949,CRAIGIE,E.n.B.,"CRAIGIE, E.n.B.","CRAIGIE, Emma nee BERTHOUD",1842-1921,Collected for Mueller in WA,notes,
949,c00950,CRAIGIE,W.,"CRAIGIE, W.","CRAIGIE, W.",fl. 1906-09,Lichen collector,,
950,c00951,CRANE,C.R.,"CRANE, C.R.","CRANE, Cyril Ralph",1938-1999,Queensland orchid collector,notes,portrait
951,c00952,CRANFIELD,R.J.,"CRANFIELD, R.J.","CRANFIELD, Raymond Jeffrey",1947-,Botanist,,
952,c00953,CRAVEN,L.A.,"CRAVEN, L.A.","CRAVEN, Lyndley Alan*",1945-2014,"Botanist, mostly with CSIRO in Canberra, briefly in PNG",notes,portrait
953,c00954,CRAWFORD,A.R.,"CRAWFORD, A.R.","CRAWFORD, Alexander Robert",1840-1912,Farm manager,notes,
954,c00955,CRAWFORD,L.D.,"CRAWFORD, L.D.","CRAWFORD, Lindsay D.",fl. 1950s,Geologist,,
955,c00956,CRIBB,A.B.,"CRIBB, A.B.","CRIBB, Alan Bridson, Dr",1925-,"Botanist, phycologist",,
956,c00957,CRIBB,J.W.,"CRIBB, J.W.","CRIBB, Joan Winifred, Mrs, nee HERBERT",1930-,"Botanist, mycologist Qld.",notes,
957,c00958,CRICHTON,C.E.,"CRICHTON, C.E.","CRICHTON, Charles Eric*",1949-,Photographer,,
958,c00959,CRICHTON,G.A.,"CRICHTON, G.A.","CRICHTON, George A.",fl. 1960s-80s,Mycologist,,
959,c00960,CRISP,L.,"CRISP, L.","CRISP, Leanne",fl. 1978,"Artist, illustrator (SA, ACT)",,
960,c00961,CRISP,M.D.,"CRISP, M.D.","CRISP, Michael Douglas, Dr*",1950-,Botanist,,portrait
961,c00962,CROCKER,R.L.,"CROCKER, R.L.","CROCKER, Robert Langdon, prof.",1914-1963,"Botanist, ecologist",,
962,c00963,CROFT,J.R.,"CROFT, J.R.","CROFT, Jim R.",1951-,"Botanist, pteridologist, data-manager",notes,portrait
963,c00964,CROLL,R.D.,"CROLL, R.D.","CROLL, Robin D.",,Agriculturalist,,
964,c00965,CROMBIE,J.,"CROMBIE, J.","CROMBIE, James",1881-1942,Pastoral Manager,,
965,c00966,CROMER,D.A.N.,"CROMER, D.A.N.","CROMER, D'Arcy Ananda Neil*",1910-,"Ecologist, botanist",,
966,c00967,CRONIN,M.,"CRONIN, M.","CRONIN, Margaret, Miss",?-1929,Collected for Mueller in WA c.1890,notes,
967,c00968,CRONIN,M.A.,"CRONIN, M.A.","CRONIN, Mary Ann, (later Mrs WALTER)",1871-1974,Collected extensively for Mueller in WA 1887-1894,notes,portrait
968,c00969,CRONIN. Edward,,CRONIN. Edward,CRONIN. Edward,fl. 18905,,,
969,c00970,CROOK. Keith W.S.,D.,"CROOK. Keith W.S., D.","CROOK. Keith W.S., Dr",fl. 1960-80,"Palaeonologist, geologist",,
970,c00971,CROSS,D.O.,"CROSS, D.O.","CROSS, D.O.",fl. 1941,,,
971,c00972,CROSS,E.W.(.,"CROSS, E.W.(.","CROSS, Edward William (Ed)",1977-2007,"Systematic botanist, NSW and Canberra",notes,portrait
972,c00973,CROSSLAND,C.,"CROSSLAND, C.","CROSSLAND, C.",fl. 1905,Explorer,,
973,c00974,CROSSMAN,D.G.,"CROSSMAN, D.G.","CROSSMAN, Douglas George",1952-,Zoologist,,
974,c00975,CROUCH,H.A.,"CROUCH, H.A.","CROUCH, H.A.",fl. 1870s,,,
975,c00976,CROUCH,M.,"CROUCH, M.","CROUCH, Maria, Mrs, nee TELFORD",fl. 1874-76,Collected for Mueller in WA,notes,
976,c00977,CROWIN,A.,"CROWIN, A.","CROWIN, Annie",1881-?,,,
977,c00978,CROXALL,B.S.(.P.,"CROXALL, B.S.(.P.","CROXALL, Barbara S. (nee Parris)",fl. 1970-90s,Pteridologist,,portrait
978,c00979,CROXALL,J.P.,"CROXALL, J.P.","CROXALL, John P.",fl. 1970s,"Ornithologist, pteridologist",,
979,c00980,CROXFORD,E.,"CROXFORD, E.","CROXFORD, Eileen",1912-2006,"Naturalist, herbarium collector, Albany, WA.",notes,portrait
980,c00981,CRUIKSHANK,V.M.,"CRUIKSHANK, V.M.","CRUIKSHANK, Veda M.",fl. 1960s,"Illustrator, artist",,portrait
981,c00982,CULLIMORE,J.,"CULLIMORE, J.","CULLIMORE, Jill, Miss",fl. 1960s,Herbarium assistant,,
982,c00983,CUMMING,D.,"CUMMING, D.","CUMMING, D.",fl. 1891-92,"Assistant, Elder Expedition",,
983,c00984,CUMMING,M.,"CUMMING, M.","CUMMING, Mrs",fl. 1893,"Collected for Mueller near Hopetoun, Vic",,
984,c00985,CUMMING,R.,"CUMMING, R.","CUMMING, Russell*",1959-,Acacia collector,,
985,c00986,CUNNINGHAM,A.,"CUNNINGHAM, A.","CUNNINGHAM, Allan",1791-1839,"Explorer, botanist, official collector for Joseph Banks",notes,portrait
986,c00987,CUNNINGHAM,G.M.,"CUNNINGHAM, G.M.","CUNNINGHAM, Geoff McIver",fl. 1960s-2000s,"NSW Soil Conservation Service officer, author, photographer",notes,portrait
987,c00988,CUNNINGHAM,G.H.,"CUNNINGHAM, G.H.","CUNNINGHAM, Gordon Heriot, Dr",1892-,Mycologist,,
988,c00989,CUNNINGHAM,R.,"CUNNINGHAM, R.","CUNNINGHAM, Richard",1793-1835,"Colonial Botanist, gardens superintendent (brother of Allan)",notes,portrait
989,c00990,CURDIE,D.,"CURDIE, D.","CURDIE, Daniel, Dr",1810-1884,"Pioneer pastoralist, physician, naturalist",notes,portrait
990,c00991,CURDIE,F.N.n.P.,"CURDIE, F.N.n.P.","CURDIE, Frances Niel nee PURVES",1829-1900,Collected for Mueller in Vic,notes,portrait
991,c00992,CURNOW,J.A.,"CURNOW, J.A.","CURNOW, Judith A.",fl.1980s,"Technician, Canberra Botanic Gardens Herbarium, ACT",,
992,c00993,CURRAN,J.M.[.,"CURRAN, J.M.[.","CURRAN, John Michael [Milne], Rev.",1859-1929,"Roman Catholic priest, lecturer, public servant, palaeobotanist",,
993,c00994,CURTIS,D.,"CURTIS, D.","CURTIS, Denzil",1892-1973,"Farmer, naturalist",,
994,c00995,CURTIS,H.S.,"CURTIS, H.S.","CURTIS, H.S.",,,,
995,c00996,CURTIS,W.M.,"CURTIS, W.M.","CURTIS, Winifred Mary, Dr*",1905-2005,"Botanist, author, mostly TAS",notes,portrait
996,c00997,CUSACK,W.H.,"CUSACK, W.H.","CUSACK, William Henry",1871-1965??,Pastoralist,,
997,c00998,CUSACK,W.M.,"CUSACK, W.M.","CUSACK, William Michael",1871-1965,"Forester, WA",notes,
998,c00999,"CUTHBERTSON,Walter R. ``",,"CUTHBERTSON,Walter R. ``","CUTHBERTSON,Walter R. ``",1877-1898,"Surveyor in Qld, also in PNG",notes,
999,c01000,CZORNIJ,K.(.s.C.,"CZORNIJ, K.(.s.C.","CZORNIJ, Kosmyn (later spelt CHORNEY)",fl 1960s,Adelaide Herbarium staff member,notes,portrait
1000,c01001,D'ALBERTIS,L.M.,"D'ALBERTIS, L.M.","D'ALBERTIS, Luigi Maria, Count",fl. 1873,,,portrait
1001,c01002,D'ALTON,S.E.,"D'ALTON, S.E.","D'ALTON, St Eloy",1847-1930,"Engineer, botanist",notes,portrait
1002,c01003,D'ARNAY,E.,"D'ARNAY, E.","D'ARNAY, Edna",fl. 1960s,"Lab technician CSIRO, assistant to N.Burbidge, ACT",notes,
1003,c01004,D'URVILLE DUMONT,J.S.C.,"D'URVILLE DUMONT, J.S.C.","D'URVILLE DUMONT, J.S.C.",1770-1840,French naval explorer,notes,portrait
1004,c01005,D'URVILLE,J.S.C.D.,"D'URVILLE, J.S.C.D.","D'URVILLE, Jules Sebastien Cesar Dumont, Admiral",1790-1842,"Explorer, botanist",notes,portrait
1005,c01006,DAEMEL [D&Auml;MEL],C.F.E.,"DAEMEL [D&Auml;MEL], C.F.E.","DAEMEL [D&Auml;MEL], C. F. Eduard",c.1821-1900,"German entomologist, explorer, plant collector",notes,portrait
1006,c01007,DAHL,E.,"DAHL, E.","DAHL, Eiliff",,Lichen collector,,
1007,c01008,DAHL,K.B.,"DAHL, K.B.","DAHL, Klaus Bjarne",1898-1993,"Forester, eucalyptologist, philanthropist, Norway, Vic",notes,
1008,c01009,DAINTREE,R.,"DAINTREE, R.","DAINTREE, Richard",1831-1878,"Geologist, photographer",notes,portrait
1009,c01010,DAINTREY,E.,"DAINTREY, E.","DAINTREY, Edwin",1814-1887,solicitor,notes,portrait
1010,c01011,DAKIN,E.T.,"DAKIN, E.T.","DAKIN, Edward Thomas",1897-1955,Gardener,,
1011,c01012,DALE,B.A.,"DALE, B.A.","DALE, B.A., Mrs",fl. 1939,,,
1012,c01013,DALE,R.,"DALE, R.","DALE, Robert",1810-1853,"Military officer, explorer, artist, timber merchant",notes,
1013,c01014,DALEY,C.,"DALEY, C.","DALEY, Charles",1859-1947,"Teacher, historian, author",,
1014,c01015,DALEY,N.,"DALEY, N.","DALEY, Nicholas",1882-1963,"School teacher, QLD",notes,
1015,c01016,DALLACHY,J.,"DALLACHY, J.","DALLACHY, John",?1803-1871,"Gardens director, field, collector, VIC. and Qld.",notes,
1016,c01017,DALTON,J.C.,"DALTON, J.C.","DALTON, J.C.",,,,
1017,c01018,DALTON,S.M.,"DALTON, S.M.","DALTON, S.M.",,,,
1018,c01019,DALY,B.G.,"DALY, B.G.","DALY, Barbara Granville",1925-2020,"Nurse, naturalist, volunteer plant diarist, ANBG, ACT",notes,portrait
1019,c01020,DAMPIER,W.,"DAMPIER, W.","DAMPIER, William",1652-1715,"Ship's Commander, privateer, explorer, writer",notes,portrait
1020,c01021,DANA,J.D.,"DANA, J.D.","DANA, James Dwight, Prof.",1813-1895,"Biologist/geologist, Professor at Yale University",notes,portrait
1021,c01022,DANE,,DANE,DANE,fl. 1895,,,
1022,c01023,DANES,J.[.V.,"DANES, J.[.V.","DANES, Jeri [George] Vaclav, Dr",1880-1928,Geologist,,
1023,c01024,DANGER,W.J.,"DANGER, W.J.","DANGER, W.J.",fl. 1860s,,,
1024,c01025,DANGERFIELD,B.,"DANGERFIELD, B.","DANGERFIELD, Barry",1933-2005,"Horticulturist, park manager",notes,
1025,c01026,DANIEL,E.,"DANIEL, E.","DANIEL, E.",fl. 1860S,,,
1026,c01027,DANIELL,T.C.,"DANIELL, T.C.","DANIELL, Thelma Christine, Mrs nee JOHNSON",fl. 1930s,Artist,,
1027,c01028,DANIELS,L.J.,"DANIELS, L.J.","DANIELS, Lindsay James",1932-,Agriculturist,,
1028,c01029,DARBY,S.,"DARBY, S.","DARBY, S.",fl. 1890S,,,
1029,c01030,DARBYSHIRE,P.J.,"DARBYSHIRE, P.J.","DARBYSHIRE, Paul J.",fl. 1960s,"CSIRO Div Land Research and Regional Survey, ACT",,
1030,c01031,DARE,M.,"DARE, M.","DARE, Miss",fl.1889,Collected for Mueller in WA,,
1031,c01032,DARLING,E.,"DARLING, E.","DARLING, Elizabeth, Lady",fl. 1830s,Artist,,
1032,c01033,DARNELL-SMITH,G.P.,"DARNELL-SMITH, G.P.","DARNELL-SMITH, George Percy, Dr",1868-1942,Agricultural microbiologist,,
1033,c01034,DARWIN,C.R.,"DARWIN, C.R.","DARWIN, Charles Robert",1809-1882,"Natural scientist, philosopher, author (Aust 1836)",notes,portrait
1034,c01035,DASHORST,G.R.M.,"DASHORST, G.R.M.","DASHORST, Gilbert Roelof Maria",1956-,Botanical illustrator,notes,portrait
1035,c01036,DAVENPORT,A.,"DAVENPORT, A.","DAVENPORT, A.",fl. 1870s-1900s,,,
