,label,count,start_date,end_date,activity_span,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
818,"Brown, A.",1112,1918.0,2017.0,99.0,"Brown, A.","Brown, A.",1.0,5.0,http://www.wikidata.org/entity/Q4718432,Alexander Brown,Brown,A.,"Brown, A.",,,,,,,,,1851.0,1926.0,,,http://www.wikidata.org/wiki/Q4718432,,,,,,http://adb.anu.edu.au/biography/brown-alexander-5641
819,"Brown, A.",1112,1918.0,2017.0,99.0,"Brown, A.","Brown, A.",1.0,5.0,http://www.wikidata.org/entity/Q4794981,Arnold Brown,Brown,A.,"Brown, A.",,,,,,,,,1894.0,1960.0,,,http://www.wikidata.org/wiki/Q4794981,,,,,,http://adb.anu.edu.au/biography/brown-arnold-9597
820,"Brown, A.",1112,1918.0,2017.0,99.0,"Brown, A.","Brown, A.",1.0,5.0,http://www.wikidata.org/entity/Q21535256,Alexander Brown,Brown,A.,"Brown, A.",,120483462,,,,,,,1827.0,1877.0,,,http://www.wikidata.org/wiki/Q21535256,,,,,,http://adb.anu.edu.au/biography/brown-alexander-3327
846,"Cooper, W.",1056,1963.0,2018.0,55.0,"Cooper, W.","Cooper, W.",1.0,5.0,http://www.wikidata.org/entity/Q18534967,William Cooper,Cooper,W.,"Cooper, W.",,1513922,0000 0000 6130 2142,,,,,,1816.0,1886.0,,,http://www.wikidata.org/wiki/Q18534967,,,,,,
847,"Cooper, W.",1056,1963.0,2018.0,55.0,"Cooper, W.","Cooper, W.",1.0,5.0,http://www.wikidata.org/entity/Q3078870,William Cooper,Cooper,W.,"Cooper, W.",,56498182,0000 0000 5961 5609,43051.0,20016942-1,W.Cooper,,,1798.0,1864.0,,,http://www.wikidata.org/wiki/Q3078870,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=43051,https://www.ipni.org/a/20016942-1,,,
848,"Cooper, W.",1056,1963.0,2018.0,55.0,"Cooper, W.","Cooper, W.",1.0,5.0,http://www.wikidata.org/entity/Q2578317,William Cooper,Cooper,W.,"Cooper, W.",,37833650,0000 0000 4634 300X,,,,,,1861.0,1941.0,,,http://www.wikidata.org/wiki/Q2578317,,,,,,http://adb.anu.edu.au/biography/cooper-william-5773
849,"Cooper, W.",1056,1963.0,2018.0,55.0,"Cooper, W.","Cooper, W.",1.0,5.0,http://www.wikidata.org/entity/Q7964592,Walter Cooper,Cooper,W.,"Cooper, W.",,108144648619033339451,,,,,,,1888.0,1973.0,,,http://www.wikidata.org/wiki/Q7964592,,,,,,http://adb.anu.edu.au/biography/cooper-sir-walter-jackson-9822
850,"Cooper, W.",1056,1963.0,2018.0,55.0,"Cooper, W.","Cooper, W.",1.0,5.0,http://www.wikidata.org/entity/Q20810692,Walter Cooper,Cooper,W.,"Cooper, W.",,55442913,0000 0000 6340 5110,,,,,,1842.0,1880.0,,,http://www.wikidata.org/wiki/Q20810692,,,,,,http://adb.anu.edu.au/biography/cooper-walter-hampson-3255
391,"Taylor, J.",2667,1916.0,2009.0,93.0,"Taylor, J.","Taylor, J.",1.0,6.0,http://www.wikidata.org/entity/Q540244,John Taylor,Taylor,J.,"Taylor, J.",,16173474,0000 0000 2627 0931,,,,,,1808.0,1887.0,,,http://www.wikidata.org/wiki/Q540244,,,,,,
392,"Taylor, J.",2667,1916.0,2009.0,93.0,"Taylor, J.","Taylor, J.",1.0,6.0,http://www.wikidata.org/entity/Q18576426,Jefferys Taylor,Taylor,J.,"Taylor, J.",,58167147,0000 0001 0976 5585,,,,,,1792.0,1853.0,,,http://www.wikidata.org/wiki/Q18576426,,,,,,
393,"Taylor, J.",2667,1916.0,2009.0,93.0,"Taylor, J.","Taylor, J.",1.0,6.0,http://www.wikidata.org/entity/Q21610317,Joseph Taylor,Taylor,J.,"Taylor, J.",,60486695,0000 0000 6353 8001,,10466-1,Jos.Taylor,,,,1844.0,,,http://www.wikidata.org/wiki/Q21610317,,,https://www.ipni.org/a/10466-1,,,
394,"Taylor, J.",2667,1916.0,2009.0,93.0,"Taylor, J.","Taylor, J.",1.0,6.0,http://www.wikidata.org/entity/Q21610307,Jane Taylor,Taylor,J.,"Taylor, J.",,,,,27573-1,J.Taylor,,,1924.0,,,,http://www.wikidata.org/wiki/Q21610307,,,https://www.ipni.org/a/27573-1,,,
395,"Taylor, J.",2667,1916.0,2009.0,93.0,"Taylor, J.","Taylor, J.",1.0,6.0,http://www.wikidata.org/entity/Q6198457,Jim Taylor,Taylor,J.,"Taylor, J.",,1634151595763505470000,,,,,,,1901.0,1987.0,,,http://www.wikidata.org/wiki/Q6198457,,,,,,http://adb.anu.edu.au/biography/taylor-james-lindsay-15678
396,"Taylor, J.",2667,1916.0,2009.0,93.0,"Taylor, J.","Taylor, J.",1.0,6.0,http://www.wikidata.org/entity/Q19668167,James Taylor,Taylor,J.,"Taylor, J.",,,,,,,,,1820.0,1895.0,,,http://www.wikidata.org/wiki/Q19668167,,,,,,http://adb.anu.edu.au/biography/taylor-james-4693
660,"Hunter, J.",1396,1921.0,2006.0,85.0,"Hunter, J.","Hunter, J.",1.0,6.0,http://www.wikidata.org/entity/Q505981,John Hunter,Hunter,J.,"Hunter, J.",,100368494,0000 0000 8346 1785,,,,,,1728.0,1793.0,,,http://www.wikidata.org/wiki/Q505981,,,,,,
661,"Hunter, J.",1396,1921.0,2006.0,85.0,"Hunter, J.","Hunter, J.",1.0,6.0,http://www.wikidata.org/entity/Q6284135,Joseph Hunter,Hunter,J.,"Hunter, J.",,30461695,0000 0000 8342 6429,,,,,,1783.0,1861.0,,,http://www.wikidata.org/wiki/Q6284135,,,,,,
662,"Hunter, J.",1396,1921.0,2006.0,85.0,"Hunter, J.","Hunter, J.",1.0,6.0,http://www.wikidata.org/entity/Q47119245,Joan Hunter,Hunter,J.,"Hunter, J.",,,,,20629-1,J.Hunter,,,,,,,http://www.wikidata.org/wiki/Q47119245,,,https://www.ipni.org/a/20629-1,,,
663,"Hunter, J.",1396,1921.0,2006.0,85.0,"Hunter, J.","Hunter, J.",1.0,6.0,http://www.wikidata.org/entity/Q1353724,John Hunter,Hunter,J.,"Hunter, J.",,107938810,0000 0000 8405 5666,,,,,P000510b,1737.0,1821.0,,,http://www.wikidata.org/wiki/Q1353724,,,,,http://www.eoas.info/biogs/P000510b,http://adb.anu.edu.au/biography/hunter-john-2213
664,"Hunter, J.",1396,1921.0,2006.0,85.0,"Hunter, J.","Hunter, J.",1.0,6.0,http://www.wikidata.org/entity/Q16006405,James Hunter,Hunter,J.,"Hunter, J.",,,,,,,,,1882.0,1968.0,,,http://www.wikidata.org/wiki/Q16006405,,,,,,http://adb.anu.edu.au/biography/hunter-james-aitchison-johnston-6770
665,"Hunter, J.",1396,1921.0,2006.0,85.0,"Hunter, J.","Hunter, J.",1.0,6.0,http://www.wikidata.org/entity/Q24033906,John Hunter,Hunter,J.,"Hunter, J.",,11679930,,,,,,,1820.0,1868.0,,,http://www.wikidata.org/wiki/Q24033906,,,,,,http://adb.anu.edu.au/biography/hunter-john-2214
1033,"Smith, T.",845,1900.0,2017.0,117.0,"Smith, T.","Smith, T.",1.0,6.0,http://www.wikidata.org/entity/Q427418,Theobald Smith,Smith,T.,"Smith, T.",,34851456,0000 0001 0887 2469,,,,,,1859.0,1934.0,,,http://www.wikidata.org/wiki/Q427418,,,,,,
1034,"Smith, T.",845,1900.0,2017.0,117.0,"Smith, T.","Smith, T.",1.0,6.0,http://www.wikidata.org/entity/Q21609138,Thomas Smith,Smith,T.,"Smith, T.",,,,72258,14162-1,T.Sm.,,,1857.0,1955.0,,,http://www.wikidata.org/wiki/Q21609138,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=72258,https://www.ipni.org/a/14162-1,,,
1035,"Smith, T.",845,1900.0,2017.0,117.0,"Smith, T.","Smith, T.",1.0,6.0,http://www.wikidata.org/entity/Q36691726,Thierry Smith,Smith,T.,"Smith, T.",,,,,20017713-1,Thierry Sm.,,,,,,,http://www.wikidata.org/wiki/Q36691726,,,https://www.ipni.org/a/20017713-1,,,
1036,"Smith, T.",845,1900.0,2017.0,117.0,"Smith, T.","Smith, T.",1.0,6.0,http://www.wikidata.org/entity/Q47126493,T. Smith,Smith,T.,"Smith, T.",,,,,40478-1,T.Sm.bis,,,,,,,http://www.wikidata.org/wiki/Q47126493,,,https://www.ipni.org/a/40478-1,,,
1037,"Smith, T.",845,1900.0,2017.0,117.0,"Smith, T.","Smith, T.",1.0,6.0,http://www.wikidata.org/entity/Q24044844,Thomas Smith,Smith,T.,"Smith, T.",,92964747,,,,,,,1829.0,1882.0,,,http://www.wikidata.org/wiki/Q24044844,,,,,,http://adb.anu.edu.au/biography/smith-thomas-4618
1038,"Smith, T.",845,1900.0,2017.0,117.0,"Smith, T.","Smith, T.",1.0,6.0,http://www.wikidata.org/entity/Q24239545,Thomas Smith,Smith,T.,"Smith, T.",,,,,,,,,1823.0,1900.0,,,http://www.wikidata.org/wiki/Q24239545,,,,,,http://adb.anu.edu.au/biography/smith-thomas-4617
1230,"Singh, G.",681,1973.0,1987.0,14.0,"Singh, G.","Singh, G.",1.0,6.0,http://www.wikidata.org/entity/Q19002166,Gurcharan Singh,Singh,G.,"Singh, G.",,68060258,,,9695-1,G.Singh,,,1945.0,,,,http://www.wikidata.org/wiki/Q19002166,,,https://www.ipni.org/a/9695-1,,,
1231,"Singh, G.",681,1973.0,1987.0,14.0,"Singh, G.","Singh, G.",1.0,6.0,http://www.wikidata.org/entity/Q47126288,Genda Singh,Singh,G.,"Singh, G.",,,,,20017916-1,Genda Singh,,,,,,,http://www.wikidata.org/wiki/Q47126288,,,https://www.ipni.org/a/20017916-1,,,
1232,"Singh, G.",681,1973.0,1987.0,14.0,"Singh, G.","Singh, G.",1.0,6.0,http://www.wikidata.org/entity/Q88826577,Gurgeet Singh,Singh,G.,"Singh, G.",,,,,20035376-1,Gurg.Singh,,,,,,,http://www.wikidata.org/wiki/Q88826577,,,https://www.ipni.org/a/20035376-1,,,
1233,"Singh, G.",681,1973.0,1987.0,14.0,"Singh, G.","Singh, G.",1.0,6.0,http://www.wikidata.org/entity/Q88826563,Gajendra Singh,Singh,G.,"Singh, G.",,,,,20042846-1,Gaj.Singh,,,,,,,http://www.wikidata.org/wiki/Q88826563,,,https://www.ipni.org/a/20042846-1,,,
1234,"Singh, G.",681,1973.0,1987.0,14.0,"Singh, G.","Singh, G.",1.0,6.0,http://www.wikidata.org/entity/Q88826570,Gargi Singh,Singh,G.,"Singh, G.",,,,,20035515-1,Gargi Singh,,,,,,,http://www.wikidata.org/wiki/Q88826570,,,https://www.ipni.org/a/20035515-1,,,
1235,"Singh, G.",681,1973.0,1987.0,14.0,"Singh, G.","Singh, G.",1.0,6.0,http://www.wikidata.org/entity/Q42638614,Garima Singh,Singh,G.,"Singh, G.",0000-0003-3753-5431,121887418,,,,,,,,,,,http://www.wikidata.org/wiki/Q42638614,https://orcid.org/0000-0003-3753-5431,,,,,
1011,"Young, A.",867,1909.0,2007.0,98.0,"Young, A.","Young, A.",1.0,7.0,http://www.wikidata.org/entity/Q561670,Arthur Young,Young,A.,"Young, A.",,17231195,0000 0001 2122 2428,,,,,,1741.0,1820.0,,,http://www.wikidata.org/wiki/Q561670,,,,,,
1012,"Young, A.",867,1909.0,2007.0,98.0,"Young, A.","Young, A.",1.0,7.0,http://www.wikidata.org/entity/Q770669,Augustus Young,Young,A.,"Young, A.",,58957234,0000 0000 4959 8884,,,,,,1784.0,1857.0,,,http://www.wikidata.org/wiki/Q770669,,,,,,
1013,"Young, A.",867,1909.0,2007.0,98.0,"Young, A.","Young, A.",1.0,7.0,http://www.wikidata.org/entity/Q4758995,Andrew Young,Young,A.,"Young, A.",,17232073,0000 0001 0855 5527,,,,,,1885.0,1971.0,,,http://www.wikidata.org/wiki/Q4758995,,,,,,
1014,"Young, A.",867,1909.0,2007.0,98.0,"Young, A.","Young, A.",1.0,7.0,http://www.wikidata.org/entity/Q21404524,Aaron Young,Young,A.,"Young, A.",,70849556,0000 0000 3680 9873,21378.0,11945-1,A.Young,,,1819.0,1898.0,,,http://www.wikidata.org/wiki/Q21404524,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=21378,https://www.ipni.org/a/11945-1,,,
1015,"Young, A.",867,1909.0,2007.0,98.0,"Young, A.","Young, A.",1.0,7.0,http://www.wikidata.org/entity/Q23071063,Alexander Young,Young,A.,"Young, A.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q23071063,,,,,,
1016,"Young, A.",867,1909.0,2007.0,98.0,"Young, A.","Young, A.",1.0,7.0,http://www.wikidata.org/entity/Q25711264,Andy Young,Young,A.,"Young, A.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q25711264,,,,,,
1017,"Young, A.",867,1909.0,2007.0,98.0,"Young, A.","Young, A.",1.0,7.0,http://www.wikidata.org/entity/Q47129414,Adrian Young,Young,A.,"Young, A.",,,,,37180-1,Adr.Young,,,,,,,http://www.wikidata.org/wiki/Q47129414,,,https://www.ipni.org/a/37180-1,,,
174,"Beauglehole, A.",5566,1940.0,1996.0,56.0,"Beauglehole, A.","Beauglehole, A.C.",0.957,1.0,http://www.wikidata.org/entity/Q16744919,Alexander Clifford Beauglehole,Beauglehole,A.C.,"Beauglehole, A.C.",,,,,,,Q16744919,P000214b,1920.0,2002.0,,,http://www.wikidata.org/wiki/Q16744919,,,,https://bloodhound-tracker.net/Q16744919,http://www.eoas.info/biogs/P000214b,
735,"Beuzeville, W.A.W. de",1254,1915.0,1981.0,66.0,"Beuzeville, W.A.W. de","Beuzeville, W.A.W.d.",0.955,1.0,http://www.wikidata.org/entity/Q5643145,Wilfred Alexander Watt de Beuzeville,Beuzeville,W.A.W.d.,"Beuzeville, W.A.W.d.",,,,39731.0,750-1,Beuzev.,,P001006b,1884.0,1954.0,,,http://www.wikidata.org/wiki/Q5643145,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=39731,https://www.ipni.org/a/750-1,,http://www.eoas.info/biogs/P001006b,http://adb.anu.edu.au/biography/de-beuzeville-wilfred-alexander-5936
459,"Rozefelds, A.C.",2159,1964.0,2010.0,46.0,"Rozefelds, A.C.","Rozefelds, A.C.F.",0.954,1.0,http://www.wikidata.org/entity/Q21607500,Andrew Carl Frank Rozefelds,Rozefelds,A.C.F.,"Rozefelds, A.C.F.",,,,81735,39524-1,Rozefelds,,,1960.0,,,,http://www.wikidata.org/wiki/Q21607500,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=81735,https://www.ipni.org/a/39524-1,,,
406,"McGillivray, D.J.",2595,1847.0,1987.0,140.0,"McGillivray, D.J.","McGillivray, D.",0.951,2.0,http://www.wikidata.org/entity/Q3036069,Donald McGillivray,McGillivray,D.,"McGillivray, D.",,50906746,0000 0000 8231 1224,71175.0,5918-1,McGill.,,P005561b,1935.0,2012.0,,,http://www.wikidata.org/wiki/Q3036069,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=71175,https://www.ipni.org/a/5918-1,,http://www.eoas.info/biogs/P005561b,
407,"McGillivray, D.J.",2595,1847.0,1987.0,140.0,"McGillivray, D.J.","McGillivray, D.",0.951,2.0,http://www.wikidata.org/entity/Q21536843,Donald McGillivray,McGillivray,D.,"McGillivray, D.",,,,,,,,,1855.0,1921.0,,,http://www.wikidata.org/wiki/Q21536843,,,,,,http://adb.anu.edu.au/biography/mcgillivray-donald-13065
296,"Maconochie, J.R.",3448,1919.0,1983.0,64.0,"Maconochie, J.R.","Maconochie, J.",0.948,1.0,http://www.wikidata.org/entity/Q21339335,John Maconochie,Maconochie,J.,"Maconochie, J.",,277812553,,70076,5956-1,Maconochie,Q21339335,P005676b,1941.0,1984.0,,,http://www.wikidata.org/wiki/Q21339335,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70076,https://www.ipni.org/a/5956-1,https://bloodhound-tracker.net/Q21339335,http://www.eoas.info/biogs/P005676b,
757,"Ratkowsky, D.A.",1227,1972.0,2015.0,43.0,"Ratkowsky, D.A.","Ratkowsky, D.(.).",0.944,1.0,http://www.wikidata.org/entity/Q88847216,David (A.) Ratkowsky,Ratkowsky,D.(.).,"Ratkowsky, D.(.).",,,,,20039130-1,Ratkowsky,,,,,,,http://www.wikidata.org/wiki/Q88847216,,,https://www.ipni.org/a/20039130-1,,,
471,"Hnatiuk, R.J.",2087,1917.0,1989.0,72.0,"Hnatiuk, R.J.","Hnatiuk, R.",0.943,1.0,http://www.wikidata.org/entity/Q7358344,Roger Hnatiuk,Hnatiuk,R.,"Hnatiuk, R.",,93297463,0000 0000 6738 744X,60509,31944-1,Hnatiuk,,,1946.0,,,,http://www.wikidata.org/wiki/Q7358344,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60509,https://www.ipni.org/a/31944-1,,,
206,"Hislop, M.",4688,1993.0,2019.0,26.0,"Hislop, M.","Hislop, M.C.",0.942,1.0,http://www.wikidata.org/entity/Q21515864,Michael Clyde Hislop,Hislop,M.C.,"Hislop, M.C.",,,,,40061-1,Hislop,,,1955.0,,,,http://www.wikidata.org/wiki/Q21515864,,,https://www.ipni.org/a/40061-1,,,
984,"Sherwood, M.",899,1970.0,1997.0,27.0,"Sherwood, M.","Sherwood, M.A.",0.942,1.0,http://www.wikidata.org/entity/Q21340074,Martha Allen Sherwood,Sherwood,M.A.,"Sherwood, M.A.",,,,2280,26646-1,Sherwood,,,1950.0,,,,http://www.wikidata.org/wiki/Q21340074,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2280,https://www.ipni.org/a/26646-1,,,
38,"Telford, I.R.",16539,1909.0,2018.0,109.0,"Telford, I.R.","Telford, I.R.H.",0.941,1.0,http://www.wikidata.org/entity/Q19521871,Ian R.H. Telford,Telford,I.R.H.,"Telford, I.R.H.",,,,,27598-1,I.Telford,,,1941.0,,,,http://www.wikidata.org/wiki/Q19521871,,,https://www.ipni.org/a/27598-1,,,
40,"Chippendale, G.",15753,1900.0,1998.0,98.0,"Chippendale, G.","Chippendale, G.M.",0.94,1.0,http://www.wikidata.org/entity/Q5537873,George McCartney Chippendale,Chippendale,G.M.,"Chippendale, G.M.",,8631458,0000 0000 8423 5309,18250.0,1601-1,Chippend.,Q5537873,P005133b,1921.0,2010.0,,,http://www.wikidata.org/wiki/Q5537873,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=18250,https://www.ipni.org/a/1601-1,https://bloodhound-tracker.net/Q5537873,http://www.eoas.info/biogs/P005133b,
845,"Fryxell, P.A.",1059,1983.0,1993.0,10.0,"Fryxell, P.A.","Fryxell, P.",0.939,1.0,http://www.wikidata.org/entity/Q7150752,Paul Fryxell,Fryxell,P.,"Fryxell, P.",,30852899,0000 0000 6723 0784,30331,2942-1,Fryxell,,,1927.0,2011.0,,,http://www.wikidata.org/wiki/Q7150752,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=30331,https://www.ipni.org/a/2942-1,,,
595,"Huisman, J.",1553,1979.0,2015.0,36.0,"Huisman, J.","Huisman, J.M.",0.938,1.0,http://www.wikidata.org/entity/Q21516642,John Marinus Huisman,Huisman,J.M.,"Huisman, J.M.",,,,,14743-1,Huisman,,,1958.0,,,,http://www.wikidata.org/wiki/Q21516642,,,https://www.ipni.org/a/14743-1,,,
687,"McAuliffe, J.",1355,1910.0,2019.0,109.0,"McAuliffe, J.","McAuliffe, R.",0.938,1.0,http://www.wikidata.org/entity/Q7364132,Ron McAuliffe,McAuliffe,R.,"McAuliffe, R.",,91416056,,,,,,,1918.0,1988.0,,,http://www.wikidata.org/wiki/Q7364132,,,,,,http://adb.anu.edu.au/biography/mcauliffe-ronald-edward-15050
309,"Cooper, W. | Cooper, W.",3230,1989.0,2006.0,17.0,"Cooper, W. | Cooper, W.","Cooper, W.",0.938,5.0,http://www.wikidata.org/entity/Q18534967,William Cooper,Cooper,W.,"Cooper, W.",,1513922,0000 0000 6130 2142,,,,,,1816.0,1886.0,,,http://www.wikidata.org/wiki/Q18534967,,,,,,
310,"Cooper, W. | Cooper, W.",3230,1989.0,2006.0,17.0,"Cooper, W. | Cooper, W.","Cooper, W.",0.938,5.0,http://www.wikidata.org/entity/Q3078870,William Cooper,Cooper,W.,"Cooper, W.",,56498182,0000 0000 5961 5609,43051.0,20016942-1,W.Cooper,,,1798.0,1864.0,,,http://www.wikidata.org/wiki/Q3078870,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=43051,https://www.ipni.org/a/20016942-1,,,
311,"Cooper, W. | Cooper, W.",3230,1989.0,2006.0,17.0,"Cooper, W. | Cooper, W.","Cooper, W.",0.938,5.0,http://www.wikidata.org/entity/Q2578317,William Cooper,Cooper,W.,"Cooper, W.",,37833650,0000 0000 4634 300X,,,,,,1861.0,1941.0,,,http://www.wikidata.org/wiki/Q2578317,,,,,,http://adb.anu.edu.au/biography/cooper-william-5773
312,"Cooper, W. | Cooper, W.",3230,1989.0,2006.0,17.0,"Cooper, W. | Cooper, W.","Cooper, W.",0.938,5.0,http://www.wikidata.org/entity/Q7964592,Walter Cooper,Cooper,W.,"Cooper, W.",,108144648619033339451,,,,,,,1888.0,1973.0,,,http://www.wikidata.org/wiki/Q7964592,,,,,,http://adb.anu.edu.au/biography/cooper-sir-walter-jackson-9822
313,"Cooper, W. | Cooper, W.",3230,1989.0,2006.0,17.0,"Cooper, W. | Cooper, W.","Cooper, W.",0.938,5.0,http://www.wikidata.org/entity/Q20810692,Walter Cooper,Cooper,W.,"Cooper, W.",,55442913,0000 0000 6340 5110,,,,,,1842.0,1880.0,,,http://www.wikidata.org/wiki/Q20810692,,,,,,http://adb.anu.edu.au/biography/cooper-walter-hampson-3255
32,"Crisp, M.D.",17661,1876.0,2018.0,142.0,"Crisp, M.D.","Crisp, M.",0.936,1.0,http://www.wikidata.org/entity/Q4241213,Michael Crisp,Crisp,M.,"Crisp, M.",,,,9609.0,12123-1,Crisp,,,1950.0,,,,http://www.wikidata.org/wiki/Q4241213,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=9609,https://www.ipni.org/a/12123-1,,,
880,"Bishop, A.D.",1029,1973.0,1995.0,22.0,"Bishop, A.D.","Bishop, A.",0.936,1.0,http://www.wikidata.org/entity/Q4766275,Ann Bishop,Bishop,A.,"Bishop, A.",,,,,32445-1,A.Bishop,,,1899.0,1990.0,,,http://www.wikidata.org/wiki/Q4766275,,,https://www.ipni.org/a/32445-1,,,
173,"Dunlop, C.R.",5572,1962.0,1999.0,37.0,"Dunlop, C.R.","Dunlop, C.",0.935,1.0,http://www.wikidata.org/entity/Q13420116,Clyde Dunlop,Dunlop,C.,"Dunlop, C.",,279666372,,69477,13280-1,Dunlop,,P005245b,1946.0,,,,http://www.wikidata.org/wiki/Q13420116,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69477,https://www.ipni.org/a/13280-1,,http://www.eoas.info/biogs/P005245b,
358,"Grimshaw, P.",2819,1974.0,2015.0,41.0,"Grimshaw, P.","Grimshaw, P.H.",0.933,1.0,http://www.wikidata.org/entity/Q7167378,Percy Hall Grimshaw,Grimshaw,P.H.,"Grimshaw, P.H.",,86348617,0000 0000 5902 3320,,,,,,1869.0,1939.0,,,http://www.wikidata.org/wiki/Q7167378,,,,,,
266,"Seppelt, R.D.",3820,1966.0,2018.0,52.0,"Seppelt, R.D.","Seppelt, R.",0.931,1.0,http://www.wikidata.org/entity/Q21340338,Rod Seppelt,Seppelt,R.,"Seppelt, R.",,33604287,0000 0001 1948 2618,93461,26520-1,Seppelt,,P005697b,1945.0,,,,http://www.wikidata.org/wiki/Q21340338,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93461,https://www.ipni.org/a/26520-1,,http://www.eoas.info/biogs/P005697b,
631,"Macfarlane, T.D.",1447,1973.0,2018.0,45.0,"Macfarlane, T.D.","Macfarlane, T.",0.931,1.0,http://www.wikidata.org/entity/Q5665130,Terry Macfarlane,Macfarlane,T.,"Macfarlane, T.",,,,,13340-1,T.D.Macfarl.,,,1953.0,,,,http://www.wikidata.org/wiki/Q5665130,,,https://www.ipni.org/a/13340-1,,,
644,"McPherson, H.",1420,2000.0,2015.0,15.0,"McPherson, H.","McPherson, J.",0.931,1.0,http://www.wikidata.org/entity/Q6248253,John McPherson,McPherson,J.,"McPherson, J.",,,,,,,,,1860.0,1897.0,,,http://www.wikidata.org/wiki/Q6248253,,,,,,http://adb.anu.edu.au/biography/mcpherson-john-abel-7438
742,"Armstrong, P.",1248,1913.0,2019.0,106.0,"Armstrong, P.","Armstrong, P.A.",0.931,1.0,http://www.wikidata.org/entity/Q47113189,P.A. Armstrong,Armstrong,P.A.,"Armstrong, P.A.",,,,,30973-1,P.A.Armstr.,,,,,,,http://www.wikidata.org/wiki/Q47113189,,,https://www.ipni.org/a/30973-1,,,
969,"Metcalfe, P.",915,1961.0,2005.0,44.0,"Metcalfe, P.","Metcalfe, J.",0.931,1.0,http://www.wikidata.org/entity/Q17403661,John Metcalfe,Metcalfe,J.,"Metcalfe, J.",,112017076,0000 0000 8409 2627,,,,,,1901.0,1982.0,,,http://www.wikidata.org/wiki/Q17403661,,,,,,http://adb.anu.edu.au/biography/metcalfe-john-wallace-14971
271,"Edyvane, K.",3771,1959.0,1995.0,36.0,"Edyvane, K.","Edyvane, K.S.",0.93,1.0,http://www.wikidata.org/entity/Q36604147,Karen Susan Edyvane,Edyvane,K.S.,"Edyvane, K.S.",,,,103186,20001425-1,Edyvane,,,,,,,http://www.wikidata.org/wiki/Q36604147,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=103186,https://www.ipni.org/a/20001425-1,,,
322,"O'Sullivan, W.",3105,1988.0,2012.0,24.0,"O'Sullivan, W.","O'Sullivan, M.",0.93,1.0,http://www.wikidata.org/entity/Q21536757,Michael O'Sullivan,O'Sullivan,M.,"O'Sullivan, M.",,,,,,,,,1866.0,1950.0,,,http://www.wikidata.org/wiki/Q21536757,,,,,,http://adb.anu.edu.au/biography/osullivan-michael-11319
553,"McIntyre, S.",1771,1982.0,2012.0,30.0,"McIntyre, S.","McIntyre, J.",0.928,1.0,http://www.wikidata.org/entity/Q6247937,John McIntyre,McIntyre,J.,"McIntyre, J.",,,,,,,,,1832.0,1904.0,,,http://www.wikidata.org/wiki/Q6247937,,,,,,http://adb.anu.edu.au/biography/mcintyre-sir-john-4102
17,"Phillips, M.E.",25427,1902.0,1995.0,93.0,"Phillips, M.E.","Phillips, M.",0.927,1.0,http://www.wikidata.org/entity/Q6765333,Marion Phillips,Phillips,M.,"Phillips, M.",,252652212,0000 0003 7578 4287,,,,,,1881.0,1932.0,,,http://www.wikidata.org/wiki/Q6765333,,,,,,http://adb.anu.edu.au/biography/phillips-marion-8036
92,"Chinnock, R.J.",10140,1957.0,2018.0,61.0,"Chinnock, R.J.","Chinnock, R.",0.927,1.0,http://www.wikidata.org/entity/Q22958786,Robert Chinnock,Chinnock,R.,"Chinnock, R.",,55774522,0000 0001 1647 3804,70796,1598-1,Chinnock,,,1943.0,,,,http://www.wikidata.org/wiki/Q22958786,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70796,https://www.ipni.org/a/1598-1,,,
