,label,count,start_date,end_date,activity_span,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
959,"Paterson, B.R.",926,1950.0,1968.0,18.0,"Paterson, B.R.","Paterson, B.R.",1.0,1.0,http://www.wikidata.org/entity/Q21522679,Betsy Rivers Paterson,Paterson,B.R.,"Paterson, B.R.",,,,,7382-1,B.R.Paterson,,,1935.0,,,,http://www.wikidata.org/wiki/Q21522679,,,https://www.ipni.org/a/7382-1,,,
966,"Fox, M.",922,1977.0,1997.0,20.0,"Fox, M.","Fox, M.",1.0,1.0,http://www.wikidata.org/entity/Q47117378,Margaret Fox,Fox,M.,"Fox, M.",,,,,33140-1,M.Fox,,,,,,,http://www.wikidata.org/wiki/Q47117378,,,https://www.ipni.org/a/33140-1,,,
970,"Cassis, G.",914,1996.0,2009.0,13.0,"Cassis, G.","Cassis, G.",1.0,1.0,http://www.wikidata.org/entity/Q21340560,Gerasimos Cassis,Cassis,G.,"Cassis, G.",0000-0003-0519-664X,233236554,,,,,,,,,,,http://www.wikidata.org/wiki/Q21340560,https://orcid.org/0000-0003-0519-664X,,,,,
971,"Davies, R.",914,1928.0,2012.0,84.0,"Davies, R.","Davies, R.",1.0,1.0,http://www.wikidata.org/entity/Q18559854,Robert Davies,Davies,R.,"Davies, R.",,143487835,0000 0000 9706 5783,,,,,,1685.0,1728.0,,,http://www.wikidata.org/wiki/Q18559854,,,,,,
973,"Burbidge, A.H.",913,1875.0,1998.0,123.0,"Burbidge, A.H.","Burbidge, A.H.",1.0,1.0,http://www.wikidata.org/entity/Q26714607,Allan H. Burbidge,Burbidge,A.H.,"Burbidge, A.H.",,,,,38849-1,A.H.Burb.,,,,,,,http://www.wikidata.org/wiki/Q26714607,,,https://www.ipni.org/a/38849-1,,,
974,"Tryon, H.",913,1882.0,1983.0,101.0,"Tryon, H.","Tryon, H.",1.0,1.0,http://www.wikidata.org/entity/Q2882827,Henry Tryon,Tryon,H.,"Tryon, H.",,316745430,,35691.0,10865-1,Tryon,,P000842b,1856.0,1943.0,,,http://www.wikidata.org/wiki/Q2882827,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=35691,https://www.ipni.org/a/10865-1,,http://www.eoas.info/biogs/P000842b,http://adb.anu.edu.au/biography/tryon-henry-8864
975,"Rich, M.",911,2008.0,2011.0,3.0,"Rich, M.","Rich, M.",1.0,1.0,http://www.wikidata.org/entity/Q21607176,Mark Rich,Rich,M.,"Rich, M.",,,,,30147-1,M.Rich,,,1932.0,,,,http://www.wikidata.org/wiki/Q21607176,,,https://www.ipni.org/a/30147-1,,,
976,"Johnson, S.",902,1872.0,2015.0,143.0,"Johnson, S.","Johnson, S.",1.0,1.0,http://www.wikidata.org/entity/Q22113504,Scott Johnson,Johnson,S.,"Johnson, S.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22113504,,,,,,
980,"Weber, W.A.",901,1964.0,1987.0,23.0,"Weber, W.A.","Weber, W.A.",1.0,1.0,http://www.wikidata.org/entity/Q4105706,William Alfred Weber,Weber,W.A.,"Weber, W.A.",,266617358,0000 0000 8407 4218,93988.0,11471-1,W.A.Weber,,,1918.0,2020.0,,,http://www.wikidata.org/wiki/Q4105706,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93988,https://www.ipni.org/a/11471-1,,,
985,"Weindorfer, G.",899,1891.0,1942.0,51.0,"Weindorfer, G.","Weindorfer, G.",1.0,1.0,http://www.wikidata.org/entity/Q5621250,Gustav Weindorfer,Weindorfer,G.,"Weindorfer, G.",,41061291,0000 0000 3574 3120,,,,,P000880b,1874.0,1932.0,,,http://www.wikidata.org/wiki/Q5621250,,,,,http://www.eoas.info/biogs/P000880b,http://adb.anu.edu.au/biography/weindorfer-gustav-9038
