,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye
4560,O009,Orr,Orr,,,Orr,Orr,"Orr, M.",0.47,1,http://www.wikidata.org/entity/Q22107355,Michael Orr,Orr,M.,"Orr, M.",,,,,,,,,,,,
4561,LEBRA,Lebrun A.,Lebrun,André,,"Lebrun, A.","Lebrun, A.","Lebrun, J.",0.47,1,http://www.wikidata.org/entity/Q21518496,Jean-Pierre Lebrun,Lebrun,J.,"Lebrun, J.",,,,,12194-1,J.-P.Lebrun,,,1932.0,,,
4562,GRWO,Greenwood E.,Greenwood,E.,,"Greenwood, E.","Greenwood, E.","Greenwood, E.W.",0.47,1,http://www.wikidata.org/entity/Q21514255,Edward Warren Greenwood,Greenwood,E.W.,"Greenwood, E.W.",,,,32276,19603-1,E.W.Greenw.,,,1918.0,2002.0,,
4563,KERS,Kersting,Kersting,,,Kersting,Kersting,"Kersting, F.",0.47,1,http://www.wikidata.org/entity/Q55059382,Franz Kersting,Kersting,F.,"Kersting, F.",,,,,,,,,1913.0,1971.0,,
4564,FAIN1,Fain,Fain,,,Fain,Fain,"Fain, A.",0.47,2,http://www.wikidata.org/entity/Q21340631,Alex Fain,Fain,A.,"Fain, A.",,44298517,0000 0000 5787 5095,,,,,,1912.0,2009.0,,
4565,FAIN1,Fain,Fain,,,Fain,Fain,"Fain, A.",0.47,2,http://www.wikidata.org/entity/Q22106781,Alexander Fain,Fain,A.,"Fain, A.",,,,,,,,,,,,
4566,BRNAD,Brongniart A.T.,Brongniart,Adolphe,Theodore,"Brongniart, A.T.","Brongniart, A.T.","Brongniart, A.",0.47,2,http://www.wikidata.org/entity/Q442937,Alexandre Brongniart,Brongniart,A.,"Brongniart, A.",,70828,0000 0001 1436 2676,75996.0,1172-1,Al.Brongn.,,,1770.0,1847.0,,
4567,BRNAD,Brongniart A.T.,Brongniart,Adolphe,Theodore,"Brongniart, A.T.","Brongniart, A.T.","Brongniart, A.",0.47,2,http://www.wikidata.org/entity/Q73990,Adolphe-Théodore Brongniart,Brongniart,A.,"Brongniart, A.",,56679029,0000 0000 8135 4943,426.0,16574-1,Brongn.,,P006327b,1801.0,1876.0,,
4568,SVENJ,Svendsen Jette,Svendsen,Jette,,"Svendsen, J.","Svendsen, J.","Svendsen, P.",0.47,2,http://www.wikidata.org/entity/Q47127003,Per Svendsen,Svendsen,P.,"Svendsen, P.",,,,77689,30562-1,Svendsen,,,,,,
4569,SVENJ,Svendsen Jette,Svendsen,Jette,,"Svendsen, J.","Svendsen, J.","Svendsen, P.",0.47,2,http://www.wikidata.org/entity/Q22107981,Poul Svendsen,Svendsen,P.,"Svendsen, P.",,,,,,,,,,,,
4570,M2563,McFarlane,McFarlane,,,McFarlane,McFarlane,"McFarlane, A.G.",0.47,2,http://www.wikidata.org/entity/Q55066491,Alexander Grant McFarlane,McFarlane,A.G.,"McFarlane, A.G.",,,,,,,,,1899.0,1992.0,,
4571,M2563,McFarlane,McFarlane,,,McFarlane,McFarlane,"McFarlane, A.G.",0.47,2,http://www.wikidata.org/entity/Q21388864,Alex G. McFarlane,McFarlane,A.G.,"McFarlane, A.G.",,,,,,,,,,,,
4572,L007,Libert M.A.,Libert,Marie,Anne,"Libert, M.A.","Libert, M.A.","Libert, M.",0.47,2,http://www.wikidata.org/entity/Q470036,Marie-Anne Libert,Libert,M.,"Libert, M.",,91177083,0000 0000 6555 6705,960.0,5561-1,Lib.,Q470036,,1782.0,1865.0,,
4573,L007,Libert M.A.,Libert,Marie,Anne,"Libert, M.A.","Libert, M.A.","Libert, M.",0.47,2,http://www.wikidata.org/entity/Q21338208,Michel Libert,Libert,M.,"Libert, M.",,306353018,0000 0000 3425 4114,,,,,,1945.0,,,
4574,CERN1,Cernohorsky,Cernohorsky,,,Cernohorsky,Cernohorsky,"Cernohorsky, W.O.",0.48,1,http://www.wikidata.org/entity/Q21339833,Walter Olivier Cernohorsky,Cernohorsky,W.O.,"Cernohorsky, W.O.",,40840578,0000 0000 8444 1524,,,,Q21339833,,1927.0,2014.0,,
4575,STOR1,Story,Story,,,Story,Story,"Story, R.",0.48,1,http://www.wikidata.org/entity/Q18166629,Robert Story,Story,R.,"Story, R.",,306222201,0000 0004 2594 0306,,10190-1,Story,,,1913.0,1999.0,,
4576,RENI1,Renier,Renier,,,Renier,Renier,"Renier, L.",0.48,1,http://www.wikidata.org/entity/Q961496,Léon Renier,Renier,L.,"Renier, L.",,12432329,0000 0000 8076 3729,,,,,,1809.0,1885.0,,
4577,VERHINDE,Verheyen R.,Verheyen,René,,"Verheyen, R.","Verheyen, R.","Verheyen, E.",0.48,1,http://www.wikidata.org/entity/Q21393145,Erik Verheyen,Verheyen,E.,"Verheyen, E.",,,,,,,,,,,,
4578,RLMNT,Ralimanana N.,Ralimanana,Natalie,,"Ralimanana, N.","Ralimanana, N.","Ralimanana, H.",0.48,1,http://www.wikidata.org/entity/Q33690189,Hélene Ralimanana,Ralimanana,H.,"Ralimanana, H.",,,,,20018174-1,Ralim.,,,,,,
4579,JUNOH,Junod H.A.,Junod,Henri,Alexandre,"Junod, H.A.","Junod, H.A.","Junod, H.",0.48,1,http://www.wikidata.org/entity/Q125675,Henri-Alexandre Junod,Junod,H.,"Junod, H.",,51787337,0000 0000 8077 2983,25470.0,,,,,1863.0,1934.0,,
4580,S216,Spribille T.,Spribille,Toby,Christian,"Spribille, T.C.","Spribille, T.C.","Spribille, T.",0.48,1,http://www.wikidata.org/entity/Q21341277,Toby Spribille,Spribille,T.,"Spribille, T.",,24207412,0000 0000 4582 7053,,20011296-1,T.Sprib.,,,,,,
4581,M068,Mamet,Mamet,,,Mamet,Mamet,"Mamet, R.",0.48,1,http://www.wikidata.org/entity/Q3421025,Raymond Mamet,Mamet,R.,"Mamet, R.",,,,,,,,,1912.0,1996.0,,
4582,BLCEB,Blackburn E.B.,Blackburn,Edward,Berens,"Blackburn, E.B.","Blackburn, E.B.","Blackburn, E.",0.48,1,http://www.wikidata.org/entity/Q26321,Elizabeth Blackburn,Blackburn,E.,"Blackburn, E.",,8593551,0000 0000 7141 9248,,,,,P004176b,1948.0,,,
4583,S070,Seifert K.A.,Seifert,K.A.,,"Seifert, K.A.","Seifert, K.A.","Seifert, K.",0.48,1,http://www.wikidata.org/entity/Q21848470,Keith Seifert,Seifert,K.,"Seifert, K.",0000-0001-8877-4796,104663291,0000 0000 7623 0444,66427,26487-1,Seifert,,,1958.0,,,
4584,JACQJ1,Jacques J.,Jacques,Jos,,"Jacques, J.","Jacques, J.","Jacques, J.E.",0.48,1,http://www.wikidata.org/entity/Q21516868,Joseph Emile Jacques,Jacques,J.E.,"Jacques, J.E.",,,,,20833-1,J.E.Jacques,,,1908.0,,,
4585,S161,Smarods M.,Smarods,M.,,"Smarods, M.","Smarods, M.","Smarods, J.",0.48,1,http://www.wikidata.org/entity/Q21609044,Julius Smarods,Smarods,J.,"Smarods, J.",,305080012,0000 0004 1689 802X,2385,26900-1,Smarods,,,1884.0,1956.0,,
4586,SCHUA,Schumacker Albert,Schumacker,Albert,,"Schumacker, A.","Schumacker, A.","Schumacker, R.",0.48,1,http://www.wikidata.org/entity/Q21512059,René Schumacker,Schumacker,R.,"Schumacker, R.",,165603534,0000 0001 1722 1481,60366,15666-1,Schumacker,,,1937.0,2015.0,,
4587,PHILE1,Phillips E.,Phillips,Eleanor,,"Phillips, E.","Phillips, E.","Phillips, E.L.",0.48,1,http://www.wikidata.org/entity/Q3059265,Ethelbert Lort Phillips,Phillips,E.L.,"Phillips, E.L.",,,,,,,,,1857.0,1943.0,,
4588,HOLMB,Holmgren Björn,Holmgren,Björn,,"Holmgren, B.","Holmgren, B.","Holmgren, A.",0.48,1,http://www.wikidata.org/entity/Q4820735,August Holmgren,Holmgren,A.,"Holmgren, A.",,201584622,0000 0003 9816 5315,,,,,,1829.0,1888.0,,
4589,L456,Jean-Michel Lecron,Lecron,Jean-Michel,,"Lecron, J.","Lecron, J.","Lecron, J.M.",0.48,1,http://www.wikidata.org/entity/Q36593134,J.M. Lecron,Lecron,J.M.,"Lecron, J.M.",,,,67834,35447-1,Lecron,,,,,,
4590,HKKHL,Heikkilä H.,Heikkilä,Heli,,"Heikkilä, H.","Heikkilä, H.","Heikkilä, M.",0.48,1,http://www.wikidata.org/entity/Q29981710,Maria Heikkilä,Heikkilä,M.,"Heikkilä, M.",,,,,,,,,,,,
4591,BARBJ,Barbosa J.,Barbosa,José,,"Barbosa, J.","Barbosa, J.","Barbosa, J.C.",0.48,1,http://www.wikidata.org/entity/Q43833584,José Carlos Barbosa,Barbosa,J.C.,"Barbosa, J.C.",,,,,,,,,,,,
4592,VAND13,Vandevelde,Vandevelde,,,Vandevelde,Vandevelde,"Vandevelde, A.(.J.",0.48,1,http://www.wikidata.org/entity/Q21611453,Albert (Jacob Josef) Vandevelde,Vandevelde,A.(.J.,"Vandevelde, A.(.J.",,,,,12963-1,Vandev.,,,1871.0,,,
4593,B858,May Bradford,Bradford,May,,"Bradford, M.","Bradford, M.","Bradford, M.R.",0.48,1,http://www.wikidata.org/entity/Q36621236,Martin R. Bradford,Bradford,M.R.,"Bradford, M.R.",,6489146,0000 0000 3987 5593,,32521-1,M.R.Bradford,,,,,,
4594,C953,Calatayud V.,Calatayud,Vicent,,"Calatayud, V.","Calatayud, V.","Calatayud, V.L.",0.48,1,http://www.wikidata.org/entity/Q21387831,Vicent Lorente Calatayud,Calatayud,V.L.,"Calatayud, V.L.",,,,,39527-1,Calat.,,,1965.0,,,
4595,RISC,Risch,Risch,,,Risch,Risch,"Risch, J.",0.48,1,http://www.wikidata.org/entity/Q21340031,Jean-Paul Risch,Risch,J.,"Risch, J.",,,,,,,,,,,,
4596,HAENT,Haenke T.,Haenke,Thaddaeus,Peregrinus Xaverius,"Haenke, T.P.X.","Haenke, T.P.X.","Haenke, T.",0.48,1,http://www.wikidata.org/entity/Q79107,Thaddäus Haenke,Haenke,T.,"Haenke, T.",,41889609,0000 0000 8375 9135,45666.0,3535-1,Haenke,,,1761.0,1816.0,,
4597,KOZLW,Kozlowsky W.,Kozlowsky,W.,,"Kozlowsky, W.","Kozlowsky, W.","Kozlowsky, R.",0.48,1,http://www.wikidata.org/entity/Q21517868,Roman Kozlowsky,Kozlowsky,R.,"Kozlowsky, R.",,,,,21697-1,R.Kozlowsky,,,1899.0,,,
4598,BTYTM,Butynski T.,Butynski,Tom,,"Butynski, T.","Butynski, T.","Butynski, T.M.",0.48,1,http://www.wikidata.org/entity/Q21391587,Thomas M. Butynski,Butynski,T.M.,"Butynski, T.M.",,301206370,0000 0004 0848 6914,,,,,,1948.0,,,
4599,KORNF,Körnicke Fr.,Körnicke,Fr.,,"Körnicke, F.","Körnicke, F.","Körnicke, F.A.",0.48,1,http://www.wikidata.org/entity/Q74097,Friedrich August Körnicke,Körnicke,F.A.,"Körnicke, F.A.",,54507986,0000 0000 6667 6872,811.0,12622-1,Körn.,,,1828.0,1908.0,,
4600,LEGRJ,Legrain J.,Legrain,J.,,"Legrain, J.","Legrain, J.","Legrain, A.",0.48,1,http://www.wikidata.org/entity/Q21340760,Albert Legrain,Legrain,A.,"Legrain, A.",,,,,,,,,,,,
4601,MEEBA,Meebold A.,Meebold,Alfred,Karl,"Meebold, A.K.","Meebold, A.K.","Meebold, A.",0.48,1,http://www.wikidata.org/entity/Q96682,Alfred Meebold,Meebold,A.,"Meebold, A.",,102623050,0000 0000 7888 6287,30419.0,,,,,1863.0,1952.0,,
4602,PIER1,Pierrat,Pierrat,,,Pierrat,Pierrat,"Pierrat, D.",0.48,1,http://www.wikidata.org/entity/Q21523000,Dominique Pierrat,Pierrat,D.,"Pierrat, D.",,,,,7688-1,Pierrat,,,1820.0,1893.0,,
4603,GOET1,Goetghebuer,Goetghebuer,,,Goetghebuer,Goetghebuer,"Goetghebuer, M.E.M.",0.48,1,http://www.wikidata.org/entity/Q6793051,Maurice Emile Marie Goetghebuer,Goetghebuer,M.E.M.,"Goetghebuer, M.E.M.",,29596198,0000 0000 0179 9070,,,,,,1876.0,1962.0,,
4604,R124,Rosentreter R.,Rosentreter,Roger,Dale,"Rosentreter, R.D.","Rosentreter, R.D.","Rosentreter, R.",0.48,1,http://www.wikidata.org/entity/Q21339198,Roger Rosentreter,Rosentreter,R.,"Rosentreter, R.",,45773684,0000 0000 2904 7508,93466.0,37007-1,Rosentr.,,,1951.0,,,
4605,DAUB1,Dauber,Dauber,,,Dauber,Dauber,"Dauber, D.",0.48,1,http://www.wikidata.org/entity/Q21394002,Diethard Dauber,Dauber,D.,"Dauber, D.",,,,,,,,,,,,
4606,SCHE1,Schedl,Schedl,,,Schedl,Schedl,"Schedl, W.",0.48,1,http://www.wikidata.org/entity/Q1495219,Wolfgang Schedl,Schedl,W.,"Schedl, W.",,36996864,0000 0001 0888 2181,,,,,,1935.0,,,
4607,MCDAS,McDaniel S.,McDaniel,Sidney,,"McDaniel, S.","McDaniel, S.","McDaniel, S.T.",0.48,1,http://www.wikidata.org/entity/Q6127468,Sidney T. McDaniel,McDaniel,S.T.,"McDaniel, S.T.",,,,72250,12204-1,McDaniel,,,1940.0,,,
4608,FLORB,Florström B.,Florström,B.,,"Florström, B.","Florström, B.","Florström, B.L.",0.48,1,http://www.wikidata.org/entity/Q16498064,Bruno Leonard Florström,Florström,B.L.,"Florström, B.L.",,,,60202,12500-1,Florstr.,,,1879.0,1914.0,,
4609,G071,Gibbons M.S.,Gibbons,M.S.,,"Gibbons, M.S.","Gibbons, M.S.","Gibbons, M.",0.48,1,http://www.wikidata.org/entity/Q13426982,Martin Gibbons,Gibbons,M.,"Gibbons, M.",,,,,36697-1,Gibbons,,,,,,
4610,DECEJ,Decelle Jean,Decelle,Jean,,"Decelle, J.","Decelle, J.","Decelle, J.E.",0.48,1,http://www.wikidata.org/entity/Q28869247,Jean E. Decelle,Decelle,J.E.,"Decelle, J.E.",,,,,,,,,,,,
4611,DNGJM,Dingley J.M.,Dingley,J.M.,,"Dingley, J.M.","Dingley, J.M.","Dingley, J.",0.48,1,http://www.wikidata.org/entity/Q6205005,Joan Dingley,Dingley,J.,"Dingley, J.",,46464927,0000 0000 7877 4584,64297,18059-1,Dingley,Q6205005,,1916.0,2008.0,,
4612,VERVF,Vervoorst F.,Vervoorst,F.,,"Vervoorst, F.","Vervoorst, F.","Vervoorst, F.B.",0.48,1,http://www.wikidata.org/entity/Q18286714,Federico Bernardo Vervoorst,Vervoorst,F.B.,"Vervoorst, F.B.",,,,60799,14289-1,Verv.,,,1923.0,2008.0,,
4613,PIGNM,Pignal M.,Pignal,M.,,"Pignal, M.","Pignal, M.","Pignal, M.C.",0.48,1,http://www.wikidata.org/entity/Q36633612,M.C. Pignal,Pignal,M.C.,"Pignal, M.C.",,,,81748,24860-1,Pignal,,,,,,
4614,TROC1,Trochain J.L.,Trochain,J.L.,,"Trochain, J.L.","Trochain, J.L.","Trochain, J.",0.48,1,http://www.wikidata.org/entity/Q19002755,Jean-Louis Trochain,Trochain,J.,"Trochain, J.",,29624597,0000 0000 6632 6151,44982,10833-1,Troch.,,,1903.0,1976.0,,
4615,MABBD,Mabberley D.J.,Mabberley,David,John,"Mabberley, D.J.","Mabberley, D.J.","Mabberley, D.",0.48,1,http://www.wikidata.org/entity/Q5236979,David Mabberley,Mabberley,D.,"Mabberley, D.",,103117075,0000 0001 2146 067X,740.0,5881-1,Mabb.,,,1948.0,,,
4616,AUQUP,Auquier P.,Auquier,Paul,Henry Marius,"Auquier, P.H.M.","Auquier, P.H.M.","Auquier, P.H.",0.48,1,http://www.wikidata.org/entity/Q6067191,Paul Henri Auquier,Auquier,P.H.,"Auquier, P.H.",,280451352,,73440,336-1,Auquier,,,1939.0,1980.0,,
4617,PIZAJ,Pizarro J.,Pizarro,J.,,"Pizarro, J.","Pizarro, J.","Pizarro, J.J.",0.48,1,http://www.wikidata.org/entity/Q26713252,João Joachim Pizarro,Pizarro,J.J.,"Pizarro, J.J.",,,,,7736-1,Pizarro,,,,1887.0,,
4618,M220,McMillan C.,McMillan,Calvin,,"McMillan, C.","McMillan, C.","McMillan, A.",0.48,1,http://www.wikidata.org/entity/Q544550,Angus McMillan,McMillan,A.,"McMillan, A.",,68146533,,,,,,P001184b,1810.0,1865.0,,
4619,BARB01,Barbier J.,Barbier,J.,,"Barbier, J.","Barbier, J.","Barbier, J.A.",0.48,1,http://www.wikidata.org/entity/Q55909311,Joseph Athanase Barbier,Barbier,J.A.,"Barbier, J.A.",,59864738,,46361,,,,,1767.0,1846.0,,
4620,PLANJ,Planchon J.E.,Planchon,J.E.,,"Planchon, J.E.","Planchon, J.E.","Planchon, J.É.",0.48,1,http://www.wikidata.org/entity/Q1387276,Jules Émile Planchon,Planchon,J.É.,"Planchon, J.É.",,24640166,0000 0000 8365 1845,433.0,7738-1,Planch.,,,1823.0,1888.0,,
4621,DBR1,Drake-Brockman R.E.,Drake-Brockman,Ralph,Evelyn,"Drake-Brockman, R.E.","Drake-Brockman, R.E.","Drake-Brockman, G.",0.48,1,http://www.wikidata.org/entity/Q12789723,Geoffrey Drake-Brockman,Drake-Brockman,G.,"Drake-Brockman, G.",,,,,,,,P005493b,1885.0,1977.0,,
4622,S062,Saccas A.,Saccas,A.,,"Saccas, A.","Saccas, A.","Saccas, A.M.",0.48,1,http://www.wikidata.org/entity/Q36509687,Athanase Michel Saccas,Saccas,A.M.,"Saccas, A.M.",,,,80567,25965-1,Saccas,,,,,,
4623,PARMP,Parmentier P.,Parmentier,Paul,Evariste,"Parmentier, P.E.","Parmentier, P.E.","Parmentier, P.É.",0.48,1,http://www.wikidata.org/entity/Q3372549,Paul Évariste Parmentier,Parmentier,P.É.,"Parmentier, P.É.",,64747814,0000 0000 8592 435X,80846.0,7359-1,P.Parm.,,,1860.0,1941.0,,
4624,FERNJ,Fernandes Joseph,Fernandes,Joseph,,"Fernandes, J.","Fernandes, J.","Fernandes, J.M.",0.48,1,http://www.wikidata.org/entity/Q25443173,Juliana Morgado Fernandes,Fernandes,J.M.,"Fernandes, J.M.",,,,,,,,,,,,
4625,B257,Bryan,Bryan,,,Bryan,Bryan,"Bryan, K.",0.48,1,http://www.wikidata.org/entity/Q3652135,Kirk Bryan,Bryan,K.,"Bryan, K.",,61171518,0000 0003 7405 619X,,,,,,1888.0,1950.0,,
4626,BODEW,Bodenbender W.,Bodenbender,Wilhelm,,"Bodenbender, W.","Bodenbender, W.","Bodenbender, G.",0.48,1,http://www.wikidata.org/entity/Q9001303,Guillermo Bodenbender,Bodenbender,G.,"Bodenbender, G.",,7504815,0000 0000 0150 7250,35140,890-1,Bodenb.,,,1857.0,1941.0,,
4627,EBER1,Eberhardt,Eberhardt,,,Eberhardt,Eberhardt,"Eberhardt, P.A.",0.48,1,http://www.wikidata.org/entity/Q21511319,Philippe Albert Eberhardt,Eberhardt,P.A.,"Eberhardt, P.A.",,22462072,0000 0000 0484 8333,32670,18348-1,Eberh.,,,1874.0,1942.0,,
4628,GONZA,Gonzales A.,Gonzales,A.,,"Gonzales, A.","Gonzales, A.","Gonzales, J.",0.48,1,http://www.wikidata.org/entity/Q18985010,Jasivia Gonzales,Gonzales,J.,"Gonzales, J.",,,,,39037-1,J.Gonzales,,,,,,
4629,STEWS,Stewart Shelton,Stewart,Shelton,,"Stewart, S.","Stewart, S.","Stewart, S.A.",0.48,2,http://www.wikidata.org/entity/Q7410745,Samuel Alexander Stewart,Stewart,S.A.,"Stewart, S.A.",,272732684,0000 0003 8404 0992,5365.0,10141-1,S.Stewart,,,1826.0,1910.0,,
4630,STEWS,Stewart Shelton,Stewart,Shelton,,"Stewart, S.","Stewart, S.","Stewart, S.A.",0.48,2,http://www.wikidata.org/entity/Q50003012,Sarah A. Stewart,Stewart,S.A.,"Stewart, S.A.",0000-0002-9465-4042,,,,,,,,,,,
4631,S256,Stephenson W.,Stephenson,W.,,"Stephenson, W.","Stephenson, W.","Stephenson, J.",0.48,2,http://www.wikidata.org/entity/Q16062894,James Stephenson,Stephenson,J.,"Stephenson, J.",,66258506,0000 0000 6708 0659,,,,,,1808.0,1886.0,,
4632,S256,Stephenson W.,Stephenson,W.,,"Stephenson, W.","Stephenson, W.","Stephenson, J.",0.48,2,http://www.wikidata.org/entity/Q33694336,John Stephenson,Stephenson,J.,"Stephenson, J.",,67964221,0000 0000 8256 6999,2187.0,10107-1,Stephenson,,,1790.0,1864.0,,
4633,HAMIA,Hamilton A.C.,Hamilton,A.,C.,"Hamilton, A.C.","Hamilton, A.C.","Hamilton, A.",0.48,3,http://www.wikidata.org/entity/Q4821438,Augustus Hamilton,Hamilton,A.,"Hamilton, A.",,46858257,0000 0000 8125 1741,6432.0,,,,,1853.0,1913.0,,
4634,HAMIA,Hamilton A.C.,Hamilton,A.,C.,"Hamilton, A.C.","Hamilton, A.C.","Hamilton, A.",0.48,3,http://www.wikidata.org/entity/Q21503650,Alexander Hamilton,Hamilton,A.,"Hamilton, A.",,20473876,0000 0001 0676 5336,,,,,,1739.0,1802.0,,
4635,HAMIA,Hamilton A.C.,Hamilton,A.,C.,"Hamilton, A.C.","Hamilton, A.C.","Hamilton, A.",0.48,3,http://www.wikidata.org/entity/Q5659555,Arthur Hamilton,Hamilton,A.,"Hamilton, A.",,,,,3597-1,A.Ham.,,,1795.0,1860.0,,
4636,MACLJ,Maclean J.,Maclean,J.,,"Maclean, J.","Maclean, J.","Maclean, R.",0.49,1,http://www.wikidata.org/entity/Q27885398,Ronald Maclean,Maclean,R.,"Maclean, R.",,,,,,,,,,,,
4637,DIETA,Dieterlen A.,Dieterlen,Anna,,"Dieterlen, A.","Dieterlen, A.","Dieterlen, F.",0.49,1,http://www.wikidata.org/entity/Q19959278,Fritz Dieterlen,Dieterlen,F.,"Dieterlen, F.",,25036727,0000 0000 4320 7192,,,,,,1929.0,2017.0,,
4638,A039,Adriaens S.,Adriaens,S.,,"Adriaens, S.","Adriaens, S.","Adriaens, D.",0.49,1,http://www.wikidata.org/entity/Q29651158,Dominique Adriaens,Adriaens,D.,"Adriaens, D.",0000-0003-3610-2773,,,,,,,,2000.0,,,
4639,JACOE,Jacobsen E.,Jacobsen,E.,,"Jacobsen, E.","Jacobsen, E.","Jacobsen, C.",0.49,1,http://www.wikidata.org/entity/Q2567053,Carl Jacobsen,Jacobsen,C.,"Jacobsen, C.",,50265386,0000 0001 2211 7232,35337.0,,,,,1842.0,1914.0,,
4640,CHINR1,Chinnock R.J.,Chinnock,R.J.,,"Chinnock, R.J.","Chinnock, R.J.","Chinnock, R.",0.49,1,http://www.wikidata.org/entity/Q22958786,Robert Chinnock,Chinnock,R.,"Chinnock, R.",,55774522,0000 0001 1647 3804,70796,1598-1,Chinnock,,,1943.0,,,
4641,PST01,Pasteels,Pasteels,,,Pasteels,Pasteels,"Pasteels, J.M.",0.49,1,http://www.wikidata.org/entity/Q21340078,Jacques M. Pasteels,Pasteels,J.M.,"Pasteels, J.M.",,,,,,,,,,,,
4642,D079,Dupont P.R.,Dupont,Paul,Evenor Rivalz,"Dupont, P.E.R.","Dupont, P.E.R.","Dupont, P.",0.49,1,http://www.wikidata.org/entity/Q21511107,Pierre Dupont,Dupont,P.,"Dupont, P.",,228579061,0000 0003 6371 8581,,20000125-1,P.Dupont,,,1925.0,2017.0,,
4643,B075,Bouillon A.,Bouillon,A.,,"Bouillon, A.","Bouillon, A.","Bouillon, J.",0.49,1,http://www.wikidata.org/entity/Q18645683,Jean Bouillon,Bouillon,J.,"Bouillon, J.",,165825931,0000 0004 4304 1312,,,,,,1926.0,2009.0,,
4644,TERAH,Terashima H.,Terashima,Hideaki,,"Terashima, H.","Terashima, H.","Terashima, M.",0.49,1,http://www.wikidata.org/entity/Q88854334,Masanori Terashima,Terashima,M.,"Terashima, M.",,,,,20039930-1,Terashima,,,,,,
4645,R027,Rousseau M.,Rousseau,Marietta,Hannon,"Rousseau, M.H.","Rousseau, M.H.","Rousseau, M.",0.49,1,http://www.wikidata.org/entity/Q50324538,Mariette Rousseau,Rousseau,M.,"Rousseau, M.",,216420497,,49048.0,13085-1,M.Rousseau,Q50324538,,1850.0,1926.0,,
4646,HUYGP,Huyghe P.,Huyghe,Polydore,,"Huyghe, P.","Huyghe, P.","Huyghe, F.",0.49,1,http://www.wikidata.org/entity/Q55053257,Fernand Huyghe,Huyghe,F.,"Huyghe, F.",,,,,,,,,1887.0,1916.0,,
4647,W011,Weholt O.,Weholt,O.,,"Weholt, O.","Weholt, O.","Weholt, Ø.",0.49,1,http://www.wikidata.org/entity/Q47128611,Ø. Weholt,Weholt,Ø.,"Weholt, Ø.",,,,83521,28631-1,Weholt,,,,,,
4648,FELI1,Felix,Felix,,,Felix,Felix,"Felix, J.",0.49,1,http://www.wikidata.org/entity/Q1616906,Johannes Felix,Felix,J.,"Felix, J.",,8167045,0000 0000 6674 8311,60234.0,2673-1,Felix,,,1858.0,1941.0,,
4649,ALEL,Lelièvre A.,Lelièvre,A,,"Lelièvre, A.","Lelièvre, A.","Lelièvre, H.",0.49,1,http://www.wikidata.org/entity/Q21584763,Hervé Lelièvre,Lelièvre,H.,"Lelièvre, H.",,,,,,,,,,,,
4650,GOLOV,Goloskokov V.,Goloskokov,V.,,"Goloskokov, V.","Goloskokov, V.","Goloskokov, V.P.",0.49,1,http://www.wikidata.org/entity/Q18819874,Vitaliǐ Petrovich Goloskokov,Goloskokov,V.P.,"Goloskokov, V.P.",,310678578,,78949,3245-1,Golosk.,,,1913.0,1999.0,,
4651,KALB1,Kalbreyer W.,Kalbreyer,Wilhelm,,"Kalbreyer, W.","Kalbreyer, W.","Kalbreyer, G.",0.49,1,http://www.wikidata.org/entity/Q5616178,Guillermo Kalbreyer,Kalbreyer,G.,"Kalbreyer, G.",,42618552,,21975.0,38097-1,Kalbreyer,,,1847.0,1912.0,,
4652,S357,Saxby H.H.,Saxby,H.H.,,"Saxby, H.H.","Saxby, H.H.","Saxby, H.",0.49,1,http://www.wikidata.org/entity/Q5728044,Henry Saxby,Saxby,H.,"Saxby, H.",,8179155044751472520002,,,,,,,1836.0,1873.0,,
4653,E042,Etienne R.,Etienne,R.,,"Etienne, R.","Etienne, R.","Etienne, J.",0.49,1,http://www.wikidata.org/entity/Q22110051,Jean Etienne,Etienne,J.,"Etienne, J.",,,,,,,,,,,,
4654,ETIEC,Etienne C.,Etienne,C.,,"Etienne, C.","Etienne, C.","Etienne, J.",0.49,1,http://www.wikidata.org/entity/Q22110051,Jean Etienne,Etienne,J.,"Etienne, J.",,,,,,,,,,,,
4655,LHERM,L'Herminier,L'Herminier,,,L'Herminier,L'Herminier,"L'Herminier, F.L.",0.49,1,http://www.wikidata.org/entity/Q3092520,Félix Louis L'Herminier,L'Herminier,F.L.,"L'Herminier, F.L.",,32779822,0000 0000 1371 8805,30441.0,,,,,1779.0,1833.0,,
4656,BABAG,Babault G.,Babault,Guy,,"Babault, G.","Babault, G.","Babault, G.R.",0.49,1,http://www.wikidata.org/entity/Q51300055,Guy René Babault,Babault,G.R.,"Babault, G.R.",,197156115,0000 0003 5749 7225,44894,,,,,1888.0,1963.0,,
4657,H042,Herink J.A.,Herink,J.A.,,"Herink, J.A.","Herink, J.A.","Herink, J.",0.49,1,http://www.wikidata.org/entity/Q15707474,Josef Herink,Herink,J.,"Herink, J.",,83728540,,28515,20219-1,Herink,,,1915.0,1999.0,,
4658,D150,Damblon F.,Damblon,F.,,"Damblon, F.","Damblon, F.","Damblon, J.",0.49,1,http://www.wikidata.org/entity/Q36588549,J. Damblon,Damblon,J.,"Damblon, J.",,,,,17661-1,Damblon,,,,1956.0,,
