,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye
651,BODAM,Bodard M.J.,Bodard,Marcel J.,,"Bodard, M.J.","Bodard, M.J.","Bodard, M.J.",0.0,1,http://www.wikidata.org/entity/Q18983158,Marcel J. Bodard,Bodard,M.J.,"Bodard, M.J.",,196148506,0000 0003 5723 6180,80411,888-1,M.Bodard,,,1927.0,1988.0,,
652,FLLJH,Faull J.H.,Faull,Joseph,Horace,"Faull, J.H.","Faull, J.H.","Faull, J.H.",0.0,1,http://www.wikidata.org/entity/Q21512673,Joseph Horace Faull,Faull,J.H.,"Faull, J.H.",,,,12689.0,2645-1,Faull,,,1876.0,1961.0,,
653,H884,Hansgirg A.,Hansgirg,A.,,"Hansgirg, A.","Hansgirg, A.","Hansgirg, A.",0.0,1,http://www.wikidata.org/entity/Q21514658,Anton Hansgirg,Hansgirg,A.,"Hansgirg, A.",,83427772,0000 0001 1936 9199,38165.0,3635-1,Hansg.,,,1854.0,1917.0,,
654,SILLP,Sillinger Pavel,Sillinger,Pavel,,"Sillinger, P.","Sillinger, P.","Sillinger, P.",0.0,1,http://www.wikidata.org/entity/Q21608890,Pavel Sillinger,Sillinger,P.,"Sillinger, P.",,306138901,0000 0000 5806 1480,20659,9642-1,Sill.,Q21608890,,1905.0,1938.0,,
655,A915,Ando H.,Ando,H.,,"Ando, H.","Ando, H.","Ando, H.",0.0,1,http://www.wikidata.org/entity/Q21339873,Hisatsugu Ando,Ando,H.,"Ando, H.",,197955952,,77674,30881-1,Ando,,,1922.0,2005.0,,
656,BRNDJ,Bernard J.,Bernard,Jean,,"Bernard, J.","Bernard, J.","Bernard, J.",0.0,1,http://www.wikidata.org/entity/Q21506009,Jean-Paul Bernard,Bernard,J.,"Bernard, J.",,,,,707-1,J.-P.Bernard,,,1921.0,,,
657,HARRS,Harris S.K.,Harris,Stuart,Kimball,"Harris, S.K.","Harris, S.K.","Harris, S.K.",0.0,1,http://www.wikidata.org/entity/Q21391163,Stuart Kimball Harris,Harris,S.K.,"Harris, S.K.",,48037856,0000 0000 3135 6537,,3678-1,S.K.Harris,,,1906.0,1969.0,,
658,MICHX,Michaux F.A.,Michaux,François,André,"Michaux, F.A.","Michaux, F.A.","Michaux, F.A.",0.0,1,http://www.wikidata.org/entity/Q2986883,François André Michaux,Michaux,F.A.,"Michaux, F.A.",,64118158,0000 0001 0858 1135,3004.0,12682-1,F.Michx.,,,1770.0,1855.0,,
659,B015,Boise J.R.,Boise,J.R.,,"Boise, J.R.","Boise, J.R.","Boise, J.R.",0.0,1,http://www.wikidata.org/entity/Q21339887,Jean R. Boise,Boise,J.R.,"Boise, J.R.",,,,,34086-1,Boise,,,1952.0,,,
660,S144,Sydow P.,Sydow,Paul,,"Sydow, P.","Sydow, P.","Sydow, P.",0.0,1,http://www.wikidata.org/entity/Q7153889,Paul Sydow,Sydow,P.,"Sydow, P.",,72170019,0000 0001 0914 7357,384.0,13431-1,P.Syd.,,,1851.0,1925.0,,
661,V032,Vánky K.,Vánky,Kálmán,,"Vánky, K.","Vánky, K.","Vánky, K.",0.0,1,http://www.wikidata.org/entity/Q17165256,Kálmán Vánky,Vánky,K.,"Vánky, K.",,22370964,0000 0001 1606 3557,2555,28114-1,Vánky,,,1930.0,,,
662,W034,Wakefield E.M.,Wakefield,E.M.,,"Wakefield, E.M.","Wakefield, E.M.","Wakefield, E.M.",0.0,1,http://www.wikidata.org/entity/Q5367615,Elsie Maud Wakefield,Wakefield,E.M.,"Wakefield, E.M.",,35820137,0000 0000 8440 3202,17099.0,11323-1,Wakef.,Q5367615,,1886.0,1972.0,,
663,B200,Boyle H.,Boyle,H.,,"Boyle, H.","Boyle, H.","Boyle, H.",0.0,1,http://www.wikidata.org/entity/Q88826798,Herbert Boyle,Boyle,H.,"Boyle, H.",,,,,20036431-1,H.Boyle,,,,,,
664,B189,Buchanan P.K.,Buchanan,Peter,K.,"Buchanan, P.K.","Buchanan, P.K.","Buchanan, P.K.",0.0,1,http://www.wikidata.org/entity/Q21506603,Peter K. Buchanan,Buchanan,P.K.,"Buchanan, P.K.",0000-0001-5309-6438,,,,16657-1,P.K.Buchanan,,,1957.0,,,
665,B190,Berkeley M.J.,Berkeley,Miles,Joseph,"Berkeley, M.J.","Berkeley, M.J.","Berkeley, M.J.",0.0,1,http://www.wikidata.org/entity/Q662338,Miles Joseph Berkeley,Berkeley,M.J.,"Berkeley, M.J.",,56659315,0000 0001 0903 8580,2493.0,15996-1,Berk.,Q662338,,1803.0,1889.0,,
666,ACOCJ,Acocks J.P.H.,Acocks,John,Phillip Harison,"Acocks, J.P.H.","Acocks, J.P.H.","Acocks, J.P.H.",0.0,1,http://www.wikidata.org/entity/Q6252798,John Phillip Harison Acocks,Acocks,J.P.H.,"Acocks, J.P.H.",,48010291,0000 0000 6330 0407,11676,,,,,1911.0,1979.0,,
667,B064,Boisselet P.,Boisselet,P.,,"Boisselet, P.","Boisselet, P.","Boisselet, P.",0.0,1,http://www.wikidata.org/entity/Q36648882,P. Boisselet,Boisselet,P.,"Boisselet, P.",,,,,38911-1,Boisselet,,,,,,
