,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
589,28678,Hallenberg,N.,Nils,173,2006.0,2006.0,"Hallenberg, N.","Hallenberg, N.","Hallenberg, N.",1.0,1.0,http://www.wikidata.org/entity/Q21514573,Nils Hallenberg,Hallenberg,N.,"Hallenberg, N.",,77925375,0000 0000 2997 351X,20836.0,19882-1,Hallenb.,,,1947.0,,,,http://www.wikidata.org/wiki/Q21514573,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20836,https://www.ipni.org/a/19882-1,,,
607,9780,Huguenin,A.,Auguste,168,1834.0,1854.0,"Huguenin, A.","Huguenin, A.","Huguenin, A.",1.0,1.0,http://www.wikidata.org/entity/Q21516637,Auguste Huguenin,Huguenin,A.,"Huguenin, A.",,,,43227,4212-1,Huguenin,,,1780.0,1860.0,,,http://www.wikidata.org/wiki/Q21516637,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=43227,https://www.ipni.org/a/4212-1,,,
608,15118,Olde,P.M.,Peter,167,1986.0,2016.0,"Olde, P.M.","Olde, P.M.","Olde, P.M.",1.0,1.0,http://www.wikidata.org/entity/Q6073432,Peter M. Olde,Olde,P.M.,"Olde, P.M.",,,,83405,36064-1,Olde,,,1957.0,,,,http://www.wikidata.org/wiki/Q6073432,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=83405,https://www.ipni.org/a/36064-1,,,
613,3835,Cleland,J.B.,,166,1908.0,1968.0,"Cleland, J.B.","Cleland, J.B.","Cleland, J.B.",1.0,1.0,http://www.wikidata.org/entity/Q4223546,John Burton Cleland,Cleland,J.B.,"Cleland, J.B.",,77785771,0000 0000 8271 8227,8608.0,17304-1,Cleland,,P000313b,1878.0,1971.0,,,http://www.wikidata.org/wiki/Q4223546,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8608,https://www.ipni.org/a/17304-1,,http://www.eoas.info/biogs/P000313b,http://adb.anu.edu.au/biography/cleland-sir-john-burton-5679
614,16161,Powell,T.,Thomas,166,1865.0,1874.0,"Powell, T.","Powell, T.","Powell, T.",1.0,1.0,http://www.wikidata.org/entity/Q16228093,Thomas Powell,Powell,T.,"Powell, T.",,40217171,0000 0000 8375 2582,30221,7913-1,Powell,,,1809.0,1887.0,,,http://www.wikidata.org/wiki/Q16228093,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=30221,https://www.ipni.org/a/7913-1,,,
616,11620,Learmonth,N.F.,,165,1946.0,1959.0,"Learmonth, N.F.","Learmonth, N.F.","Learmonth, N.F.",1.0,1.0,http://www.wikidata.org/entity/Q7046955,Noel Fulford Learmonth,Learmonth,N.F.,"Learmonth, N.F.",,24976741,0000 0004 1030 055X,,,,,,1880.0,1970.0,,,http://www.wikidata.org/wiki/Q7046955,,,,,,http://adb.anu.edu.au/biography/learmonth-noel-fulford-10802
618,5404,Dixon,M.,May (Mary),164,1894.0,1905.0,"Dixon, M.","Dixon, M.","Dixon, M.",1.0,1.0,http://www.wikidata.org/entity/Q47116529,Marjorie Dixon,Dixon,M.,"Dixon, M.",,,,,18078-1,M.Dixon,,,,,,,http://www.wikidata.org/wiki/Q47116529,,,https://www.ipni.org/a/18078-1,,,
619,15190,Orme,A.E.,,164,2000.0,2014.0,"Orme, A.E.","Orme, A.E.","Orme, A.E.",1.0,1.0,http://www.wikidata.org/entity/Q59604801,Andrew E. Orme,Orme,A.E.,"Orme, A.E.",,,,,20032849-1,Orme,,,,,,,http://www.wikidata.org/wiki/Q59604801,,,https://www.ipni.org/a/20032849-1,,,
621,4435,Cowley,K.J.,Kirsten,163,1988.0,1988.0,"Cowley, K.J.","Cowley, K.J.","Cowley, K.J.",1.0,1.0,http://www.wikidata.org/entity/Q21339625,Kirsten Jane Cowley,Cowley,K.J.,"Cowley, K.J.",,24492549,0000 0003 7438 2438,,38856-1,K.J.Cowley,,,1961.0,,,,http://www.wikidata.org/wiki/Q21339625,,,https://www.ipni.org/a/38856-1,,,
624,15711,Perkins,E.E.,,162,1980.0,2011.0,"Perkins, E.E.","Perkins, E.E.","Perkins, E.E.",1.0,1.0,http://www.wikidata.org/entity/Q36548706,E.E. Perkins,Perkins,E.E.,"Perkins, E.E.",,,,,7518-1,E.Perkins,,,,,,,http://www.wikidata.org/wiki/Q36548706,,,https://www.ipni.org/a/7518-1,,,
629,21718,Wightman,G.M.,,161,1982.0,2003.0,"Wightman, G.M.","Wightman, G.M.","Wightman, G.M.",1.0,1.0,http://www.wikidata.org/entity/Q26714546,Glenn M. Wightman,Wightman,G.M.,"Wightman, G.M.",,,,,20021396-1,Wightman,,,,,,,http://www.wikidata.org/wiki/Q26714546,,,https://www.ipni.org/a/20021396-1,,,
631,13873,Mitchell,A.A.,,161,1976.0,2013.0,"Mitchell, A.A.","Mitchell, A.A.","Mitchell, A.A.",1.0,1.0,http://www.wikidata.org/entity/Q36506183,A.A. Mitchell,Mitchell,A.A.,"Mitchell, A.A.",,,,,20003678-1,A.A.Mitch.,,,,,,,http://www.wikidata.org/wiki/Q36506183,,,https://www.ipni.org/a/20003678-1,,,
632,13532,Meebold,A.,,160,1910.0,1937.0,"Meebold, A.","Meebold, A.","Meebold, A.",1.0,1.0,http://www.wikidata.org/entity/Q96682,Alfred Meebold,Meebold,A.,"Meebold, A.",,102623050,0000 0000 7888 6287,30419.0,,,,,1863.0,1952.0,,,http://www.wikidata.org/wiki/Q96682,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=30419,,,,
634,19578,Swenson,U.,Ulf,159,2003.0,2018.0,"Swenson, U.","Swenson, U.","Swenson, U.",1.0,1.0,http://www.wikidata.org/entity/Q6155282,Ulf Swenson,Swenson,U.,"Swenson, U.",,1896154260378124480009,,77180.0,37087-1,Swenson,,,1959.0,,,,http://www.wikidata.org/wiki/Q6155282,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=77180,https://www.ipni.org/a/37087-1,,,
635,430,Anway,J.C.,,159,1956.0,1965.0,"Anway, J.C.","Anway, J.C.","Anway, J.C.",1.0,1.0,http://www.wikidata.org/entity/Q36586071,J.C. Anway,Anway,J.C.,"Anway, J.C.",,,,5626,13238-1,Anway,,,,,,,http://www.wikidata.org/wiki/Q36586071,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=5626,https://www.ipni.org/a/13238-1,,,
640,24760,Díaz-Tapia,P.,Pilar,158,2014.0,2016.0,"Díaz-Tapia, P.","Díaz-Tapia, P.","Díaz-Tapia, P.",1.0,1.0,http://www.wikidata.org/entity/Q42324022,Pilar Díaz-Tapia,Díaz-Tapia,P.,"Díaz-Tapia, P.",0000-0003-4680-4867,,,103460,20020078-2,Díaz-Tapia,,,,,,,http://www.wikidata.org/wiki/Q42324022,https://orcid.org/0000-0003-4680-4867,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=103460,https://www.ipni.org/a/20020078-2,,,
641,21448,West,J.G.,Judy,157,1974.0,2002.0,"West, J.G.","West, J.G.","West, J.G.",1.0,1.0,http://www.wikidata.org/entity/Q18166796,Judith Gay West,West,J.G.,"West, J.G.",,,,,12307-1,J.G.West,,,1949.0,,,,http://www.wikidata.org/wiki/Q18166796,,,https://www.ipni.org/a/12307-1,,,
645,3391,Catcheside,D.G.,,155,1923.0,1984.0,"Catcheside, D.G.","Catcheside, D.G.","Catcheside, D.G.",1.0,1.0,http://www.wikidata.org/entity/Q21165808,David Guthrie Catcheside,Catcheside,D.G.,"Catcheside, D.G.",,71977574,0000 0001 0986 3302,1461,1456-1,Catches.,,P000301b,1907.0,1994.0,,,http://www.wikidata.org/wiki/Q21165808,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1461,https://www.ipni.org/a/1456-1,,http://www.eoas.info/biogs/P000301b,http://adb.anu.edu.au/biography/catcheside-david-guthrie-27834
646,9477,Holzinger,J.M.,John Michael,155,1887.0,1913.0,"Holzinger, J.M.","Holzinger, J.M.","Holzinger, J.M.",1.0,1.0,http://www.wikidata.org/entity/Q5933455,John Michael Holzinger,Holzinger,J.M.,"Holzinger, J.M.",,7038632,,2339.0,4070-1,Holz.,,,1853.0,1928.0,,,http://www.wikidata.org/wiki/Q5933455,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2339,https://www.ipni.org/a/4070-1,,,
653,14895,Norrlin,J.P.,,154,1866.0,1984.0,"Norrlin, J.P.","Norrlin, J.P.","Norrlin, J.P.",1.0,1.0,http://www.wikidata.org/entity/Q3180443,Johan Petter Norrlin,Norrlin,J.P.,"Norrlin, J.P.",,208124195,,10153.0,24161-1,Norrl.,,,1842.0,1917.0,,,http://www.wikidata.org/wiki/Q3180443,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=10153,https://www.ipni.org/a/24161-1,,,
661,203,Ali,S.I.,,154,1961.0,1963.0,"Ali, S.I.","Ali, S.I.","Ali, S.I.",1.0,1.0,http://www.wikidata.org/entity/Q19345770,Syed Irtifaq Ali,Ali,S.I.,"Ali, S.I.",,269293158,0000 0000 6330 0212,,136-1,Ali,,,1930.0,,,,http://www.wikidata.org/wiki/Q19345770,,,https://www.ipni.org/a/136-1,,,
675,2210,Boyland,D.E.,,151,1966.0,1979.0,"Boyland, D.E.","Boyland, D.E.","Boyland, D.E.",1.0,1.0,http://www.wikidata.org/entity/Q21506396,Desmond Ernest Boyland,Boyland,D.E.,"Boyland, D.E.",,,,,1051-1,Boyland,,,1941.0,,,,http://www.wikidata.org/wiki/Q21506396,,,https://www.ipni.org/a/1051-1,,,
676,3177,Canby,W.M.,,151,1863.0,1869.0,"Canby, W.M.","Canby, W.M.","Canby, W.M.",1.0,1.0,http://www.wikidata.org/entity/Q16648094,William Marriott Canby,Canby,W.M.,"Canby, W.M.",,310623685,,24942.0,1382-1,Canby,,,1831.0,1904.0,,,http://www.wikidata.org/wiki/Q16648094,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=24942,https://www.ipni.org/a/1382-1,,,
678,128,Ahles,H.E.,Harry,150,1953.0,1980.0,"Ahles, H.E.","Ahles, H.E.","Ahles, H.E.",1.0,1.0,http://www.wikidata.org/entity/Q10293998,Harry E. Ahles,Ahles,H.E.,"Ahles, H.E.",,,,2755.0,94-1,H.E.Ahles,,,1924.0,1981.0,,,http://www.wikidata.org/wiki/Q10293998,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2755,https://www.ipni.org/a/94-1,,,
679,14066,Moore,T.B.,Thomas,150,1884.0,1907.0,"Moore, T.B.","Moore, T.B.","Moore, T.B.",1.0,1.0,http://www.wikidata.org/entity/Q7787473,Thomas Bather Moore,Moore,T.B.,"Moore, T.B.",,77384241,0000 0000 8396 2619,76998,13312-1,T.B.Moore,,P001263b,1850.0,1919.0,,,http://www.wikidata.org/wiki/Q7787473,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=76998,https://www.ipni.org/a/13312-1,,http://www.eoas.info/biogs/P001263b,http://adb.anu.edu.au/biography/moore-thomas-bather-7642
680,12195,Lucas,G.,Geoff,150,1983.0,1989.0,"Lucas, G.","Lucas, G.","Lucas, G.",1.0,1.0,http://www.wikidata.org/entity/Q21538207,George Lucas,Lucas,G.,"Lucas, G.",,,,,,,,,1813.0,1900.0,,,http://www.wikidata.org/wiki/Q21538207,,,,,,http://adb.anu.edu.au/biography/lucas-george-13307
681,5715,Dunlop,C.,,150,1969.0,1996.0,"Dunlop, C.","Dunlop, C.","Dunlop, C.",1.0,1.0,http://www.wikidata.org/entity/Q13420116,Clyde Dunlop,Dunlop,C.,"Dunlop, C.",,279666372,,69477,13280-1,Dunlop,,P005245b,1946.0,,,,http://www.wikidata.org/wiki/Q13420116,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69477,https://www.ipni.org/a/13280-1,,http://www.eoas.info/biogs/P005245b,
687,14385,Munir,A.A.,,147,1965.0,1988.0,"Munir, A.A.","Munir, A.A.","Munir, A.A.",1.0,1.0,http://www.wikidata.org/entity/Q21521892,Ahmad Abid Munir,Munir,A.A.,"Munir, A.A.",,,,,6780-1,Munir,,,1936.0,,,,http://www.wikidata.org/wiki/Q21521892,,,https://www.ipni.org/a/6780-1,,,
689,10489,Jones,R.H.,,147,1961.0,2001.0,"Jones, R.H.","Jones, R.H.","Jones, R.H.",1.0,1.0,http://www.wikidata.org/entity/Q21513428,Rodney H. Jones,Jones,R.H.,"Jones, R.H.",,,,,20006818-1,R.H.Jones,,,1951.0,,,,http://www.wikidata.org/wiki/Q21513428,,,https://www.ipni.org/a/20006818-1,,,
692,10927,King,R.J.,,146,1968.0,1984.0,"King, R.J.","King, R.J.","King, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q21517523,Robert John King,King,R.J.,"King, R.J.",,,,,29818-1,R.J.King,,,1945.0,,,,http://www.wikidata.org/wiki/Q21517523,,,https://www.ipni.org/a/29818-1,,,
694,7989,Griffith,W.,William,146,1834.0,1849.0,"Griffith, W.","Griffith, W.","Griffith, W.",1.0,1.0,http://www.wikidata.org/entity/Q11705310,William Griffith,Griffith,W.,"Griffith, W.",,64162204,0000 0001 2136 6616,684.0,3387-1,Griff.,,,1810.0,1845.0,,,http://www.wikidata.org/wiki/Q11705310,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=684,https://www.ipni.org/a/3387-1,,,
696,6135,Erickson,R.,Rica,146,1896.0,1966.0,"Erickson, R.","Erickson, R.","Erickson, R.",1.0,1.0,http://www.wikidata.org/entity/Q4357043,Rica Erickson,Erickson,R.,"Erickson, R.",,72634025,0000 0000 9111 8119,,2557-1,F.L.Erickson,Q4357043,P004587b,1908.0,2009.0,,,http://www.wikidata.org/wiki/Q4357043,,,https://www.ipni.org/a/2557-1,https://bloodhound-tracker.net/Q4357043,http://www.eoas.info/biogs/P004587b,
703,16162,Powell,W.,,145,1881.0,1983.0,"Powell, W.","Powell, W.","Powell, W.",1.0,1.0,http://www.wikidata.org/entity/Q21539087,Walter Powell,Powell,W.,"Powell, W.",,,,,,,,,1822.0,1868.0,,,http://www.wikidata.org/wiki/Q21539087,,,,,,http://adb.anu.edu.au/biography/powell-walter-4411
704,6576,Flecker,H.,,145,1935.0,1952.0,"Flecker, H.","Flecker, H.","Flecker, H.",1.0,1.0,http://www.wikidata.org/entity/Q21539192,Hugo Flecker,Flecker,H.,"Flecker, H.",,,,31020,,,,P005858b,1884.0,1957.0,,,http://www.wikidata.org/wiki/Q21539192,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=31020,,,http://www.eoas.info/biogs/P005858b,http://adb.anu.edu.au/biography/flecker-hugo-10199
712,16377,Quinn,F.C.,,144,1988.0,1988.0,"Quinn, F.C.","Quinn, F.C.","Quinn, F.C.",1.0,1.0,http://www.wikidata.org/entity/Q26713787,F.C. Quinn,Quinn,F.C.,"Quinn, F.C.",,,,,38857-1,F.C.Quinn,,,,,,,http://www.wikidata.org/wiki/Q26713787,,,https://www.ipni.org/a/38857-1,,,
719,14694,Newland,S.,Simpson,142,1887.0,1897.0,"Newland, S.","Newland, S.","Newland, S.",1.0,1.0,http://www.wikidata.org/entity/Q7521120,Simpson Newland,Newland,S.,"Newland, S.",,39744899,0000 0000 8374 7222,,,,,,1835.0,1925.0,,,http://www.wikidata.org/wiki/Q7521120,,,,,,http://adb.anu.edu.au/biography/newland-simpson-sim-7828
720,13955,Mole,B.J.,Bryan,142,1991.0,2000.0,"Mole, B.J.","Mole, B.J.","Mole, B.J.",1.0,1.0,http://www.wikidata.org/entity/Q26714521,Bryan J. Mole,Mole,B.J.,"Mole, B.J.",,,,,40352-1,Mole,,,,,,,http://www.wikidata.org/wiki/Q26714521,,,https://www.ipni.org/a/40352-1,,,
727,18155,Semmens,E.J.,,141,1912.0,1977.0,"Semmens, E.J.","Semmens, E.J.","Semmens, E.J.",1.0,1.0,http://www.wikidata.org/entity/Q24088296,Edwin James Semmens,Semmens,E.J.,"Semmens, E.J.",,,,,,,,,1886.0,1980.0,,,http://www.wikidata.org/wiki/Q24088296,,,,,,http://adb.anu.edu.au/biography/semmens-edwin-james-11657
728,402,Andrus,R.E.,,141,1970.0,1987.0,"Andrus, R.E.","Andrus, R.E.","Andrus, R.E.",1.0,1.0,http://www.wikidata.org/entity/Q21505247,Richard E. Andrus,Andrus,R.E.,"Andrus, R.E.",,60403745,0000 0000 2166 2223,,30895-1,R.E.Andrus,,,1941.0,,,,http://www.wikidata.org/wiki/Q21505247,,,https://www.ipni.org/a/30895-1,,,
734,3751,Clark,M.J.,,141,1962.0,1990.0,"Clark, M.J.","Clark, M.J.","Clark, M.J.",1.0,1.0,http://www.wikidata.org/entity/Q36622349,Michael J. Clark,Clark,M.J.,"Clark, M.J.",,1337779,,,20018614-1,M.J.Clark,,,,,,,http://www.wikidata.org/wiki/Q36622349,,,https://www.ipni.org/a/20018614-1,,,
735,22615,Grabowski,H.E.,,141,1841.0,1842.0,"Grabowski, H.E.","Grabowski, H.E.","Grabowski, H.E.",1.0,1.0,http://www.wikidata.org/entity/Q2619980,Heinrich Emanuel Grabowski,Grabowski,H.E.,"Grabowski, H.E.",,32776757,0000 0000 1371 7853,1086.0,3306-1,Grab.,,,1792.0,1842.0,,,http://www.wikidata.org/wiki/Q2619980,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1086,https://www.ipni.org/a/3306-1,,,
738,16123,Porter,D.A.,,140,1883.0,1891.0,"Porter, D.A.","Porter, D.A.","Porter, D.A.",1.0,1.0,http://www.wikidata.org/entity/Q55071079,David Alfred Porter,Porter,D.A.,"Porter, D.A.",,32344527,,,,,,,1940.0,2003.0,,,http://www.wikidata.org/wiki/Q55071079,,,,,,
739,6308,Farjon,A.,,140,1997.0,1997.0,"Farjon, A.","Farjon, A.","Farjon, A.",1.0,1.0,http://www.wikidata.org/entity/Q2129941,Aljos Farjon,Farjon,A.,"Farjon, A.",,9914846,0000 0001 1559 6570,66826.0,14682-1,Farjon,,,1946.0,,,,http://www.wikidata.org/wiki/Q2129941,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=66826,https://www.ipni.org/a/14682-1,,,
740,17903,Schodde,R.,,140,1956.0,1976.0,"Schodde, R.","Schodde, R.","Schodde, R.",1.0,1.0,http://www.wikidata.org/entity/Q534418,Richard Schodde,Schodde,R.,"Schodde, R.",,25963023,0000 0001 1610 3379,28692.0,9212-1,Schodde,,P003198b,1936.0,,,,http://www.wikidata.org/wiki/Q534418,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=28692,https://www.ipni.org/a/9212-1,,http://www.eoas.info/biogs/P003198b,
747,8467,Harada,K.,Kunigi,139,1975.0,1980.0,"Harada, K.","Harada, K.","Harada, K.",1.0,1.0,http://www.wikidata.org/entity/Q36604699,Kenichi Harada,Harada,K.,"Harada, K.",,,,,29457-1,K.Harada,,,,,,,http://www.wikidata.org/wiki/Q36604699,,,https://www.ipni.org/a/29457-1,,,
749,2280,Brass,L.J.,Leonard John,139,1922.0,1953.0,"Brass, L.J.","Brass, L.J.","Brass, L.J.",1.0,1.0,http://www.wikidata.org/entity/Q6525437,Leonard John Brass,Brass,L.J.,"Brass, L.J.",,55438493,0000 0000 2154 6863,10817,,,,P001390b,1900.0,1971.0,,,http://www.wikidata.org/wiki/Q6525437,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=10817,,,http://www.eoas.info/biogs/P001390b,
753,18042,Scott,G.A.M.,,138,1956.0,1997.0,"Scott, G.A.M.","Scott, G.A.M.","Scott, G.A.M.",1.0,1.0,http://www.wikidata.org/entity/Q21608563,George Anderson Macdonald Scott,Scott,G.A.M.,"Scott, G.A.M.",,1718155191923082440003,,19811,26451-1,G.A.M.Scott,,P004723b,1933.0,1998.0,,,http://www.wikidata.org/wiki/Q21608563,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=19811,https://www.ipni.org/a/26451-1,,http://www.eoas.info/biogs/P004723b,
770,11069,Kodela,P.G.,Phillip,137,1984.0,2015.0,"Kodela, P.G.","Kodela, P.G.","Kodela, P.G.",1.0,1.0,http://www.wikidata.org/entity/Q18986279,Phillip Gerhard Kodela,Kodela,P.G.,"Kodela, P.G.",,,,,35961-1,Kodela,,,1962.0,1989.0,,,http://www.wikidata.org/wiki/Q18986279,,,https://www.ipni.org/a/35961-1,,,
784,16508,Ramsay,E.P.,Edward Pierson,134,1860.0,1887.0,"Ramsay, E.P.","Ramsay, E.P.","Ramsay, E.P.",1.0,1.0,http://www.wikidata.org/entity/Q542265,Edward Pierson Ramsay,Ramsay,E.P.,"Ramsay, E.P.",,43415183,0000 0000 8447 8861,,,,,,1842.0,1916.0,,,http://www.wikidata.org/wiki/Q542265,,,,,,http://adb.anu.edu.au/biography/ramsay-edward-pierson-4446
785,20192,Touw,A.,,134,1975.0,1978.0,"Touw, A.","Touw, A.","Touw, A.",1.0,1.0,http://www.wikidata.org/entity/Q21341025,Andries Touw,Touw,A.,"Touw, A.",,208981752,0000 0003 5882 8655,31512,27864-1,Touw,,,1935.0,,,,http://www.wikidata.org/wiki/Q21341025,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=31512,https://www.ipni.org/a/27864-1,,,
787,10929,King,R.M.,Robert Merrill,133,1963.0,1989.0,"King, R.M.","King, R.M.","King, R.M.",1.0,1.0,http://www.wikidata.org/entity/Q2854893,Robert Merrill King,King,R.M.,"King, R.M.",,286818872,0000 0003 9274 7509,11648.0,4799-1,R.M.King,,,1930.0,2007.0,,,http://www.wikidata.org/wiki/Q2854893,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=11648,https://www.ipni.org/a/4799-1,,,
792,2253,Braine,A.B.,,132,1911.0,1941.0,"Braine, A.B.","Braine, A.B.","Braine, A.B.",1.0,1.0,http://www.wikidata.org/entity/Q61959479,Arthur Belgrave Braine,Braine,A.B.,"Braine, A.B.",,,,94523,,,,P001545b,1854.0,1945.0,,,http://www.wikidata.org/wiki/Q61959479,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=94523,,,http://www.eoas.info/biogs/P001545b,
798,10952,Kirk,J.,John,131,1853.0,1863.0,"Kirk, J.","Kirk, J.","Kirk, J.",1.0,1.0,http://www.wikidata.org/entity/Q1700717,John Kirk,Kirk,J.,"Kirk, J.",,45082551,0000 0001 0773 8583,66428.0,4807-1,J.Kirk,,,1832.0,1922.0,,,http://www.wikidata.org/wiki/Q1700717,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=66428,https://www.ipni.org/a/4807-1,,,
799,27396,Kostermans,A.J.G.H.,Andre Joseph Guillaume Henri,131,1947.0,1964.0,"Kostermans, A.J.G.H.","Kostermans, A.J.G.H.","Kostermans, A.J.G.H.",1.0,1.0,http://www.wikidata.org/entity/Q2467467,André Joseph Guillaume Henri Kostermans,Kostermans,A.J.G.H.,"Kostermans, A.J.G.H.",,109551770,0000 0000 8174 8838,778.0,4984-1,Kosterm.,,,1906.0,1994.0,,,http://www.wikidata.org/wiki/Q2467467,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=778,https://www.ipni.org/a/4984-1,,,
800,14287,Mueller,G.M.,Greg,131,2005.0,2006.0,"Mueller, G.M.","Mueller, G.M.","Mueller, G.M.",1.0,1.0,http://www.wikidata.org/entity/Q21521833,Gregory M. Mueller,Mueller,G.M.,"Mueller, G.M.",,,,,23705-1,G.M.Muell.,,,1953.0,,,,http://www.wikidata.org/wiki/Q21521833,,,https://www.ipni.org/a/23705-1,,,
803,17682,Santesson,R.,,131,1936.0,1994.0,"Santesson, R.","Santesson, R.","Santesson, R.",1.0,1.0,http://www.wikidata.org/entity/Q6093998,Rolf Santesson,Santesson,R.,"Santesson, R.",,5970067,0000 0001 0950 9098,,8903-1,R.Sant.,,,1916.0,2013.0,,,http://www.wikidata.org/wiki/Q6093998,,,https://www.ipni.org/a/8903-1,,,
806,4712,Cuff,N.J.,,130,2005.0,2017.0,"Cuff, N.J.","Cuff, N.J.","Cuff, N.J.",1.0,1.0,http://www.wikidata.org/entity/Q36640932,Nicholas J. Cuff,Cuff,N.J.,"Cuff, N.J.",,,,,20019413-2,Cuff,,,1976.0,,,,http://www.wikidata.org/wiki/Q36640932,,,https://www.ipni.org/a/20019413-2,,,
807,4376,Court,A.B.,,129,1945.0,1985.0,"Court, A.B.","Court, A.B.","Court, A.B.",1.0,1.0,http://www.wikidata.org/entity/Q21388029,Arthur Bertram Court,Court,A.B.,"Court, A.B.",,,,,1842-1,Court,,P006313b,1927.0,2012.0,,,http://www.wikidata.org/wiki/Q21388029,,,https://www.ipni.org/a/1842-1,,http://www.eoas.info/biogs/P006313b,
809,4207,Cooke,D.A.,,129,1971.0,1996.0,"Cooke, D.A.","Cooke, D.A.","Cooke, D.A.",1.0,1.0,http://www.wikidata.org/entity/Q2881723,David Alan Cooke,Cooke,D.A.,"Cooke, D.A.",,,,,13264-1,D.A.Cooke,,,1949.0,,,,http://www.wikidata.org/wiki/Q2881723,,,https://www.ipni.org/a/13264-1,,,
810,16252,Pritchard,A.,,129,2000.0,2011.0,"Pritchard, A.","Pritchard, A.","Pritchard, A.",1.0,1.0,http://www.wikidata.org/entity/Q4758311,Andrew Pritchard,Pritchard,A.,"Pritchard, A.",,67249496,0000 0000 8390 7003,78022.0,7970-1,A.Pritch.,,,1804.0,1882.0,,,http://www.wikidata.org/wiki/Q4758311,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=78022,https://www.ipni.org/a/7970-1,,,
812,9364,Hohenacker,R.F.,Rudolph Friedrich,128,1831.0,1858.0,"Hohenacker, R.F.","Hohenacker, R.F.","Hohenacker, R.F.",1.0,1.0,http://www.wikidata.org/entity/Q4140972,Rudolph Friedrich Hohenacker,Hohenacker,R.F.,"Hohenacker, R.F.",,22906469,0000 0000 1354 1114,24122.0,4033-1,Hohen.,,,1798.0,1874.0,,,http://www.wikidata.org/wiki/Q4140972,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=24122,https://www.ipni.org/a/4033-1,,,
813,5199,Degener,O.,Otto,128,1930.0,1986.0,"Degener, O.","Degener, O.","Degener, O.",1.0,1.0,http://www.wikidata.org/entity/Q2040112,Otto Degener,Degener,O.,"Degener, O.",,5325388,0000 0000 8352 9372,2349.0,2080-1,O.Deg.,,,1899.0,1988.0,,,http://www.wikidata.org/wiki/Q2040112,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2349,https://www.ipni.org/a/2080-1,,,
818,22475,Arsène,G.,Gustave,128,1907.0,1927.0,"Arsène, G.","Arsène, G.","Arsène, G.",1.0,1.0,http://www.wikidata.org/entity/Q21390575,Gustave Arsène,Arsène,G.,"Arsène, G.",,212187732,0000 0003 5891 5038,22347,292-1,Arsène,,,1867.0,1938.0,,,http://www.wikidata.org/wiki/Q21390575,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=22347,https://www.ipni.org/a/292-1,,,
